Timestamp,DeviceName,AdvertisingType,AddressType,Address,RSSI,Channel
1712844488882,,2,1,56:e4:1c:7e:7f:3e,-50,38
1712844488902,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844488892,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844488902,,0,0,dc:23:4f:a9:9a:46,-73,37
1712844488882,,0,0,dc:23:4f:a9:9a:46,-76,38
1712844488892,,0,0,dc:23:4f:a9:9a:46,-73,39
1712844488882,,2,1,56:e4:1c:7e:7f:3e,-51,38
1712844488902,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844488892,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844488902,,2,1,56:e4:1c:7e:7f:3e,-51,37
1712844488892,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844488882,,2,1,56:e4:1c:7e:7f:3e,-51,38
1712844488892,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844488902,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844488882,,2,1,56:e4:1c:7e:7f:3e,-51,38
1712844488902,,0,0,dc:23:4f:a9:9a:46,-73,37
1712844488892,,0,0,dc:23:4f:a9:9a:46,-74,39
1712844488882,,0,0,dc:23:4f:a9:9a:46,-77,38
1712844488902,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844488912,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844488892,,2,1,56:e4:1c:7e:7f:3e,-51,38
1712844488902,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844488912,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844488892,,2,1,56:e4:1c:7e:7f:3e,-51,38
1712844488902,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844488912,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844488892,,2,1,56:e4:1c:7e:7f:3e,-50,38
1712844488912,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844488922,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844488902,,2,1,56:e4:1c:7e:7f:3e,-51,38
1712844488912,,0,0,dc:23:4f:a9:9a:46,-74,39
1712844488922,,0,0,dc:23:4f:a9:9a:46,-73,37
1712844488902,,0,0,dc:23:4f:a9:9a:46,-77,38
1712844489042,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844489032,,2,1,56:e4:1c:7e:7f:3e,-49,38
1712844489052,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844489192,,0,0,dc:23:4f:a9:9a:46,-75,39
1712844489182,,0,0,dc:23:4f:a9:9a:46,-77,38
1712844489202,,0,0,dc:23:4f:a9:9a:46,-73,37
1712844489332,,2,1,56:e4:1c:7e:7f:3e,-50,38
1712844489342,,2,1,56:e4:1c:7e:7f:3e,-53,39
1712844489352,,2,1,56:e4:1c:7e:7f:3e,-51,37
1712844489652,,2,1,56:e4:1c:7e:7f:3e,-51,37
1712844489642,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844489632,,2,1,56:e4:1c:7e:7f:3e,-50,38
1712844489892,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844489882,,2,1,56:e4:1c:7e:7f:3e,-49,38
1712844489902,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844490192,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844490202,,2,1,56:e4:1c:7e:7f:3e,-51,37
1712844490202,,0,0,dc:23:4f:a9:9a:46,-72,37
1712844490182,,2,1,56:e4:1c:7e:7f:3e,-50,38
1712844490182,,0,0,dc:23:4f:a9:9a:46,-77,38
1712844490502,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844490482,,2,1,56:e4:1c:7e:7f:3e,-50,38
1712844490492,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844490752,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844490742,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844490732,,2,1,56:e4:1c:7e:7f:3e,-50,38
1712844491052,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844491042,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844491032,,2,1,56:e4:1c:7e:7f:3e,-49,38
1712844491242,,0,0,dc:23:4f:a9:9a:46,-75,39
1712844491252,,0,0,dc:23:4f:a9:9a:46,-73,37
1712844491232,,0,0,dc:23:4f:a9:9a:46,-76,38
1712844491342,,2,1,56:e4:1c:7e:7f:3e,-54,39
1712844491332,,2,1,56:e4:1c:7e:7f:3e,-49,38
1712844491352,,2,1,56:e4:1c:7e:7f:3e,-51,37
1712844491652,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844491642,,2,1,56:e4:1c:7e:7f:3e,-53,39
1712844491632,,2,1,56:e4:1c:7e:7f:3e,-49,38
1712844491882,,2,1,56:e4:1c:7e:7f:3e,-49,38
1712844491902,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844492202,,2,1,56:e4:1c:7e:7f:3e,-51,37
1712844492182,,2,1,56:e4:1c:7e:7f:3e,-49,38
1712844492192,,2,1,56:e4:1c:7e:7f:3e,-53,39
1712844492252,,0,0,dc:23:4f:a9:9a:46,-75,37
1712844492242,,0,0,dc:23:4f:a9:9a:46,-74,39
1712844492232,,0,0,dc:23:4f:a9:9a:46,-78,38
1712844492482,,2,1,56:e4:1c:7e:7f:3e,-50,38
1712844492502,,2,1,56:e4:1c:7e:7f:3e,-51,37
1712844492492,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844492782,,2,1,56:e4:1c:7e:7f:3e,-50,38
1712844492802,,2,1,56:e4:1c:7e:7f:3e,-51,37
1712844492792,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844493052,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844493042,,2,1,56:e4:1c:7e:7f:3e,-53,39
1712844493032,,2,1,56:e4:1c:7e:7f:3e,-50,38
1712844493242,,0,0,dc:23:4f:a9:9a:46,-75,39
1712844493252,,0,0,dc:23:4f:a9:9a:46,-76,37
1712844493232,,0,0,dc:23:4f:a9:9a:46,-78,38
1712844493342,,2,1,56:e4:1c:7e:7f:3e,-53,39
1712844493332,,2,1,56:e4:1c:7e:7f:3e,-50,38
1712844493352,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844493632,,2,1,56:e4:1c:7e:7f:3e,-50,38
1712844493642,,2,1,56:e4:1c:7e:7f:3e,-53,39
1712844493882,,2,1,56:e4:1c:7e:7f:3e,-49,38
1712844493902,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844493892,,2,1,56:e4:1c:7e:7f:3e,-53,39
1712844494182,,2,1,56:e4:1c:7e:7f:3e,-50,38
1712844494202,,2,1,56:e4:1c:7e:7f:3e,-51,37
1712844494192,,2,1,56:e4:1c:7e:7f:3e,-53,39
1712844494232,,0,0,dc:23:4f:a9:9a:46,-78,38
1712844494242,,0,0,dc:23:4f:a9:9a:46,-75,39
1712844494252,,0,0,dc:23:4f:a9:9a:46,-76,37
1712844494502,,2,1,56:e4:1c:7e:7f:3e,-51,37
1712844494492,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844494482,,2,1,56:e4:1c:7e:7f:3e,-50,38
1712844494752,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844494742,,2,1,56:e4:1c:7e:7f:3e,-53,39
1712844494732,,2,1,56:e4:1c:7e:7f:3e,-51,38
1712844495052,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844495042,,2,1,56:e4:1c:7e:7f:3e,-53,39
1712844495032,,2,1,56:e4:1c:7e:7f:3e,-50,38
1712844495252,,0,0,dc:23:4f:a9:9a:46,-77,37
1712844495242,,0,0,dc:23:4f:a9:9a:46,-75,39
1712844495232,,0,0,dc:23:4f:a9:9a:46,-79,38
1712844495342,,2,1,56:e4:1c:7e:7f:3e,-53,39
1712844495352,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844495332,,2,1,56:e4:1c:7e:7f:3e,-51,38
1712844495642,,2,1,56:e4:1c:7e:7f:3e,-54,39
1712844495882,,2,1,56:e4:1c:7e:7f:3e,-51,38
1712844495892,,2,1,56:e4:1c:7e:7f:3e,-54,39
1712844495902,,2,1,56:e4:1c:7e:7f:3e,-53,37
1712844496202,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844496192,,2,1,56:e4:1c:7e:7f:3e,-53,39
1712844496182,,2,1,56:e4:1c:7e:7f:3e,-51,38
1712844496242,,0,0,dc:23:4f:a9:9a:46,-74,39
1712844496252,,0,0,dc:23:4f:a9:9a:46,-77,37
1712844496232,,0,0,dc:23:4f:a9:9a:46,-79,38
1712844496492,,2,1,56:e4:1c:7e:7f:3e,-53,39
1712844496732,,2,1,56:e4:1c:7e:7f:3e,-51,38
1712844496752,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844496742,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844497052,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844497032,,2,1,56:e4:1c:7e:7f:3e,-51,38
1712844497042,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844497242,,0,0,dc:23:4f:a9:9a:46,-73,39
1712844497252,,0,0,dc:23:4f:a9:9a:46,-75,37
1712844497232,,0,0,dc:23:4f:a9:9a:46,-78,38
1712844497352,,2,1,56:e4:1c:7e:7f:3e,-53,37
1712844497342,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844497332,,2,1,56:e4:1c:7e:7f:3e,-51,38
1712844497582,,2,1,56:e4:1c:7e:7f:3e,-51,38
1712844497602,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844497592,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844497882,,2,1,56:e4:1c:7e:7f:3e,-50,38
1712844497902,,2,1,56:e4:1c:7e:7f:3e,-53,37
1712844497892,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844498182,,2,1,56:e4:1c:7e:7f:3e,-51,38
1712844498192,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844498202,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844498302,,0,0,dc:23:4f:a9:9a:46,-73,37
1712844498292,,0,0,dc:23:4f:a9:9a:46,-73,39
1712844498282,,0,0,dc:23:4f:a9:9a:46,-76,38
1712844498442,,2,1,56:e4:1c:7e:7f:3e,-52,39
1712844498452,,2,1,56:e4:1c:7e:7f:3e,-52,37
1712844498432,,2,1,56:e4:1c:7e:7f:3e,-50,38
1712844498732,,2,1,56:e4:1c:7e:7f:3e,-52,38
1712844498742,,2,1,56:e4:1c:7e:7f:3e,-55,39
1712844498752,,2,1,56:e4:1c:7e:7f:3e,-53,37
