Timestamp,DeviceName,AdvertisingType,AddressType,Address,RSSI,Channel
1710945618472,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710945618472,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710945618472,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710945618572,,0,1,ff:cb:d1:dc:df:ea,-54,38
1710945618572,,0,1,ff:cb:d1:dc:df:ea,-51,38
1710945618572,,0,1,ff:cb:d1:dc:df:ea,-51,38
1710945618672,,0,1,ff:cb:d1:dc:df:ea,-40,37
1710945618672,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710945618672,,0,1,ff:cb:d1:dc:df:ea,-40,37
1710945618922,,0,1,ff:cb:d1:dc:df:ea,-48,38
1710945619022,,0,1,ff:cb:d1:dc:df:ea,-39,37
1710945618872,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710945619872,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710945619722,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710945620572,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710945620672,,0,1,ff:cb:d1:dc:df:ea,-50,38
1710945621422,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710945621522,,0,1,ff:cb:d1:dc:df:ea,-52,38
1710945621622,,0,1,ff:cb:d1:dc:df:ea,-40,37
1710945622272,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710945622372,,0,1,ff:cb:d1:dc:df:ea,-54,38
1710945622472,,0,1,ff:cb:d1:dc:df:ea,-42,37
1710945623122,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710945623222,,0,1,ff:cb:d1:dc:df:ea,-53,38
1710945623322,,0,1,ff:cb:d1:dc:df:ea,-40,37
1710945623972,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710945624072,,0,1,ff:cb:d1:dc:df:ea,-55,38
1710945624172,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710945624922,,0,1,ff:cb:d1:dc:df:ea,-56,38
1710945625022,,0,1,ff:cb:d1:dc:df:ea,-42,37
1710945624872,,0,1,ff:cb:d1:dc:df:ea,-43,39
1710945625872,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710945625722,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710945625822,,0,1,ff:cb:d1:dc:df:ea,-55,38
1710945626722,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710945626572,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710945626672,,0,1,ff:cb:d1:dc:df:ea,-55,38
1710945627422,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710945627522,,0,1,ff:cb:d1:dc:df:ea,-55,38
1710945627622,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710945628272,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710945628372,,0,1,ff:cb:d1:dc:df:ea,-56,38
1710945628472,,0,1,ff:cb:d1:dc:df:ea,-40,37
1710945629122,,0,1,ff:cb:d1:dc:df:ea,-45,39
1710945629222,,0,1,ff:cb:d1:dc:df:ea,-51,38
1710945629322,,0,1,ff:cb:d1:dc:df:ea,-44,37
1710945629972,,0,1,ff:cb:d1:dc:df:ea,-46,39
1710945630072,,0,1,ff:cb:d1:dc:df:ea,-51,38
1710945630172,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710945630922,,0,1,ff:cb:d1:dc:df:ea,-51,38
1710945631022,,0,1,ff:cb:d1:dc:df:ea,-40,37
1710945630872,,0,1,ff:cb:d1:dc:df:ea,-49,39
1710945631872,,0,1,ff:cb:d1:dc:df:ea,-40,37
1710945631722,,0,1,ff:cb:d1:dc:df:ea,-48,39
1710945631822,,0,1,ff:cb:d1:dc:df:ea,-51,38
1710945632572,,0,1,ff:cb:d1:dc:df:ea,-48,39
1710945632672,,0,1,ff:cb:d1:dc:df:ea,-51,38
1710945632772,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710945633422,,0,1,ff:cb:d1:dc:df:ea,-48,39
1710945633522,,0,1,ff:cb:d1:dc:df:ea,-49,38
1710945633622,,0,1,ff:cb:d1:dc:df:ea,-47,37
1710945634272,,0,1,ff:cb:d1:dc:df:ea,-48,39
1710945634372,,0,1,ff:cb:d1:dc:df:ea,-49,38
1710945634472,,0,1,ff:cb:d1:dc:df:ea,-40,37
1710945635122,,0,1,ff:cb:d1:dc:df:ea,-48,39
1710945635222,,0,1,ff:cb:d1:dc:df:ea,-49,38
1710945635322,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710945636072,,0,1,ff:cb:d1:dc:df:ea,-49,38
1710945636172,,0,1,ff:cb:d1:dc:df:ea,-39,37
1710945637022,,0,1,ff:cb:d1:dc:df:ea,-40,37
1710945636872,,0,1,ff:cb:d1:dc:df:ea,-48,39
1710945636972,,0,1,ff:cb:d1:dc:df:ea,-49,38
1710945637722,,0,1,ff:cb:d1:dc:df:ea,-49,39
1710945637822,,0,1,ff:cb:d1:dc:df:ea,-49,38
1710945638572,,0,1,ff:cb:d1:dc:df:ea,-51,39
1710945638672,,0,1,ff:cb:d1:dc:df:ea,-50,38
1710945638772,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710945639422,,0,1,ff:cb:d1:dc:df:ea,-50,39
1710945639522,,0,1,ff:cb:d1:dc:df:ea,-50,38
1710945639622,,0,1,ff:cb:d1:dc:df:ea,-42,37
1710945640272,,0,1,ff:cb:d1:dc:df:ea,-49,39
1710945640372,,0,1,ff:cb:d1:dc:df:ea,-48,38
1710945640472,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710945641122,,0,1,ff:cb:d1:dc:df:ea,-49,39
1710945641222,,0,1,ff:cb:d1:dc:df:ea,-49,38
1710945641322,,0,1,ff:cb:d1:dc:df:ea,-42,37
1710945642072,,0,1,ff:cb:d1:dc:df:ea,-50,38
1710945642172,,0,1,ff:cb:d1:dc:df:ea,-43,37
1710945642022,,0,1,ff:cb:d1:dc:df:ea,-49,39
1710945643822,,0,1,ff:cb:d1:dc:df:ea,-49,38
1710945643022,,0,1,ff:cb:d1:dc:df:ea,-42,37
1710945642872,,0,1,ff:cb:d1:dc:df:ea,-49,39
1710945643872,,0,1,ff:cb:d1:dc:df:ea,-42,37
1710945643722,,0,1,ff:cb:d1:dc:df:ea,-50,39
1710945644572,,0,1,ff:cb:d1:dc:df:ea,-50,39
1710945644672,,0,1,ff:cb:d1:dc:df:ea,-49,38
1710945644772,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710945645502,,0,1,ff:cb:d1:dc:df:ea,-49,38
1710945645412,,0,1,ff:cb:d1:dc:df:ea,-51,39
1710945645502,,0,1,ff:cb:d1:dc:df:ea,-48,38
1710945645412,,0,1,ff:cb:d1:dc:df:ea,-51,39
1710945645622,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710945646272,,0,1,ff:cb:d1:dc:df:ea,-50,39
1710945646372,,0,1,ff:cb:d1:dc:df:ea,-49,38
1710945646472,,0,1,ff:cb:d1:dc:df:ea,-42,37
1710945647222,,0,1,ff:cb:d1:dc:df:ea,-49,38
1710945647322,,0,1,ff:cb:d1:dc:df:ea,-42,37
1710945647172,,0,1,ff:cb:d1:dc:df:ea,-51,39
1710945648172,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710945648022,,0,1,ff:cb:d1:dc:df:ea,-52,39
1710945648122,,0,1,ff:cb:d1:dc:df:ea,-48,38
1710945648872,,0,1,ff:cb:d1:dc:df:ea,-52,39
1710945648972,,0,1,ff:cb:d1:dc:df:ea,-49,38
1710945649722,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710945649822,,0,1,ff:cb:d1:dc:df:ea,-46,38
1710945649922,,0,1,ff:cb:d1:dc:df:ea,-46,37
1710945650572,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710945650672,,0,1,ff:cb:d1:dc:df:ea,-49,38
1710945650772,,0,1,ff:cb:d1:dc:df:ea,-43,37
1710945651422,,0,1,ff:cb:d1:dc:df:ea,-43,39
1710945651522,,0,1,ff:cb:d1:dc:df:ea,-53,38
1710945651622,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710945652372,,0,1,ff:cb:d1:dc:df:ea,-53,38
1710945652472,,0,1,ff:cb:d1:dc:df:ea,-40,37
1710945653322,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710945653172,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710945654022,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710945654122,,0,1,ff:cb:d1:dc:df:ea,-58,38
1710945654222,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710945654872,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710945654972,,0,1,ff:cb:d1:dc:df:ea,-53,38
1710945655072,,0,1,ff:cb:d1:dc:df:ea,-40,37
1710945655722,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710945655822,,0,1,ff:cb:d1:dc:df:ea,-52,38
1710945655922,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710945656572,,0,1,ff:cb:d1:dc:df:ea,-43,39
1710945656672,,0,1,ff:cb:d1:dc:df:ea,-59,38
1710945656772,,0,1,ff:cb:d1:dc:df:ea,-38,37
1710945657422,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710945657522,,0,1,ff:cb:d1:dc:df:ea,-49,38
1710945657622,,0,1,ff:cb:d1:dc:df:ea,-40,37
1710945658322,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710945658372,,0,1,ff:cb:d1:dc:df:ea,-49,38
1710945658472,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710945659322,,0,1,ff:cb:d1:dc:df:ea,-43,37
1710945659172,,0,1,ff:cb:d1:dc:df:ea,-44,39
1710945659272,,0,1,ff:cb:d1:dc:df:ea,-50,38
1710945660172,,0,1,ff:cb:d1:dc:df:ea,-43,37
1710945660022,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710945660122,,0,1,ff:cb:d1:dc:df:ea,-59,38
1710945660872,,0,1,ff:cb:d1:dc:df:ea,-40,39
1710945660972,,0,1,ff:cb:d1:dc:df:ea,-52,38
1710945661072,,0,1,ff:cb:d1:dc:df:ea,-42,37
1710945661722,,0,1,ff:cb:d1:dc:df:ea,-44,39
1710945661822,,0,1,ff:cb:d1:dc:df:ea,-49,38
1710945661922,,0,1,ff:cb:d1:dc:df:ea,-44,37
1710945662572,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710945662672,,0,1,ff:cb:d1:dc:df:ea,-57,38
1710945662772,,0,1,ff:cb:d1:dc:df:ea,-43,37
1710945663422,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710945663522,,0,1,ff:cb:d1:dc:df:ea,-48,38
1710945663622,,0,1,ff:cb:d1:dc:df:ea,-38,37
1710945664472,,0,1,ff:cb:d1:dc:df:ea,-43,37
1710945664322,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710945665322,,0,1,ff:cb:d1:dc:df:ea,-42,37
1710945665172,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710945665272,,0,1,ff:cb:d1:dc:df:ea,-49,38
1710945666022,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710945666122,,0,1,ff:cb:d1:dc:df:ea,-50,38
1710945666222,,0,1,ff:cb:d1:dc:df:ea,-43,37
1710945666872,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710945666972,,0,1,ff:cb:d1:dc:df:ea,-49,38
1710945667072,,0,1,ff:cb:d1:dc:df:ea,-43,37
1710945667722,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710945667822,,0,1,ff:cb:d1:dc:df:ea,-50,38
1710945667922,,0,1,ff:cb:d1:dc:df:ea,-42,37
1710945668572,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710945668672,,0,1,ff:cb:d1:dc:df:ea,-51,38
1710945668772,,0,1,ff:cb:d1:dc:df:ea,-42,37
1710945669422,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710945669522,,0,1,ff:cb:d1:dc:df:ea,-52,38
1710945669622,,0,1,ff:cb:d1:dc:df:ea,-42,37
1710945670372,,0,1,ff:cb:d1:dc:df:ea,-52,38
1710945670472,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710945670322,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710945671322,,0,1,ff:cb:d1:dc:df:ea,-42,37
1710945671172,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710945671272,,0,1,ff:cb:d1:dc:df:ea,-51,38
1710945672022,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710945672122,,0,1,ff:cb:d1:dc:df:ea,-51,38
1710945672222,,0,1,ff:cb:d1:dc:df:ea,-43,37
1710945672872,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710945672972,,0,1,ff:cb:d1:dc:df:ea,-52,38
1710945673072,,0,1,ff:cb:d1:dc:df:ea,-43,37
1710945673722,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710945673822,,0,1,ff:cb:d1:dc:df:ea,-54,38
1710945673922,,0,1,ff:cb:d1:dc:df:ea,-42,37
1710945674672,,0,1,ff:cb:d1:dc:df:ea,-55,38
1710945674772,,0,1,ff:cb:d1:dc:df:ea,-44,37
1710945675522,,0,1,ff:cb:d1:dc:df:ea,-48,38
1710945675622,,0,1,ff:cb:d1:dc:df:ea,-43,37
