Timestamp,DeviceName,AdvertisingType,AddressType,Address,RSSI,Channel
1710946925664,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710946925684,,0,1,ff:cb:d1:dc:df:ea,-53,38
1710946925674,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710946925664,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710946925674,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710946925684,,0,1,ff:cb:d1:dc:df:ea,-49,38
1710946925674,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710946925684,,0,1,ff:cb:d1:dc:df:ea,-48,38
1710946925664,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710946925964,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710946925974,,0,1,ff:cb:d1:dc:df:ea,-40,37
1710946926824,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710946926814,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710946927734,,0,1,ff:cb:d1:dc:df:ea,-62,38
1710946927724,,0,1,ff:cb:d1:dc:df:ea,-42,37
1710946927714,,0,1,ff:cb:d1:dc:df:ea,-40,39
1710946928584,,0,1,ff:cb:d1:dc:df:ea,-62,38
1710946928574,,0,1,ff:cb:d1:dc:df:ea,-43,37
1710946928564,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710946929414,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710946929424,,0,1,ff:cb:d1:dc:df:ea,-43,37
1710946929434,,0,1,ff:cb:d1:dc:df:ea,-60,38
1710946930284,,0,1,ff:cb:d1:dc:df:ea,-61,38
1710946930274,,0,1,ff:cb:d1:dc:df:ea,-42,37
1710946930264,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710946931124,,0,1,ff:cb:d1:dc:df:ea,-42,37
1710946931114,,0,1,ff:cb:d1:dc:df:ea,-40,39
1710946931134,,0,1,ff:cb:d1:dc:df:ea,-59,38
1710946931984,,0,1,ff:cb:d1:dc:df:ea,-59,38
1710946931974,,0,1,ff:cb:d1:dc:df:ea,-42,37
1710946931964,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710946932874,,0,1,ff:cb:d1:dc:df:ea,-42,37
1710946932884,,0,1,ff:cb:d1:dc:df:ea,-55,38
1710946932864,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710946933734,,0,1,ff:cb:d1:dc:df:ea,-61,38
1710946933714,,0,1,ff:cb:d1:dc:df:ea,-40,39
1710946933724,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710946934574,,0,1,ff:cb:d1:dc:df:ea,-42,37
1710946934564,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710946935434,,0,1,ff:cb:d1:dc:df:ea,-64,38
1710946935424,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710946935414,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710946936264,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710946936274,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710946937134,,0,1,ff:cb:d1:dc:df:ea,-68,38
