Timestamp,DeviceName,AdvertisingType,AddressType,Address,RSSI,Channel
1710944533295,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710944533295,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710944533295,,0,1,ff:cb:d1:dc:df:ea,-43,39
1710944533395,,0,1,ff:cb:d1:dc:df:ea,-53,38
1710944533295,,0,1,ff:cb:d1:dc:df:ea,-43,39
1710944533395,,0,1,ff:cb:d1:dc:df:ea,-53,38
1710944533395,,0,1,ff:cb:d1:dc:df:ea,-56,38
1710944533395,,0,1,ff:cb:d1:dc:df:ea,-56,38
1710944533495,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710944533495,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710944533495,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710944533495,,0,1,ff:cb:d1:dc:df:ea,-40,37
1710944534195,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710944534045,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710944535045,,0,1,ff:cb:d1:dc:df:ea,-40,37
1710944534895,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710944534995,,0,1,ff:cb:d1:dc:df:ea,-54,38
1710944535745,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710944535845,,0,1,ff:cb:d1:dc:df:ea,-54,38
1710944535945,,0,1,ff:cb:d1:dc:df:ea,-40,37
1710944536595,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710944536695,,0,1,ff:cb:d1:dc:df:ea,-53,38
1710944536795,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710944537445,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710944537545,,0,1,ff:cb:d1:dc:df:ea,-54,38
1710944537645,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710944538295,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710944538395,,0,1,ff:cb:d1:dc:df:ea,-54,38
1710944538495,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710944539345,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710944539195,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710944540195,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710944540045,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710944540145,,0,1,ff:cb:d1:dc:df:ea,-53,38
1710944540895,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710944540995,,0,1,ff:cb:d1:dc:df:ea,-54,38
1710944541745,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710944541845,,0,1,ff:cb:d1:dc:df:ea,-54,38
1710944541945,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710944542595,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710944542695,,0,1,ff:cb:d1:dc:df:ea,-56,38
1710944542795,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710944543445,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710944543545,,0,1,ff:cb:d1:dc:df:ea,-53,38
1710944543645,,0,1,ff:cb:d1:dc:df:ea,-40,37
1710944544395,,0,1,ff:cb:d1:dc:df:ea,-53,38
1710944544495,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710944544345,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710944545345,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710944545195,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710944545295,,0,1,ff:cb:d1:dc:df:ea,-53,38
1710944546195,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710944546045,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710944546145,,0,1,ff:cb:d1:dc:df:ea,-53,38
1710944546895,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710944546995,,0,1,ff:cb:d1:dc:df:ea,-53,38
1710944547095,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710944547845,,0,1,ff:cb:d1:dc:df:ea,-53,38
1710944547945,,0,1,ff:cb:d1:dc:df:ea,-40,37
1710944547745,,0,1,ff:cb:d1:dc:df:ea,-42,39
1710944548795,,0,1,ff:cb:d1:dc:df:ea,-41,37
1710944548595,,0,1,ff:cb:d1:dc:df:ea,-41,39
1710944548695,,0,1,ff:cb:d1:dc:df:ea,-52,38
1710944549445,,0,1,ff:cb:d1:dc:df:ea,-41,39
