Timestamp,DeviceName,AdvertisingType,AddressType,Address,RSSI,Channel
1712163975873,,2,1,61:27:43:0d:d5:c8,-60,38
1712163975863,,2,1,61:27:43:0d:d5:c8,-67,39
1712163975863,,2,1,61:27:43:0d:d5:c8,-69,39
1712163975873,,2,1,61:27:43:0d:d5:c8,-61,38
1712163975863,,2,1,61:27:43:0d:d5:c8,-69,39
1712163975963,,2,1,61:27:43:0d:d5:c8,-58,37
1712163975873,,2,1,61:27:43:0d:d5:c8,-62,38
1712163975863,,2,1,61:27:43:0d:d5:c8,-70,39
1712163975963,,2,1,61:27:43:0d:d5:c8,-58,37
1712163975873,,2,1,61:27:43:0d:d5:c8,-61,38
1712163975863,,0,0,54:d2:72:64:1b:f4,-45,39
1712163975963,,2,1,61:27:43:0d:d5:c8,-58,37
1712163975873,,0,0,54:d2:72:64:1b:f4,-47,38
1712163975863,,2,1,61:27:43:0d:d5:c8,-70,39
1712163975963,,0,0,54:d2:72:64:1b:f4,-61,37
1712163975873,,2,1,61:27:43:0d:d5:c8,-61,38
1712163975873,,2,1,61:27:43:0d:d5:c8,-69,39
1712163975963,,2,1,61:27:43:0d:d5:c8,-58,37
1712163975883,,2,1,61:27:43:0d:d5:c8,-62,38
1712163975873,,2,1,61:27:43:0d:d5:c8,-67,39
1712163975883,,2,1,61:27:43:0d:d5:c8,-62,38
1712163975963,,2,1,61:27:43:0d:d5:c8,-59,37
1712163975873,,0,0,54:d2:72:64:1b:f4,-45,39
1712163975973,,2,1,61:27:43:0d:d5:c8,-58,37
1712163975883,,0,0,54:d2:72:64:1b:f4,-48,38
1712163975893,,2,1,61:27:43:0d:d5:c8,-61,38
1712163975973,,0,0,54:d2:72:64:1b:f4,-62,37
1712163975883,,2,1,61:27:43:0d:d5:c8,-68,39
1712163975883,,2,1,61:27:43:0d:d5:c8,-68,39
1712163975893,,2,1,61:27:43:0d:d5:c8,-62,38
1712163975973,,2,1,61:27:43:0d:d5:c8,-59,37
1712163975913,,0,0,54:d2:72:64:1b:f4,-44,39
1712163975983,,2,1,61:27:43:0d:d5:c8,-59,37
1712163975923,,0,0,54:d2:72:64:1b:f4,-47,38
1712163975983,,2,1,61:27:43:0d:d5:c8,-59,37
1712163976013,,0,0,54:d2:72:64:1b:f4,-62,37
1712163976073,,2,1,61:27:43:0d:d5:c8,-62,38
1712163976063,,2,1,61:27:43:0d:d5:c8,-67,39
1712163976163,,2,1,61:27:43:0d:d5:c8,-59,37
1712163976413,,2,1,61:27:43:0d:d5:c8,-58,37
1712163976373,,2,1,61:27:43:0d:d5:c8,-62,38
1712163976363,,2,1,61:27:43:0d:d5:c8,-67,39
1712163976613,,2,1,61:27:43:0d:d5:c8,-66,39
1712163976623,,2,1,61:27:43:0d:d5:c8,-62,38
1712163976713,,2,1,61:27:43:0d:d5:c8,-58,37
1712163976873,,0,0,54:d2:72:64:1b:f4,-48,38
1712163976863,,0,0,54:d2:72:64:1b:f4,-44,39
1712163976963,,0,0,54:d2:72:64:1b:f4,-63,37
1712163976923,,2,1,61:27:43:0d:d5:c8,-62,38
1712163976913,,2,1,61:27:43:0d:d5:c8,-67,39
1712163977013,,2,1,61:27:43:0d:d5:c8,-58,37
1712163977263,,2,1,61:27:43:0d:d5:c8,-58,37
1712163977223,,2,1,61:27:43:0d:d5:c8,-62,38
1712163977213,,2,1,61:27:43:0d:d5:c8,-67,39
1712163977563,,2,1,61:27:43:0d:d5:c8,-58,37
1712163977773,,2,1,61:27:43:0d:d5:c8,-62,38
1712163977763,,2,1,61:27:43:0d:d5:c8,-67,39
1712163977863,,2,1,61:27:43:0d:d5:c8,-59,37
1712163977923,,0,0,54:d2:72:64:1b:f4,-47,38
1712163977913,,0,0,54:d2:72:64:1b:f4,-44,39
1712163978073,,2,1,61:27:43:0d:d5:c8,-62,38
1712163978063,,2,1,61:27:43:0d:d5:c8,-67,39
1712163978163,,2,1,61:27:43:0d:d5:c8,-58,37
1712163978413,,2,1,61:27:43:0d:d5:c8,-58,37
1712163978373,,2,1,61:27:43:0d:d5:c8,-62,38
1712163978363,,2,1,61:27:43:0d:d5:c8,-66,39
1712163978623,,2,1,61:27:43:0d:d5:c8,-62,38
1712163978613,,2,1,61:27:43:0d:d5:c8,-66,39
1712163978713,,2,1,61:27:43:0d:d5:c8,-58,37
1712163978913,,0,0,54:d2:72:64:1b:f4,-46,38
1712163978993,,2,1,61:27:43:0d:d5:c8,-59,37
1712163978903,,0,0,54:d2:72:64:1b:f4,-45,39
1712163978913,,2,1,61:27:43:0d:d5:c8,-62,38
1712163978993,,0,0,54:d2:72:64:1b:f4,-62,37
1712163978903,,2,1,61:27:43:0d:d5:c8,-67,39
1712163979223,,2,1,61:27:43:0d:d5:c8,-62,38
1712163979213,,2,1,61:27:43:0d:d5:c8,-67,39
1712163979313,,2,1,61:27:43:0d:d5:c8,-58,37
1712163979563,,2,1,61:27:43:0d:d5:c8,-58,37
1712163979513,,2,1,61:27:43:0d:d5:c8,-66,39
1712163979523,,2,1,61:27:43:0d:d5:c8,-62,38
1712163979763,,2,1,61:27:43:0d:d5:c8,-66,39
1712163979773,,2,1,61:27:43:0d:d5:c8,-62,38
1712163979863,,2,1,61:27:43:0d:d5:c8,-58,37
1712163979963,,0,0,54:d2:72:64:1b:f4,-45,39
1712163979973,,0,0,54:d2:72:64:1b:f4,-48,38
1712163980073,,2,1,61:27:43:0d:d5:c8,-62,38
1712163980063,,2,1,61:27:43:0d:d5:c8,-66,39
1712163980163,,2,1,61:27:43:0d:d5:c8,-58,37
1712163980373,,2,1,61:27:43:0d:d5:c8,-62,38
1712163980363,,2,1,61:27:43:0d:d5:c8,-65,39
1712163980463,,2,1,61:27:43:0d:d5:c8,-59,37
1712163980673,,2,1,61:27:43:0d:d5:c8,-62,38
1712163980663,,2,1,61:27:43:0d:d5:c8,-65,39
1712163980913,,0,0,54:d2:72:64:1b:f4,-47,38
1712163980993,,0,0,54:d2:72:64:1b:f4,-63,37
1712163980913,,0,0,54:d2:72:64:1b:f4,-44,39
1712163980913,,2,1,61:27:43:0d:d5:c8,-62,38
1712163980913,,2,1,61:27:43:0d:d5:c8,-66,39
1712163980993,,2,1,61:27:43:0d:d5:c8,-58,37
1712163981223,,2,1,61:27:43:0d:d5:c8,-62,38
1712163981213,,2,1,61:27:43:0d:d5:c8,-66,39
1712163981313,,2,1,61:27:43:0d:d5:c8,-59,37
1712163981523,,2,1,61:27:43:0d:d5:c8,-62,38
1712163981513,,2,1,61:27:43:0d:d5:c8,-66,39
1712163981613,,2,1,61:27:43:0d:d5:c8,-58,37
1712163981863,,2,1,61:27:43:0d:d5:c8,-58,37
1712163981823,,2,1,61:27:43:0d:d5:c8,-62,38
1712163981813,,2,1,61:27:43:0d:d5:c8,-65,39
1712163981963,,0,0,54:d2:72:64:1b:f4,-44,39
1712163981973,,0,0,54:d2:72:64:1b:f4,-47,38
1712163982063,,0,0,54:d2:72:64:1b:f4,-64,37
1712163982073,,2,1,61:27:43:0d:d5:c8,-62,38
1712163982063,,2,1,61:27:43:0d:d5:c8,-65,39
1712163982163,,2,1,61:27:43:0d:d5:c8,-58,37
1712163982373,,2,1,61:27:43:0d:d5:c8,-62,38
1712163982363,,2,1,61:27:43:0d:d5:c8,-64,39
1712163982463,,2,1,61:27:43:0d:d5:c8,-58,37
1712163982663,,2,1,61:27:43:0d:d5:c8,-64,39
1712163982673,,2,1,61:27:43:0d:d5:c8,-63,38
1712163982763,,2,1,61:27:43:0d:d5:c8,-59,37
1712163983013,,2,1,61:27:43:0d:d5:c8,-59,37
1712163982953,,2,1,61:27:43:0d:d5:c8,-63,39
1712163982973,,0,0,54:d2:72:64:1b:f4,-47,38
1712163982953,,0,0,54:d2:72:64:1b:f4,-44,39
1712163983063,,0,0,54:d2:72:64:1b:f4,-69,37
1712163983223,,2,1,61:27:43:0d:d5:c8,-62,38
1712163983213,,2,1,61:27:43:0d:d5:c8,-64,39
1712163983313,,2,1,61:27:43:0d:d5:c8,-58,37
1712163983523,,2,1,61:27:43:0d:d5:c8,-63,38
1712163983513,,2,1,61:27:43:0d:d5:c8,-64,39
1712163983613,,2,1,61:27:43:0d:d5:c8,-59,37
1712163983863,,2,1,61:27:43:0d:d5:c8,-58,37
1712163983823,,2,1,61:27:43:0d:d5:c8,-62,38
1712163983813,,2,1,61:27:43:0d:d5:c8,-64,39
1712163984023,,0,0,54:d2:72:64:1b:f4,-47,38
1712163984013,,0,0,54:d2:72:64:1b:f4,-44,39
1712163984113,,0,0,54:d2:72:64:1b:f4,-72,37
1712163984073,,2,1,61:27:43:0d:d5:c8,-63,38
1712163984063,,2,1,61:27:43:0d:d5:c8,-64,39
1712163984163,,2,1,61:27:43:0d:d5:c8,-59,37
1712163984363,,2,1,61:27:43:0d:d5:c8,-64,39
1712163984373,,2,1,61:27:43:0d:d5:c8,-62,38
1712163984463,,2,1,61:27:43:0d:d5:c8,-59,37
1712163984673,,2,1,61:27:43:0d:d5:c8,-62,38
1712163984663,,2,1,61:27:43:0d:d5:c8,-63,39
1712163984763,,2,1,61:27:43:0d:d5:c8,-58,37
1712163985013,,2,1,61:27:43:0d:d5:c8,-59,37
1712163984943,,2,1,61:27:43:0d:d5:c8,-64,39
