Timestamp,DeviceName,AdvertisingType,AddressType,Address,RSSI,Channel
1712162451159,,2,1,6a:e7:c5:e5:20:a9,-51,39
1712162451169,,2,1,6a:e7:c5:e5:20:a9,-52,37
1712162451159,,2,1,6a:e7:c5:e5:20:a9,-50,39
1712162451169,,2,1,6a:e7:c5:e5:20:a9,-52,37
1712162451159,,2,1,6a:e7:c5:e5:20:a9,-50,39
1712162451249,,2,1,6a:e7:c5:e5:20:a9,-52,38
1712162451169,,2,1,6a:e7:c5:e5:20:a9,-52,37
1712162451159,,0,0,54:d2:72:64:1b:f4,-41,39
1712162451249,,2,1,6a:e7:c5:e5:20:a9,-53,38
1712162451159,,2,1,6a:e7:c5:e5:20:a9,-50,39
1712162451169,,0,0,54:d2:72:64:1b:f4,-47,37
1712162451249,,2,1,6a:e7:c5:e5:20:a9,-53,38
1712162451159,,2,1,6a:e7:c5:e5:20:a9,-50,39
1712162451169,,2,1,6a:e7:c5:e5:20:a9,-52,37
1712162451249,,0,0,54:d2:72:64:1b:f4,-49,38
1712162451169,,2,1,6a:e7:c5:e5:20:a9,-51,39
1712162451169,,2,1,6a:e7:c5:e5:20:a9,-52,37
1712162451249,,2,1,6a:e7:c5:e5:20:a9,-53,38
1712162451169,,2,1,6a:e7:c5:e5:20:a9,-51,39
1712162451179,,2,1,6a:e7:c5:e5:20:a9,-52,37
1712162451249,,2,1,6a:e7:c5:e5:20:a9,-52,38
1712162451169,,0,0,54:d2:72:64:1b:f4,-42,39
1712162451179,,2,1,6a:e7:c5:e5:20:a9,-52,37
1712162451259,,2,1,6a:e7:c5:e5:20:a9,-53,38
1712162451179,,2,1,6a:e7:c5:e5:20:a9,-50,39
1712162451179,,0,0,54:d2:72:64:1b:f4,-47,37
1712162451259,,2,1,6a:e7:c5:e5:20:a9,-52,38
1712162451189,,2,1,6a:e7:c5:e5:20:a9,-52,37
1712162451179,,2,1,6a:e7:c5:e5:20:a9,-51,39
1712162451259,,0,0,54:d2:72:64:1b:f4,-48,38
1712162451189,,2,1,6a:e7:c5:e5:20:a9,-52,37
1712162451269,,2,1,6a:e7:c5:e5:20:a9,-52,38
1712162451269,,2,1,6a:e7:c5:e5:20:a9,-53,38
1712162451299,,2,1,6a:e7:c5:e5:20:a9,-54,38
1712162451259,,2,1,6a:e7:c5:e5:20:a9,-50,39
1712162451269,,2,1,6a:e7:c5:e5:20:a9,-53,37
1712162451509,,2,1,6a:e7:c5:e5:20:a9,-51,39
1712162451519,,2,1,6a:e7:c5:e5:20:a9,-53,37
1712162451599,,2,1,6a:e7:c5:e5:20:a9,-54,38
1712162451809,,2,1,6a:e7:c5:e5:20:a9,-50,39
1712162451819,,2,1,6a:e7:c5:e5:20:a9,-53,37
1712162451899,,2,1,6a:e7:c5:e5:20:a9,-54,38
1712162452099,,2,1,6a:e7:c5:e5:20:a9,-50,39
1712162452109,,2,1,6a:e7:c5:e5:20:a9,-53,37
1712162452099,,0,0,54:d2:72:64:1b:f4,-41,39
1712162452109,,0,0,54:d2:72:64:1b:f4,-47,37
1712162452199,,0,0,54:d2:72:64:1b:f4,-49,38
1712162452369,,2,1,6a:e7:c5:e5:20:a9,-54,37
1712162452359,,2,1,6a:e7:c5:e5:20:a9,-50,39
1712162452449,,2,1,6a:e7:c5:e5:20:a9,-53,38
1712162452659,,2,1,6a:e7:c5:e5:20:a9,-50,39
1712162452749,,2,1,6a:e7:c5:e5:20:a9,-53,38
1712162452969,,2,1,6a:e7:c5:e5:20:a9,-53,37
1712162452959,,2,1,6a:e7:c5:e5:20:a9,-50,39
1712162453049,,2,1,6a:e7:c5:e5:20:a9,-54,38
1712162453159,,0,0,54:d2:72:64:1b:f4,-42,39
1712162453169,,0,0,54:d2:72:64:1b:f4,-47,37
1712162453249,,0,0,54:d2:72:64:1b:f4,-49,38
1712162453299,,2,1,6a:e7:c5:e5:20:a9,-54,38
1712162453259,,2,1,6a:e7:c5:e5:20:a9,-50,39
1712162453269,,2,1,6a:e7:c5:e5:20:a9,-53,37
1712162453509,,2,1,6a:e7:c5:e5:20:a9,-52,39
1712162453519,,2,1,6a:e7:c5:e5:20:a9,-53,37
1712162453599,,2,1,6a:e7:c5:e5:20:a9,-53,38
1712162453809,,2,1,6a:e7:c5:e5:20:a9,-51,39
1712162453899,,2,1,6a:e7:c5:e5:20:a9,-53,38
1712162454119,,2,1,6a:e7:c5:e5:20:a9,-53,37
1712162454109,,2,1,6a:e7:c5:e5:20:a9,-50,39
1712162454199,,2,1,6a:e7:c5:e5:20:a9,-53,38
1712162454159,,0,0,54:d2:72:64:1b:f4,-42,39
1712162454169,,0,0,54:d2:72:64:1b:f4,-47,37
1712162454249,,0,0,54:d2:72:64:1b:f4,-50,38
1712162454449,,2,1,6a:e7:c5:e5:20:a9,-53,38
1712162454409,,2,1,6a:e7:c5:e5:20:a9,-50,39
1712162454669,,2,1,6a:e7:c5:e5:20:a9,-53,37
1712162454659,,2,1,6a:e7:c5:e5:20:a9,-50,39
1712162454749,,2,1,6a:e7:c5:e5:20:a9,-54,38
1712162454969,,2,1,6a:e7:c5:e5:20:a9,-53,37
1712162454959,,2,1,6a:e7:c5:e5:20:a9,-51,39
1712162455049,,2,1,6a:e7:c5:e5:20:a9,-54,38
1712162455169,,0,0,54:d2:72:64:1b:f4,-47,37
1712162455159,,0,0,54:d2:72:64:1b:f4,-42,39
1712162455269,,2,1,6a:e7:c5:e5:20:a9,-52,37
1712162455259,,2,1,6a:e7:c5:e5:20:a9,-51,39
1712162455349,,2,1,6a:e7:c5:e5:20:a9,-54,38
1712162455599,,2,1,6a:e7:c5:e5:20:a9,-54,38
1712162455569,,2,1,6a:e7:c5:e5:20:a9,-53,37
1712162455559,,2,1,6a:e7:c5:e5:20:a9,-50,39
