Timestamp,DeviceName,AdvertisingType,AddressType,Address,RSSI,Channel
1712163432020,,2,1,52:d4:d8:66:e5:dd,-51,39
1712163432030,,2,1,52:d4:d8:66:e5:dd,-55,38
1712163432020,,2,1,52:d4:d8:66:e5:dd,-51,39
1712163432030,,2,1,52:d4:d8:66:e5:dd,-55,38
1712163432110,,2,1,52:d4:d8:66:e5:dd,-60,37
1712163432020,,2,1,52:d4:d8:66:e5:dd,-51,39
1712163432030,,2,1,52:d4:d8:66:e5:dd,-55,38
1712163432110,,2,1,52:d4:d8:66:e5:dd,-59,37
1712163432030,,0,0,54:d2:72:64:1b:f4,-51,38
1712163432020,,0,0,54:d2:72:64:1b:f4,-41,39
1712163432110,,0,0,54:d2:72:64:1b:f4,-55,37
1712163432030,,2,1,52:d4:d8:66:e5:dd,-55,38
1712163432020,,2,1,52:d4:d8:66:e5:dd,-51,39
1712163432110,,2,1,52:d4:d8:66:e5:dd,-59,37
1712163432030,,2,1,52:d4:d8:66:e5:dd,-56,38
1712163432020,,2,1,52:d4:d8:66:e5:dd,-52,39
1712163432110,,2,1,52:d4:d8:66:e5:dd,-60,37
1712163432040,,2,1,52:d4:d8:66:e5:dd,-55,38
1712163432030,,2,1,52:d4:d8:66:e5:dd,-52,39
1712163432110,,2,1,52:d4:d8:66:e5:dd,-58,37
1712163432040,,2,1,52:d4:d8:66:e5:dd,-55,38
1712163432030,,2,1,52:d4:d8:66:e5:dd,-53,39
1712163432120,,0,0,54:d2:72:64:1b:f4,-59,37
1712163432040,,0,0,54:d2:72:64:1b:f4,-51,38
1712163432030,,0,0,54:d2:72:64:1b:f4,-42,39
1712163432050,,2,1,52:d4:d8:66:e5:dd,-55,38
1712163432120,,2,1,52:d4:d8:66:e5:dd,-58,37
1712163432040,,2,1,52:d4:d8:66:e5:dd,-53,39
1712163432120,,2,1,52:d4:d8:66:e5:dd,-58,37
1712163432050,,2,1,52:d4:d8:66:e5:dd,-55,38
1712163432040,,2,1,52:d4:d8:66:e5:dd,-53,39
1712163432130,,2,1,52:d4:d8:66:e5:dd,-59,37
1712163432130,,0,0,54:d2:72:64:1b:f4,-54,37
1712163432180,,2,1,52:d4:d8:66:e5:dd,-56,38
1712163432170,,2,1,52:d4:d8:66:e5:dd,-54,39
1712163432260,,2,1,52:d4:d8:66:e5:dd,-58,37
1712163432480,,2,1,52:d4:d8:66:e5:dd,-56,38
1712163432470,,2,1,52:d4:d8:66:e5:dd,-54,39
