Timestamp,DeviceName,AdvertisingType,AddressType,Address,RSSI,Channel
1712763405996,,2,1,6e:12:a0:b9:6f:76,-60,37
1712763406006,,2,1,6e:12:a0:b9:6f:76,-53,38
1712763405996,,2,1,6e:12:a0:b9:6f:76,-60,37
1712763406006,,2,1,6e:12:a0:b9:6f:76,-53,38
1712763406076,,2,1,6e:12:a0:b9:6f:76,-62,39
1712763406006,,2,1,6e:12:a0:b9:6f:76,-52,38
1712763405996,,2,1,6e:12:a0:b9:6f:76,-60,37
1712763406076,,2,1,6e:12:a0:b9:6f:76,-61,39
1712763406006,,2,1,6e:12:a0:b9:6f:76,-52,38
1712763405996,,2,1,6e:12:a0:b9:6f:76,-61,37
1712763406076,,2,1,6e:12:a0:b9:6f:76,-62,39
1712763406006,,2,1,6e:12:a0:b9:6f:76,-52,38
1712763405996,,2,1,6e:12:a0:b9:6f:76,-61,37
1712763406076,,2,1,6e:12:a0:b9:6f:76,-63,39
1712763406006,,2,1,6e:12:a0:b9:6f:76,-53,38
1712763405996,,2,1,6e:12:a0:b9:6f:76,-60,37
1712763406076,,2,1,6e:12:a0:b9:6f:76,-63,39
1712763406016,,2,1,6e:12:a0:b9:6f:76,-55,38
1712763406006,,2,1,6e:12:a0:b9:6f:76,-67,37
1712763406076,,2,1,6e:12:a0:b9:6f:76,-60,39
1712763406006,,2,1,6e:12:a0:b9:6f:76,-61,37
1712763406016,,2,1,6e:12:a0:b9:6f:76,-54,38
1712763406086,,2,1,6e:12:a0:b9:6f:76,-59,39
1712763406006,,2,1,6e:12:a0:b9:6f:76,-60,37
1712763406016,,2,1,6e:12:a0:b9:6f:76,-57,38
1712763406086,,2,1,6e:12:a0:b9:6f:76,-63,39
1712763406086,,2,1,6e:12:a0:b9:6f:76,-60,39
1712763406096,,2,1,6e:12:a0:b9:6f:76,-58,39
1712763406176,,2,1,6e:12:a0:b9:6f:76,-62,39
1712763406156,,2,1,6e:12:a0:b9:6f:76,-59,38
1712763406396,,2,1,6e:12:a0:b9:6f:76,-61,37
1712763406406,,2,1,6e:12:a0:b9:6f:76,-62,38
1712763406476,,2,1,6e:12:a0:b9:6f:76,-69,39
1712763406696,,2,1,6e:12:a0:b9:6f:76,-63,37
1712763406706,,2,1,6e:12:a0:b9:6f:76,-65,38
1712763406776,,2,1,6e:12:a0:b9:6f:76,-66,39
1712763407026,,2,1,6e:12:a0:b9:6f:76,-64,39
1712763406996,,2,1,6e:12:a0:b9:6f:76,-76,37
1712763407006,,2,1,6e:12:a0:b9:6f:76,-61,38
1712763407246,,2,1,6e:12:a0:b9:6f:76,-73,37
1712763407256,,2,1,6e:12:a0:b9:6f:76,-60,38
1712763407546,,2,1,6e:12:a0:b9:6f:76,-70,37
1712763407556,,2,1,6e:12:a0:b9:6f:76,-58,38
1712763407876,,2,1,6e:12:a0:b9:6f:76,-66,39
1712763407846,,2,1,6e:12:a0:b9:6f:76,-70,37
1712763407856,,2,1,6e:12:a0:b9:6f:76,-60,38
1712763408096,,2,1,6e:12:a0:b9:6f:76,-73,37
1712763408106,,2,1,6e:12:a0:b9:6f:76,-58,38
1712763408176,,2,1,6e:12:a0:b9:6f:76,-66,39
1712763408396,,2,1,6e:12:a0:b9:6f:76,-67,37
1712763408406,,2,1,6e:12:a0:b9:6f:76,-58,38
1712763408476,,2,1,6e:12:a0:b9:6f:76,-61,39
1712763408696,,2,1,6e:12:a0:b9:6f:76,-70,37
1712763408706,,2,1,6e:12:a0:b9:6f:76,-56,38
1712763408776,,2,1,6e:12:a0:b9:6f:76,-63,39
1712763408956,,2,1,6e:12:a0:b9:6f:76,-54,38
1712763408946,,2,1,6e:12:a0:b9:6f:76,-63,37
1712763409256,,2,1,6e:12:a0:b9:6f:76,-54,38
1712763409246,,2,1,6e:12:a0:b9:6f:76,-73,37
1712763409326,,2,1,6e:12:a0:b9:6f:76,-71,39
1712763409546,,2,1,6e:12:a0:b9:6f:76,-62,37
1712763409556,,2,1,6e:12:a0:b9:6f:76,-55,38
1712763409626,,2,1,6e:12:a0:b9:6f:76,-65,39
1712763409846,,2,1,6e:12:a0:b9:6f:76,-66,37
1712763409856,,2,1,6e:12:a0:b9:6f:76,-58,38
1712763410096,,2,1,6e:12:a0:b9:6f:76,-68,37
1712763410106,,2,1,6e:12:a0:b9:6f:76,-58,38
1712763410176,,2,1,6e:12:a0:b9:6f:76,-61,39
1712763410396,,2,1,6e:12:a0:b9:6f:76,-72,37
1712763410406,,2,1,6e:12:a0:b9:6f:76,-58,38
1712763410476,,2,1,6e:12:a0:b9:6f:76,-66,39
1712763410696,,2,1,6e:12:a0:b9:6f:76,-68,37
1712763410706,,2,1,6e:12:a0:b9:6f:76,-55,38
1712763410776,,2,1,6e:12:a0:b9:6f:76,-60,39
1712763410996,,2,1,6e:12:a0:b9:6f:76,-74,37
1712763411006,,2,1,6e:12:a0:b9:6f:76,-57,38
1712763411246,,2,1,6e:12:a0:b9:6f:76,-66,37
1712763411256,,2,1,6e:12:a0:b9:6f:76,-58,38
1712763411326,,2,1,6e:12:a0:b9:6f:76,-65,39
1712763411546,,2,1,6e:12:a0:b9:6f:76,-64,37
1712763411556,,2,1,6e:12:a0:b9:6f:76,-59,38
1712763411626,,2,1,6e:12:a0:b9:6f:76,-62,39
1712763411846,,2,1,6e:12:a0:b9:6f:76,-65,37
1712763411856,,2,1,6e:12:a0:b9:6f:76,-59,38
1712763411926,,2,1,6e:12:a0:b9:6f:76,-64,39
1712763412146,,2,1,6e:12:a0:b9:6f:76,-61,37
1712763412156,,2,1,6e:12:a0:b9:6f:76,-55,38
1712763412396,,2,1,6e:12:a0:b9:6f:76,-71,37
1712763412476,,2,1,6e:12:a0:b9:6f:76,-69,39
1712763412696,,2,1,6e:12:a0:b9:6f:76,-70,37
1712763412706,,2,1,6e:12:a0:b9:6f:76,-56,38
1712763412776,,2,1,6e:12:a0:b9:6f:76,-65,39
1712763412996,,2,1,6e:12:a0:b9:6f:76,-76,37
1712763413006,,2,1,6e:12:a0:b9:6f:76,-55,38
1712763413076,,2,1,6e:12:a0:b9:6f:76,-66,39
1712763413296,,2,1,6e:12:a0:b9:6f:76,-70,37
1712763413306,,2,1,6e:12:a0:b9:6f:76,-56,38
1712763413376,,2,1,6e:12:a0:b9:6f:76,-66,39
1712763413626,,2,1,6e:12:a0:b9:6f:76,-65,39
1712763413606,,2,1,6e:12:a0:b9:6f:76,-56,38
1712763413846,,2,1,6e:12:a0:b9:6f:76,-72,37
1712763413856,,2,1,6e:12:a0:b9:6f:76,-57,38
1712763413926,,2,1,6e:12:a0:b9:6f:76,-67,39
1712763414146,,2,1,6e:12:a0:b9:6f:76,-70,37
1712763414156,,2,1,6e:12:a0:b9:6f:76,-56,38
1712763414226,,2,1,6e:12:a0:b9:6f:76,-69,39
1712763414446,,2,1,6e:12:a0:b9:6f:76,-68,37
1712763414456,,2,1,6e:12:a0:b9:6f:76,-56,38
1712763414526,,2,1,6e:12:a0:b9:6f:76,-72,39
1712763414776,,2,1,6e:12:a0:b9:6f:76,-72,39
1712763414996,,2,1,6e:12:a0:b9:6f:76,-68,37
1712763415006,,2,1,6e:12:a0:b9:6f:76,-56,38
1712763415076,,2,1,6e:12:a0:b9:6f:76,-72,39
1712763415296,,2,1,6e:12:a0:b9:6f:76,-65,37
1712763415306,,2,1,6e:12:a0:b9:6f:76,-55,38
1712763415376,,2,1,6e:12:a0:b9:6f:76,-71,39
1712763415596,,2,1,6e:12:a0:b9:6f:76,-73,37
1712763415606,,2,1,6e:12:a0:b9:6f:76,-57,38
1712763415676,,2,1,6e:12:a0:b9:6f:76,-72,39
1712763415906,,2,1,6e:12:a0:b9:6f:76,-56,38
1712763416156,,2,1,6e:12:a0:b9:6f:76,-56,38
1712763416226,,2,1,6e:12:a0:b9:6f:76,-75,39
1712763416446,,2,1,6e:12:a0:b9:6f:76,-82,37
1712763416456,,2,1,6e:12:a0:b9:6f:76,-56,38
1712763416526,,2,1,6e:12:a0:b9:6f:76,-71,39
1712763416746,,2,1,6e:12:a0:b9:6f:76,-75,37
1712763416756,,2,1,6e:12:a0:b9:6f:76,-56,38
1712763416826,,2,1,6e:12:a0:b9:6f:76,-72,39
1712763417006,,2,1,6e:12:a0:b9:6f:76,-56,38
1712763417076,,2,1,6e:12:a0:b9:6f:76,-70,39
1712763417306,,2,1,6e:12:a0:b9:6f:76,-56,38
1712763417376,,2,1,6e:12:a0:b9:6f:76,-69,39
1712763417606,,2,1,6e:12:a0:b9:6f:76,-55,38
1712763417676,,2,1,6e:12:a0:b9:6f:76,-71,39
1712763417926,,2,1,6e:12:a0:b9:6f:76,-72,39
1712763418146,,2,1,6e:12:a0:b9:6f:76,-64,37
1712763418156,,2,1,6e:12:a0:b9:6f:76,-58,38
1712763418226,,2,1,6e:12:a0:b9:6f:76,-79,39
1712763418446,,2,1,6e:12:a0:b9:6f:76,-70,37
1712763418456,,2,1,6e:12:a0:b9:6f:76,-56,38
1712763418526,,2,1,6e:12:a0:b9:6f:76,-70,39
1712763418746,,2,1,6e:12:a0:b9:6f:76,-71,37
1712763418756,,2,1,6e:12:a0:b9:6f:76,-56,38
1712763418826,,2,1,6e:12:a0:b9:6f:76,-67,39
1712763419076,,2,1,6e:12:a0:b9:6f:76,-70,39
1712763419056,,2,1,6e:12:a0:b9:6f:76,-55,38
1712763419046,,2,1,6e:12:a0:b9:6f:76,-73,37
1712763419296,,2,1,6e:12:a0:b9:6f:76,-60,37
1712763419306,,2,1,6e:12:a0:b9:6f:76,-56,38
1712763419376,,2,1,6e:12:a0:b9:6f:76,-67,39
1712763419606,,2,1,6e:12:a0:b9:6f:76,-57,38
1712763419676,,2,1,6e:12:a0:b9:6f:76,-65,39
1712763419596,,2,1,6e:12:a0:b9:6f:76,-61,37
1712763419906,,2,1,6e:12:a0:b9:6f:76,-58,38
