Timestamp,DeviceName,AdvertisingType,AddressType,Address,RSSI,Channel
1712761632408,,2,1,53:95:32:ed:ca:09,-52,39
1712761632408,,2,1,53:95:32:ed:ca:09,-51,38
1712761632408,,2,1,53:95:32:ed:ca:09,-55,39
1712761632408,,2,1,53:95:32:ed:ca:09,-51,38
1712761632498,,2,1,53:95:32:ed:ca:09,-63,37
1712761632408,,2,1,53:95:32:ed:ca:09,-55,39
1712761632498,,2,1,53:95:32:ed:ca:09,-61,37
1712761632408,,2,1,53:95:32:ed:ca:09,-50,38
1712761632408,,2,1,53:95:32:ed:ca:09,-54,39
1712761632498,,2,1,53:95:32:ed:ca:09,-62,37
1712761632408,,2,1,53:95:32:ed:ca:09,-51,38
1712761632408,,2,1,53:95:32:ed:ca:09,-54,39
1712761632498,,2,1,53:95:32:ed:ca:09,-61,37
1712761632408,,2,1,53:95:32:ed:ca:09,-51,38
1712761632408,,2,1,53:95:32:ed:ca:09,-54,39
1712761632498,,2,1,53:95:32:ed:ca:09,-62,37
1712761632408,,2,1,53:95:32:ed:ca:09,-51,38
1712761632418,,2,1,53:95:32:ed:ca:09,-54,39
1712761632498,,2,1,53:95:32:ed:ca:09,-62,37
1712761632418,,2,1,53:95:32:ed:ca:09,-51,38
1712761632418,,2,1,53:95:32:ed:ca:09,-54,39
1712761632508,,2,1,53:95:32:ed:ca:09,-62,37
1712761632418,,2,1,53:95:32:ed:ca:09,-51,38
1712761632418,,2,1,53:95:32:ed:ca:09,-52,39
1712761632508,,2,1,53:95:32:ed:ca:09,-62,37
1712761632418,,2,1,53:95:32:ed:ca:09,-50,38
1712761632508,,2,1,53:95:32:ed:ca:09,-63,37
1712761632518,,2,1,53:95:32:ed:ca:09,-63,37
1712761632558,,2,1,53:95:32:ed:ca:09,-55,39
1712761632558,,2,1,53:95:32:ed:ca:09,-51,38
1712761632648,,2,1,53:95:32:ed:ca:09,-62,37
1712761632858,,2,1,53:95:32:ed:ca:09,-51,38
1712761632858,,2,1,53:95:32:ed:ca:09,-52,39
1712761633198,,2,1,53:95:32:ed:ca:09,-64,37
1712761633158,,2,1,53:95:32:ed:ca:09,-53,39
1712761633408,,2,1,53:95:32:ed:ca:09,-50,38
1712761633408,,2,1,53:95:32:ed:ca:09,-53,39
1712761633498,,2,1,53:95:32:ed:ca:09,-63,37
1712761633708,,2,1,53:95:32:ed:ca:09,-51,38
1712761633708,,2,1,53:95:32:ed:ca:09,-53,39
1712761633798,,2,1,53:95:32:ed:ca:09,-63,37
1712761634008,,2,1,53:95:32:ed:ca:09,-51,38
1712761634008,,2,1,53:95:32:ed:ca:09,-53,39
1712761634348,,2,1,53:95:32:ed:ca:09,-63,37
1712761634308,,2,1,53:95:32:ed:ca:09,-50,38
1712761634308,,2,1,53:95:32:ed:ca:09,-53,39
1712761634558,,2,1,53:95:32:ed:ca:09,-51,38
1712761634558,,2,1,53:95:32:ed:ca:09,-54,39
1712761634648,,2,1,53:95:32:ed:ca:09,-63,37
1712761634858,,2,1,53:95:32:ed:ca:09,-51,38
1712761634858,,2,1,53:95:32:ed:ca:09,-54,39
1712761634948,,2,1,53:95:32:ed:ca:09,-62,37
1712761635198,,2,1,53:95:32:ed:ca:09,-62,37
1712761635158,,2,1,53:95:32:ed:ca:09,-51,38
1712761635158,,2,1,53:95:32:ed:ca:09,-53,39
1712761635408,,2,1,53:95:32:ed:ca:09,-51,38
