Timestamp,DeviceName,AdvertisingType,AddressType,Address,RSSI,Channel
1715609203603,Onv,0,1,e8:d2:ed:ce:49:81,-51,38
1715609203593,,3,1,24:c1:60:83:56:16,-72,37
1715609203603,,3,1,24:c1:60:83:56:16,-65,38
1715609203593,,2,1,6a:30:f7:e4:4a:1b,-95,37
1715609203603,,2,1,6a:30:f7:e4:4a:1b,-71,38
1715609203593,,0,1,69:8b:35:03:f8:f8,-90,37
1715609203603,,3,1,24:c1:60:83:56:16,-64,38
1715609203593,,3,1,24:c1:60:83:56:16,-72,37
1715609203603,,3,1,56:0d:42:16:23:ff,-93,38
1715609203593,,0,1,72:98:a0:a5:e1:cf,-92,37
1715609203603,,0,1,5c:fe:e7:6d:f1:aa,-81,38
1715609203593,,3,1,56:0d:42:16:23:ff,-97,37
1715609203603,,0,1,5c:fe:e7:6d:f1:aa,-93,37
1715609203613,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-87,38
1715609203613,,2,1,56:34:17:f2:cf:bd,-51,38
1715609203603,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-82,37
1715609203613,,3,1,24:c1:60:83:56:16,-64,38
1715609203603,,2,1,56:34:17:f2:cf:bd,-57,37
1715609203623,,0,0,a4:c1:38:e0:67:ae,-58,38
1715609203613,,3,1,24:c1:60:83:56:16,-72,37
1715609203613,,0,0,a4:c1:38:e0:67:ae,-51,37
1715609203623,,0,1,72:98:a0:a5:e1:cf,-90,38
1715609203623,,3,1,24:c1:60:83:56:16,-73,37
1715609203633,,0,1,5c:fe:e7:6d:f1:aa,-85,38
1715609203623,,3,1,56:0d:42:16:23:ff,-98,37
1715609203653,,3,1,24:c1:60:83:56:16,-63,38
1715609203743,,3,1,24:c1:60:83:56:16,-73,37
1715609203753,,3,1,24:c1:60:83:56:16,-64,38
1715609203773,,2,1,56:34:17:f2:cf:bd,-56,37
1715609203773,,0,1,69:8b:35:03:f8:f8,-97,37
1715609203803,,2,1,56:34:17:f2:cf:bd,-56,38
1715609203823,,0,1,72:98:a0:a5:e1:cf,-90,38
1715609203813,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,37
1715609203813,,3,1,24:c1:60:83:56:16,-76,37
1715609203823,,3,1,24:c1:60:83:56:16,-63,38
1715609203813,,2,1,6a:30:f7:e4:4a:1b,-92,37
1715609203813,,0,0,14:13:0b:44:19:e5,-80,37
1715609203853,,2,1,6a:30:f7:e4:4a:1b,-73,38
1715609206413,,0,0,a4:c1:38:e0:67:ae,-56,39
1715609206413,,3,1,24:c1:60:83:56:16,-71,39
1715609206413,,0,1,5c:fe:e7:6d:f1:aa,-82,39
1715609206413,,3,1,f1:7d:c4:86:7e:d9,-81,39
1715609206413,,2,1,56:34:17:f2:cf:bd,-51,39
1715609206413,,3,1,24:c1:60:83:56:16,-71,39
1715609203903,,0,1,5c:fe:e7:6d:f1:aa,-83,38
1715609206423,,3,1,56:0d:42:16:23:ff,-92,39
1715609206423,,0,0,14:13:0b:44:19:e5,-81,39
1715609206423,,2,1,6a:30:f7:e4:4a:1b,-81,39
1715609206433,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-86,39
1715609206433,,3,1,24:c1:60:83:56:16,-70,39
1715609206443,,0,1,5c:fe:e7:6d:f1:aa,-85,39
1715609206463,,3,1,24:c1:60:83:56:16,-71,39
1715609203943,,3,1,24:c1:60:83:56:16,-76,37
1715609203953,,3,1,24:c1:60:83:56:16,-64,38
1715609203983,,3,1,e9:ce:7e:22:f0:16,-96,37
1715609203983,,3,1,56:0d:42:16:23:ff,-92,37
1715609204033,,3,1,4c:0f:1e:52:6e:ad,-95,37
1715609204033,,3,1,24:c1:60:83:56:16,-74,37
1715609206573,,3,1,24:c1:60:83:56:16,-71,39
1715609204043,,3,1,24:c1:60:83:56:16,-64,38
1715609206573,,2,1,56:34:17:f2:cf:bd,-51,39
1715609204043,,2,1,56:34:17:f2:cf:bd,-56,37
1715609204043,,2,1,56:34:17:f2:cf:bd,-55,38
1715609204103,,0,1,72:98:a0:a5:e1:cf,-86,38
1715609204093,,0,1,69:8b:35:03:f8:f8,-94,37
1715609204133,,2,1,6a:30:f7:e4:4a:1b,-73,38
1715609206663,,0,1,72:98:a0:a5:e1:cf,-88,39
1715609204133,,0,1,5c:fe:e7:6d:f1:aa,-83,38
1715609206663,,0,1,5c:fe:e7:6d:f1:aa,-80,39
1715609204133,,2,1,6a:30:f7:e4:4a:1b,-91,37
1715609204133,,3,1,24:c1:60:83:56:16,-75,37
1715609204153,,3,1,24:c1:60:83:56:16,-64,38
1715609206703,,3,1,24:c1:60:83:56:16,-71,39
1715609206703,,3,1,56:0d:42:16:23:ff,-86,39
1715609204193,,3,1,56:0d:42:16:23:ff,-91,37
1715609204243,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-86,38
1715609206773,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-87,39
1715609204233,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,37
1715609206773,,3,1,24:c1:60:83:56:16,-71,39
1715609204243,,3,1,24:c1:60:83:56:16,-63,38
1715609204233,,3,1,24:c1:60:83:56:16,-73,37
1715609206863,,2,1,56:34:17:f2:cf:bd,-50,39
1715609204343,,2,1,56:34:17:f2:cf:bd,-55,37
1715609204353,,2,1,56:34:17:f2:cf:bd,-56,38
1715609204363,,0,1,72:98:a0:a5:e1:cf,-88,37
1715609204363,,3,1,56:0d:42:16:23:ff,-94,37
1715609206913,,3,1,24:c1:60:83:56:16,-70,39
1715609204403,,0,1,72:98:a0:a5:e1:cf,-89,38
1715609206963,,0,1,5c:fe:e7:6d:f1:aa,-81,39
1715609204433,,0,1,5c:fe:e7:6d:f1:aa,-95,37
1715609204433,,3,1,ea:dd:27:fd:01:0f,-90,37
1715609204453,,0,1,5c:fe:e7:6d:f1:aa,-83,38
1715609207013,,3,1,24:c1:60:83:56:16,-70,39
1715609204503,,3,1,24:c1:60:83:56:16,-65,38
1715609204493,,3,1,24:c1:60:83:56:16,-74,37
1715609204553,,3,1,56:0d:42:16:23:ff,-93,37
1715609204553,,3,1,24:c1:60:83:56:16,-75,37
1715609204593,,0,1,69:8b:35:03:f8:f8,-91,37
1715609204603,,3,1,24:c1:60:83:56:16,-64,38
1715609204613,,2,1,56:34:17:f2:cf:bd,-55,37
1715609204613,,0,1,72:98:a0:a5:e1:cf,-87,37
1715609207163,,2,1,56:34:17:f2:cf:bd,-50,39
1715609204653,,2,1,56:34:17:f2:cf:bd,-60,38
1715609204673,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-84,38
1715609204663,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,37
1715609207193,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-82,39
1715609204673,,3,1,24:c1:60:83:56:16,-64,38
1715609204663,,3,1,24:c1:60:83:56:16,-73,37
1715609207193,,3,1,24:c1:60:83:56:16,-71,39
1715609204693,,0,1,5c:fe:e7:6d:f1:aa,-83,38
1715609204683,,0,1,5c:fe:e7:6d:f1:aa,-98,37
1715609207223,,0,1,5c:fe:e7:6d:f1:aa,-82,39
1715609204693,,2,1,6a:30:f7:e4:4a:1b,-73,38
1715609204683,,2,1,6a:30:f7:e4:4a:1b,-93,37
1715609207223,,2,1,6a:30:f7:e4:4a:1b,-83,39
1715609204743,,3,1,56:0d:42:16:23:ff,-92,37
1715609207313,,3,1,24:c1:60:83:56:16,-69,39
1715609204793,,3,1,24:c1:60:83:56:16,-73,37
1715609204803,,3,1,24:c1:60:83:56:16,-66,38
1715609204863,,3,1,24:c1:60:83:56:16,-73,37
1715609204863,,0,1,69:8b:35:03:f8:f8,-90,37
1715609207413,,3,1,24:c1:60:83:56:16,-69,39
1715609204903,,3,1,24:c1:60:83:56:16,-66,38
1715609204893,,2,1,56:34:17:f2:cf:bd,-55,37
1715609204913,,0,1,72:98:a0:a5:e1:cf,-89,37
1715609204913,,3,1,56:0d:42:16:23:ff,-95,37
1715609207463,,2,1,56:34:17:f2:cf:bd,-50,39
1715609204973,,0,1,5c:fe:e7:6d:f1:aa,-83,38
1715609204973,,2,1,6a:30:f7:e4:4a:1b,-72,38
1715609204973,,0,1,5c:fe:e7:6d:f1:aa,-103,37
1715609207503,,0,1,5c:fe:e7:6d:f1:aa,-80,39
1715609204973,,3,1,24:c1:60:83:56:16,-73,37
1715609207503,,3,1,24:c1:60:83:56:16,-68,39
1715609205003,,3,1,24:c1:60:83:56:16,-65,38
1715609207613,,3,1,24:c1:60:83:56:16,-68,39
1715609205083,,3,1,24:c1:60:83:56:16,-73,37
1715609205093,,3,1,24:c1:60:83:56:16,-65,38
1715609205083,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1715609205093,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-84,38
1715609207633,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-81,39
1715609207633,,3,1,56:0d:42:16:23:ff,-90,39
1715609207663,,0,0,14:13:0b:44:19:e5,-80,39
1715609205133,,0,0,14:13:0b:44:19:e5,-73,38
1715609205133,,0,1,e5:df:b0:35:2c:ea,-87,38
1715609205133,,3,1,56:0d:42:16:23:ff,-93,37
1715609205133,,0,1,69:8b:35:03:f8:f8,-90,37
1715609205163,,3,1,f1:7d:c4:86:7e:d9,-97,37
1715609205163,,0,1,72:98:a0:a5:e1:cf,-91,37
1715609207713,,3,1,f1:7d:c4:86:7e:d9,-80,39
1715609205183,,3,1,f1:7d:c4:86:7e:d9,-82,38
1715609205183,,2,1,56:34:17:f2:cf:bd,-61,38
1715609207713,,2,1,56:34:17:f2:cf:bd,-50,39
1715609205173,,2,1,56:34:17:f2:cf:bd,-56,37
1715609207713,,3,1,24:c1:60:83:56:16,-69,39
1715609205203,,3,1,24:c1:60:83:56:16,-65,38
1715609205173,,3,1,24:c1:60:83:56:16,-73,37
1715609207763,,0,1,5c:fe:e7:6d:f1:aa,-78,39
1715609205253,,0,1,5c:fe:e7:6d:f1:aa,-82,38
1715609205243,,0,1,5c:fe:e7:6d:f1:aa,-96,37
1715609205283,,2,1,6a:30:f7:e4:4a:1b,-98,37
1715609205293,,2,1,6a:30:f7:e4:4a:1b,-72,38
1715609205283,,3,1,24:c1:60:83:56:16,-74,37
1715609205293,,3,1,24:c1:60:83:56:16,-66,38
1715609205293,,3,1,56:0d:42:16:23:ff,-93,37
1715609207863,,3,1,24:c1:60:83:56:16,-69,39
1715609205403,,0,0,a4:c1:38:e0:67:ae,-60,38
1715609207923,,0,0,a4:c1:38:e0:67:ae,-66,39
1715609205393,,0,0,a4:c1:38:e0:67:ae,-52,37
1715609207923,,3,1,24:c1:60:83:56:16,-69,39
1715609205393,,3,1,24:c1:60:83:56:16,-75,37
1715609205443,,0,1,69:8b:35:03:f8:f8,-90,37
1715609205463,,0,1,72:98:a0:a5:e1:cf,-86,37
1715609205463,,2,1,56:34:17:f2:cf:bd,-56,37
1715609208013,,2,1,56:34:17:f2:cf:bd,-51,39
1715609205503,,2,1,56:34:17:f2:cf:bd,-60,38
1715609205493,,3,1,56:0d:42:16:23:ff,-93,37
1715609208033,,0,1,5c:fe:e7:6d:f1:aa,-80,39
1715609208033,,3,1,24:c1:60:83:56:16,-70,39
1715609205503,,3,1,24:c1:60:83:56:16,-74,37
1715609205503,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1715609208063,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-83,39
1715609205543,,3,1,24:c1:60:83:56:16,-65,38
1715609205543,,2,1,6a:30:f7:e4:4a:1b,-71,38
1715609205543,,2,1,6a:30:f7:e4:4a:1b,-94,37
1715609205603,,3,1,24:c1:60:83:56:16,-76,37
1715609205613,,3,1,24:c1:60:83:56:16,-65,38
1715609208143,,3,1,24:c1:60:83:56:16,-70,39
1715609208143,Onv,0,1,e8:d2:ed:ce:49:81,-51,39
1715609205603,Onv,0,1,e8:d2:ed:ce:49:81,-60,37
1715609205613,Onv,0,1,e8:d2:ed:ce:49:81,-57,38
1715609205693,,3,1,56:0d:42:16:23:ff,-92,37
1715609205703,,0,1,69:8b:35:03:f8:f8,-93,37
1715609205703,,3,1,24:c1:60:83:56:16,-74,37
1715609208263,,3,1,24:c1:60:83:56:16,-68,39
1715609205743,,0,1,72:98:a0:a5:e1:cf,-96,37
1715609205753,,3,1,24:c1:60:83:56:16,-65,38
1715609205773,,2,1,56:34:17:f2:cf:bd,-60,38
1715609208303,,2,1,56:34:17:f2:cf:bd,-50,39
1715609205763,,2,1,56:34:17:f2:cf:bd,-56,37
1715609205773,,0,1,5c:fe:e7:6d:f1:aa,-81,38
1715609208303,,0,1,5c:fe:e7:6d:f1:aa,-80,39
1715609205763,,0,1,5c:fe:e7:6d:f1:aa,-92,37
1715609205813,,3,1,24:c1:60:83:56:16,-74,37
1715609205823,,3,1,24:c1:60:83:56:16,-66,38
1715609205813,,2,1,6a:30:f7:e4:4a:1b,-96,37
1715609208363,,3,1,24:c1:60:83:56:16,-67,39
1715609205823,,2,1,6a:30:f7:e4:4a:1b,-73,38
1715609205893,,3,1,56:0d:42:16:23:ff,-94,37
1715609205933,,3,1,24:c1:60:83:56:16,-66,38
1715609205923,,3,1,24:c1:60:83:56:16,-74,37
1715609208463,,3,1,24:c1:60:83:56:16,-68,39
1715609205933,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-85,38
1715609205923,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1715609205973,,3,1,e9:ce:7e:22:f0:16,-92,37
1715609208513,,0,0,14:13:0b:44:19:e5,-81,39
1715609205973,,0,0,14:13:0b:44:19:e5,-90,37
1715609205993,,0,0,14:13:0b:44:19:e5,-75,38
1715609205983,,0,1,69:8b:35:03:f8:f8,-91,37
1715609206003,,0,0,14:13:0b:44:19:e5,-75,38
1715609205983,,0,0,14:13:0b:44:19:e5,-92,37
1715609208543,,0,0,14:13:0b:44:19:e5,-82,39
1715609205993,,0,1,72:98:a0:a5:e1:cf,-96,37
1715609208543,,0,0,14:13:0b:44:19:e5,-81,39
1715609206033,,0,0,14:13:0b:44:19:e5,-75,38
1715609206023,,0,0,14:13:0b:44:19:e5,-92,37
1715609208563,,3,1,24:c1:60:83:56:16,-69,39
1715609206033,,3,1,24:c1:60:83:56:16,-66,38
1715609206023,,3,1,24:c1:60:83:56:16,-73,37
1715609208573,,0,0,14:13:0b:44:19:e5,-81,39
1715609206043,,0,0,14:13:0b:44:19:e5,-75,38
1715609206033,,0,0,14:13:0b:44:19:e5,-91,37
1715609208573,,0,1,5c:fe:e7:6d:f1:aa,-79,39
1715609206043,,0,1,5c:fe:e7:6d:f1:aa,-81,38
1715609206033,,2,1,56:34:17:f2:cf:bd,-56,37
1715609208573,,2,1,56:34:17:f2:cf:bd,-51,39
1715609206053,,2,1,56:34:17:f2:cf:bd,-60,38
1715609206043,,0,1,5c:fe:e7:6d:f1:aa,-89,37
1715609208613,,0,0,14:13:0b:44:19:e5,-79,39
1715609206093,,0,0,14:13:0b:44:19:e5,-75,38
1715609206053,,3,1,56:0d:42:16:23:ff,-92,37
1715609206093,,0,0,14:13:0b:44:19:e5,-75,38
1715609206053,,0,0,14:13:0b:44:19:e5,-92,37
1715609206093,,0,0,14:13:0b:44:19:e5,-93,37
1715609208633,,0,0,14:13:0b:44:19:e5,-81,39
1715609206113,,0,0,14:13:0b:44:19:e5,-75,38
1715609206103,,0,0,14:13:0b:44:19:e5,-92,37
