Timestamp,DeviceName,AdvertisingType,AddressType,Address,RSSI,Channel
1715607976841,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-90,39
1715607976841,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-87,37
1715607976841,,2,1,66:62:a1:7d:e1:14,-72,39
1715607976841,,2,1,66:62:a1:7d:e1:14,-80,37
1715607976841,,0,1,6f:1a:30:9b:aa:8b,-90,39
1715607976921,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-90,38
1715607976841,,0,1,6f:1a:30:9b:aa:8b,-91,37
1715607976841,,3,1,2c:d4:65:48:07:fb,-64,39
1715607976841,,3,1,2c:d4:65:48:07:fb,-64,39
1715607976921,,2,1,66:62:a1:7d:e1:14,-78,38
1715607976841,,3,1,2c:d4:65:48:07:fb,-74,37
1715607976841,,0,1,5b:ee:e8:6e:26:d4,-79,39
1715607976851,,2,1,72:b8:6a:d7:81:06,-61,39
1715607976921,,0,1,6f:1a:30:9b:aa:8b,-86,38
1715607976841,,0,1,79:2b:b1:bc:ef:56,-95,37
1715607976851,,0,0,dc:23:4f:a9:9a:46,-69,39
1715607976851,,3,1,2c:d4:65:48:07:fb,-65,39
1715607976921,,3,1,2c:d4:65:48:07:fb,-66,38
1715607976841,,2,1,72:b8:6a:d7:81:06,-58,37
1715607976861,,3,1,77:03:3b:ba:eb:40,-90,39
1715607976921,,0,1,79:2b:b1:bc:ef:56,-90,38
1715607976861,,2,1,66:62:a1:7d:e1:14,-72,39
1715607976851,,0,0,dc:23:4f:a9:9a:46,-73,37
1715607976921,,0,1,7c:51:0f:c8:95:69,-96,38
1715607976871,,0,1,5b:ee:e8:6e:26:d4,-79,39
1715607976931,,3,1,2c:d4:65:48:07:fb,-65,38
1715607976891,,3,1,2c:d4:65:48:07:fb,-70,39
1715607976851,,3,1,2c:d4:65:48:07:fb,-76,37
1715607976931,,0,1,5b:ee:e8:6e:26:d4,-89,38
1715607976851,,0,1,6f:1a:30:9b:aa:8b,-90,37
1715607976931,,2,1,72:b8:6a:d7:81:06,-56,38
1715607976861,,2,1,66:62:a1:7d:e1:14,-80,37
1715607976941,,3,1,56:0f:5b:2c:7d:a6,-80,39
1715607976941,,0,0,dc:23:4f:a9:9a:46,-62,38
1715607976861,,3,1,2c:d4:65:48:07:fb,-73,37
1715607976941,,0,1,6f:1a:30:9b:aa:8b,-90,38
1715607976951,,3,1,dc:16:cb:78:a8:14,-81,39
1715607976871,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-87,37
1715607976891,,3,1,2c:d4:65:48:07:fb,-73,37
1715607976951,,2,1,72:b8:6a:d7:81:06,-60,39
1715607976951,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-89,38
1715607976951,,3,1,dc:16:cb:78:a8:14,-79,37
1715607976961,,0,1,6f:1a:30:9b:aa:8b,-87,39
1715607976971,,3,1,2c:d4:65:48:07:fb,-66,38
1715607976951,,2,1,72:b8:6a:d7:81:06,-59,37
1715607976961,,0,0,14:13:0b:44:19:e5,-71,39
1715607977021,,3,1,56:0f:5b:2c:7d:a6,-79,38
1715607976961,,0,1,6f:1a:30:9b:aa:8b,-87,37
1715607976991,,3,1,2c:d4:65:48:07:fb,-69,39
1715607977021,,3,1,dc:16:cb:78:a8:14,-78,38
1715607976961,,0,0,14:13:0b:44:19:e5,-81,37
1715607977031,,0,1,6f:1a:30:9b:aa:8b,-85,38
1715607976991,,3,1,2c:d4:65:48:07:fb,-73,37
1715607977031,,0,0,14:13:0b:44:19:e5,-68,38
1715607977071,,3,1,2c:d4:65:48:07:fb,-66,38
1715607977041,,3,1,77:03:3b:ba:eb:40,-93,37
1715607977121,,0,1,79:2b:b1:bc:ef:56,-78,38
1715607977061,,0,1,79:2b:b1:bc:ef:56,-80,37
1715607977061,,0,1,79:2b:b1:bc:ef:56,-82,39
1715607977061,,2,1,66:62:a1:7d:e1:14,-81,37
1715607977061,,2,1,66:62:a1:7d:e1:14,-72,39
1715607977151,,2,1,66:62:a1:7d:e1:14,-76,38
1715607977081,,0,1,5b:ee:e8:6e:26:d4,-80,39
1715607977151,,3,1,2c:d4:65:48:07:fb,-66,38
1715607977081,,3,1,2c:d4:65:48:07:fb,-69,39
1715607977091,,3,1,2c:d4:65:48:07:fb,-73,37
1715607977171,,0,1,7c:51:0f:c8:95:69,-97,38
1715607977141,,0,0,dc:23:4f:a9:9a:46,-70,39
1715607977141,,0,0,dc:23:4f:a9:9a:46,-73,37
1715607977211,,0,0,dc:23:4f:a9:9a:46,-61,38
1715607977211,,3,1,e0:ed:64:18:8d:3c,-88,38
1715607977181,,3,1,e0:ed:64:18:8d:3c,-87,37
1715607977181,,3,1,e0:ed:64:18:8d:3c,-89,39
1715607977181,,3,1,2c:d4:65:48:07:fb,-74,37
1715607977181,,3,1,2c:d4:65:48:07:fb,-69,39
1715607977271,,3,1,2c:d4:65:48:07:fb,-66,38
1715607977221,,3,1,77:03:3b:ba:eb:40,-85,39
1715607977221,,0,1,6f:1a:30:9b:aa:8b,-85,39
