Timestamp,DeviceName,AdvertisingType,AddressType,Address,RSSI,Channel
1712926512709,,0,1,e8:15:d4:f5:ba:ba,-54,38
1712926512709,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-81,38
1712926512709,,0,0,dc:23:4f:a9:9a:46,-75,38
1712926512799,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926512709,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926512799,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-79,37
1712926512799,,0,0,dc:23:4f:a9:9a:46,-78,37
1712926512709,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-80,38
1712926512799,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926512709,,0,1,7f:d9:b5:78:d4:26,-95,38
1712926512719,,3,1,dc:13:fc:9a:a3:e4,-98,38
1712926512799,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926512719,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-81,38
1712926512799,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926512729,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926512809,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926512729,,0,1,7f:d9:b5:78:d4:26,-97,38
1712926512809,,0,0,dc:23:4f:a9:9a:46,-80,37
1712926512729,,3,1,fe:98:fd:b7:78:00,-96,38
1712926512819,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926512819,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926512819,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926514099,,0,1,e8:15:d4:f5:ba:ba,-61,39
1712926514099,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,39
1712926514099,,0,0,dc:23:4f:a9:9a:46,-80,39
1712926514099,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-80,39
1712926514099,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-79,39
1712926514109,,0,1,e8:15:d4:f5:ba:ba,-61,39
1712926514109,,0,0,a4:c1:38:e0:67:ae,-51,39
1712926514109,,0,0,dc:23:4f:a9:9a:46,-80,39
1712926514119,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,39
1712926514119,,0,1,e8:15:d4:f5:ba:ba,-62,39
1712926514119,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,39
1712926512999,,0,1,e8:15:d4:f5:ba:ba,-48,37
1712926514199,,0,1,e8:15:d4:f5:ba:ba,-62,39
1712926512959,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926514249,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,39
1712926513009,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-81,38
1712926514449,,0,0,dc:23:4f:a9:9a:46,-80,39
1712926513209,,0,0,dc:23:4f:a9:9a:46,-75,38
1712926513299,,0,0,dc:23:4f:a9:9a:46,-79,37
1712926513409,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-82,38
1712926513499,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926514699,,0,1,e8:15:d4:f5:ba:ba,-61,39
1712926513459,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926513549,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926513599,,0,0,a4:c1:38:e0:67:ae,-57,37
1712926514799,,0,0,a4:c1:38:e0:67:ae,-51,39
1712926513559,,0,0,a4:c1:38:e0:67:ae,-50,38
1712926513899,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926515099,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,39
1712926513859,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-80,38
1712926515199,,0,1,e8:15:d4:f5:ba:ba,-62,39
1712926513959,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926514049,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926514009,,0,1,74:c9:ef:54:9d:ba,-95,38
1712926514099,,0,1,74:c9:ef:54:9d:ba,-89,37
1712926514149,,0,1,74:c9:ef:54:9d:ba,-99,38
1712926514149,,3,1,7c:a8:68:63:c5:33,-99,38
1712926514239,,0,1,74:c9:ef:54:9d:ba,-86,37
1712926514239,,3,1,de:99:2f:7a:41:62,-87,37
1712926514189,,3,1,de:99:2f:7a:41:62,-96,38
1712926515449,,0,0,dc:23:4f:a9:9a:46,-79,39
1712926514189,,0,0,dc:23:4f:a9:9a:46,-74,38
1712926514299,,0,0,dc:23:4f:a9:9a:46,-79,37
1712926515499,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,39
1712926514259,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-81,38
1712926514349,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926514449,Onv,0,1,e8:d2:ed:ce:49:81,-53,37
1712926515649,Onv,0,1,e8:d2:ed:ce:49:81,-50,39
1712926514409,Onv,0,1,e8:d2:ed:ce:49:81,-59,38
1712926515699,,0,1,e8:15:d4:f5:ba:ba,-61,39
1712926514459,,0,1,e8:15:d4:f5:ba:ba,-54,38
1712926514549,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926514749,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926515949,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-79,39
1712926514709,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-79,38
1712926516199,,0,1,e8:15:d4:f5:ba:ba,-62,39
1712926514959,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926515049,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926516349,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,39
1712926515109,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-81,38
1712926515199,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926515209,,0,0,dc:23:4f:a9:9a:46,-74,38
1712926515299,,0,0,dc:23:4f:a9:9a:46,-78,37
1712926515449,,0,1,5b:03:10:66:00:dd,-95,37
1712926516699,,0,1,e8:15:d4:f5:ba:ba,-62,39
1712926515459,,0,1,e8:15:d4:f5:ba:ba,-54,38
1712926515549,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926515599,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,37
1712926516799,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-79,39
1712926516849,,0,0,a4:c1:38:e0:67:ae,-52,39
1712926515609,,0,0,a4:c1:38:e0:67:ae,-50,38
1712926515699,,0,0,a4:c1:38:e0:67:ae,-58,37
1712926515909,,0,1,5b:03:10:66:00:dd,-106,38
1712926515929,,0,1,7f:d9:b5:78:d4:26,-95,38
1712926515929,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-86,38
1712926516019,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,37
1712926517189,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-79,39
1712926516019,,0,1,e8:15:d4:f5:ba:ba,-48,37
1712926517189,,0,1,e8:15:d4:f5:ba:ba,-65,39
1712926515959,,0,1,e8:15:d4:f5:ba:ba,-56,38
1712926516159,,0,1,5b:03:10:66:00:dd,-101,38
1712926517449,,0,0,dc:23:4f:a9:9a:46,-78,39
1712926516199,,0,1,7f:d9:b5:78:d4:26,-94,38
1712926516199,,0,0,dc:23:4f:a9:9a:46,-75,38
1712926516299,,0,0,dc:23:4f:a9:9a:46,-79,37
1712926516359,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-84,38
1712926516449,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,37
1712926517649,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-81,39
1712926516459,,0,1,e8:15:d4:f5:ba:ba,-82,38
1712926516549,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926516509,,0,1,7f:d9:b5:78:d4:26,-96,38
1712926518049,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-81,39
1712926516809,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-82,38
1712926516899,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926516949,Onv,0,1,e8:d2:ed:ce:49:81,-52,37
1712926518149,Onv,0,1,e8:d2:ed:ce:49:81,-49,39
1712926516909,Onv,0,1,e8:d2:ed:ce:49:81,-60,38
1712926516959,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926517049,,0,1,e8:15:d4:f5:ba:ba,-48,37
1712926518249,,0,1,e8:15:d4:f5:ba:ba,-64,39
1712926517009,,0,0,a4:c1:38:04:ea:93,-97,38
1712926517109,,3,1,fe:98:fd:b7:78:00,-96,38
1712926517209,,0,0,dc:23:4f:a9:9a:46,-76,38
1712926518459,,0,0,dc:23:4f:a9:9a:46,-78,39
1712926517289,,0,0,dc:23:4f:a9:9a:46,-79,37
1712926518459,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-80,39
1712926517289,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926517549,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926518749,,0,1,e8:15:d4:f5:ba:ba,-65,39
1712926517509,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926518899,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-79,39
1712926517659,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-83,38
1712926517749,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,37
1712926517899,,0,0,a4:c1:38:e0:67:ae,-58,37
1712926519099,,0,0,a4:c1:38:e0:67:ae,-53,39
1712926519249,,0,1,e8:15:d4:f5:ba:ba,-65,39
1712926518009,,0,1,e8:15:d4:f5:ba:ba,-54,38
1712926518059,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-83,38
1712926518149,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,37
1712926519349,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-81,39
1712926518299,,0,0,dc:23:4f:a9:9a:46,-78,37
1712926519499,,0,0,dc:23:4f:a9:9a:46,-78,39
1712926518259,,0,0,dc:23:4f:a9:9a:46,-76,38
1712926518479,,0,1,e8:15:d4:f5:ba:ba,-54,38
1712926519729,,0,1,e8:15:d4:f5:ba:ba,-64,39
1712926518479,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-83,38
1712926519729,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-80,39
1712926518599,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,37
1712926520149,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-79,39
1712926518909,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-83,38
1712926518999,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926520249,,0,1,e8:15:d4:f5:ba:ba,-65,39
1712926519009,,0,1,e8:15:d4:f5:ba:ba,-54,38
1712926519099,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926520499,,0,0,dc:23:4f:a9:9a:46,-78,39
1712926519259,,0,0,dc:23:4f:a9:9a:46,-75,38
1712926519349,,0,0,dc:23:4f:a9:9a:46,-78,37
1712926519399,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926520599,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-80,39
1712926519359,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-83,38
1712926520649,Onv,0,1,e8:d2:ed:ce:49:81,-50,39
1712926519409,Onv,0,1,e8:d2:ed:ce:49:81,-61,38
1712926519499,Onv,0,1,e8:d2:ed:ce:49:81,-53,37
1712926520749,,0,1,e8:15:d4:f5:ba:ba,-65,39
1712926519509,,0,1,e8:15:d4:f5:ba:ba,-54,38
1712926519599,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926520999,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-79,39
1712926519759,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-83,38
1712926519849,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926521099,,0,0,a4:c1:38:e0:67:ae,-53,39
1712926519859,,0,0,a4:c1:38:e0:67:ae,-50,38
1712926519949,,0,0,a4:c1:38:e0:67:ae,-58,37
1712926521249,,0,1,e8:15:d4:f5:ba:ba,-65,39
1712926520009,,0,1,e8:15:d4:f5:ba:ba,-54,38
1712926520099,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926520249,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,37
1712926521449,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-81,39
1712926520209,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-83,38
1712926521499,,0,0,dc:23:4f:a9:9a:46,-81,39
1712926520259,,0,0,dc:23:4f:a9:9a:46,-76,38
1712926520349,,0,0,dc:23:4f:a9:9a:46,-79,37
1712926521749,,0,1,e8:15:d4:f5:ba:ba,-65,39
1712926520509,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926520599,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926521849,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-80,39
1712926520609,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-84,38
1712926520699,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,37
1712926522249,,0,1,e8:15:d4:f5:ba:ba,-64,39
1712926521009,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926521089,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926521089,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926522299,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-80,39
1712926521059,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-83,38
1712926522499,,0,0,dc:23:4f:a9:9a:46,-78,39
1712926521259,,0,0,dc:23:4f:a9:9a:46,-75,38
1712926521349,,0,0,dc:23:4f:a9:9a:46,-78,37
1712926522699,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,39
1712926521459,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-83,38
1712926521549,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-79,37
1712926522749,,0,1,e8:15:d4:f5:ba:ba,-65,39
1712926521509,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926521599,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926521859,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-84,38
1712926523119,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-81,39
1712926521949,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926523119,Onv,0,1,e8:d2:ed:ce:49:81,-50,39
1712926521969,Onv,0,1,e8:d2:ed:ce:49:81,-52,37
1712926521889,Onv,0,1,e8:d2:ed:ce:49:81,-61,38
1712926521969,,0,0,a4:c1:38:e0:67:ae,-59,37
1712926523149,,0,0,a4:c1:38:e0:67:ae,-52,39
1712926521889,,0,0,a4:c1:38:e0:67:ae,-51,38
1712926523249,,0,1,e8:15:d4:f5:ba:ba,-64,39
1712926522009,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926522099,,0,1,e8:15:d4:f5:ba:ba,-48,37
1712926523499,,0,0,dc:23:4f:a9:9a:46,-78,39
1712926522259,,0,0,dc:23:4f:a9:9a:46,-76,38
1712926522349,,0,0,dc:23:4f:a9:9a:46,-78,37
1712926523549,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-80,39
1712926522309,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-83,38
1712926522399,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926523749,,0,1,e8:15:d4:f5:ba:ba,-64,39
1712926522509,,0,1,e8:15:d4:f5:ba:ba,-54,38
1712926522599,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926522749,,0,0,a4:c1:38:04:ea:93,-94,37
1712926522709,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-84,38
1712926522799,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,37
1712926523999,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,39
1712926523009,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926523099,,0,1,e8:15:d4:f5:ba:ba,-48,37
1712926524299,,0,1,e8:15:d4:f5:ba:ba,-64,39
1712926523059,,0,1,5b:03:10:66:00:dd,-94,38
1712926524399,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,39
1712926523159,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-84,38
1712926523249,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,37
1712926524499,,0,0,dc:23:4f:a9:9a:46,-79,39
1712926523259,,0,0,dc:23:4f:a9:9a:46,-76,38
1712926523349,,0,0,dc:23:4f:a9:9a:46,-78,37
1712926523599,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926524799,,0,1,e8:15:d4:f5:ba:ba,-63,39
1712926523559,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-84,38
1712926523649,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926525199,,0,0,a4:c1:38:e0:67:ae,-52,39
1712926523959,,0,0,a4:c1:38:e0:67:ae,-51,38
1712926524049,,0,0,a4:c1:38:e0:67:ae,-59,37
1712926525249,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-81,39
1712926524009,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-83,38
1712926524089,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926524089,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926525299,,0,1,e8:15:d4:f5:ba:ba,-65,39
1712926524259,,0,0,dc:23:4f:a9:9a:46,-76,38
1712926524349,,0,0,dc:23:4f:a9:9a:46,-78,37
1712926525549,,0,0,dc:23:4f:a9:9a:46,-79,39
1712926524469,Onv,0,1,e8:d2:ed:ce:49:81,-52,37
1712926524389,Onv,0,1,e8:d2:ed:ce:49:81,-59,38
1712926525639,Onv,0,1,e8:d2:ed:ce:49:81,-50,39
1712926524389,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-84,38
1712926525639,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-79,39
1712926524469,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,37
1712926524599,,0,1,e8:15:d4:f5:ba:ba,-48,37
1712926524599,,0,0,a4:c1:38:04:ea:93,-92,37
1712926525799,,0,1,e8:15:d4:f5:ba:ba,-65,39
1712926524559,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926524899,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,37
1712926526099,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,39
1712926524859,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-84,38
1712926525099,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926526299,,0,1,e8:15:d4:f5:ba:ba,-65,39
1712926525059,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926526499,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-81,39
1712926525329,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-80,37
1712926525259,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-83,38
1712926525339,,0,0,dc:23:4f:a9:9a:46,-78,37
1712926525259,,0,0,dc:23:4f:a9:9a:46,-76,38
1712926526549,,0,0,dc:23:4f:a9:9a:46,-78,39
1712926525599,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926525529,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926525529,,0,1,5b:03:10:66:00:dd,-96,38
1712926526799,,0,1,e8:15:d4:f5:ba:ba,-64,39
1712926525659,,0,1,7a:3b:0e:70:30:ac,-103,38
1712926525749,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926526949,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-79,39
1712926525809,,0,1,5b:03:10:66:00:dd,-100,38
1712926527299,,0,1,e8:15:d4:f5:ba:ba,-64,39
1712926526059,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926526149,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926527349,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-80,39
1712926526109,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-83,38
1712926526199,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,37
1712926527499,,0,0,a4:c1:38:e0:67:ae,-52,39
1712926526259,,0,0,a4:c1:38:e0:67:ae,-50,38
1712926526339,,0,0,a4:c1:38:e0:67:ae,-58,37
1712926526339,,0,0,dc:23:4f:a9:9a:46,-78,37
1712926527549,,0,0,dc:23:4f:a9:9a:46,-79,39
1712926526309,,0,0,dc:23:4f:a9:9a:46,-75,38
1712926526509,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-83,38
1712926526599,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926527799,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-79,39
1712926526559,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926526649,,0,1,e8:15:d4:f5:ba:ba,-48,37
1712926528149,Onv,0,1,e8:d2:ed:ce:49:81,-50,39
1712926526909,Onv,0,1,e8:d2:ed:ce:49:81,-59,38
1712926526999,Onv,0,1,e8:d2:ed:ce:49:81,-53,37
1712926528199,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,39
1712926526959,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-85,38
1712926527049,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926527009,,0,1,7a:3b:0e:70:30:ac,-95,38
1712926528299,,0,1,e8:15:d4:f5:ba:ba,-64,39
1712926527059,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926527149,,0,1,e8:15:d4:f5:ba:ba,-48,37
1712926527109,,3,1,fe:98:fd:b7:78:00,-101,38
1712926528549,,0,0,dc:23:4f:a9:9a:46,-79,39
1712926527309,,0,0,dc:23:4f:a9:9a:46,-76,38
1712926527399,,0,0,dc:23:4f:a9:9a:46,-79,37
1712926528599,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-79,39
1712926527359,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-83,38
1712926527449,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,37
1712926527409,,3,1,ef:e0:de:ba:41:37,-99,38
1712926528799,,0,1,e8:15:d4:f5:ba:ba,-64,39
1712926527559,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926527649,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926527849,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926529049,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,39
1712926527809,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-83,38
1712926529299,,0,1,e8:15:d4:f5:ba:ba,-64,39
1712926528059,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926528149,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926529449,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-80,39
1712926528209,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-83,38
1712926528299,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-79,37
1712926528359,,0,0,dc:23:4f:a9:9a:46,-78,37
1712926528359,,0,1,5b:03:10:66:00:dd,-93,37
1712926529549,,0,0,dc:23:4f:a9:9a:46,-80,39
1712926528309,,0,0,dc:23:4f:a9:9a:46,-76,38
1712926528389,,0,0,a4:c1:38:04:ea:93,-95,37
1712926528389,,0,0,a4:c1:38:e0:67:ae,-58,37
1712926529599,,0,0,a4:c1:38:e0:67:ae,-53,39
1712926528359,,0,0,a4:c1:38:e0:67:ae,-50,38
1712926528459,,0,1,6d:8f:49:1b:e7:05,-101,38
1712926529799,,0,1,e8:15:d4:f5:ba:ba,-65,39
1712926528559,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926528649,,0,1,e8:15:d4:f5:ba:ba,-49,37
1712926528699,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926529899,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-79,39
1712926528659,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-82,38
1712926530299,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-81,39
1712926529129,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712926529049,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-84,38
1712926529129,,0,1,e8:15:d4:f5:ba:ba,-48,37
1712926529049,,0,1,e8:15:d4:f5:ba:ba,-55,38
1712926530349,,0,1,e8:15:d4:f5:ba:ba,-65,39
1712926530549,,0,0,dc:23:4f:a9:9a:46,-79,39
1712926529309,,0,0,dc:23:4f:a9:9a:46,-75,38
1712926529399,,0,0,dc:23:4f:a9:9a:46,-79,37
1712926530649,Onv,0,1,e8:d2:ed:ce:49:81,-50,39
1712926529409,Onv,0,1,e8:d2:ed:ce:49:81,-59,38
1712926529499,Onv,0,1,e8:d2:ed:ce:49:81,-54,37
