Timestamp,DeviceName,AdvertisingType,AddressType,Address,RSSI,Channel
1710942175722,,3,01,64:b9:30:6c:f1:77,-90,37
1710942175722,,0,01,49:dd:b5:a2:80:b0,-55,37
1710942175722,SP3B11ed5d28,0,01,cb:94:54:ed:5d:28,-72,37
1710942175832,,3,01,64:b9:30:6c:f1:77,-99,38
1710942175722,,3,01,5b:65:47:7d:27:cf,-90,37
1710942175832,SP3B11ed5d28,0,01,cb:94:54:ed:5d:28,-78,38
1710942175722,,0,00,a4:c1:38:e0:67:ae,-69,37
1710942175832,,3,01,5b:65:47:7d:27:cf,-85,38
1710942175722,,3,01,f7:f2:6b:22:a4:30,-73,37
1710942175832,,0,00,a4:c1:38:e0:67:ae,-69,38
1710942175732,,0,01,55:14:32:a6:d7:ff,-69,37
1710942175832,,3,01,f7:f2:6b:22:a4:30,-77,38
1710942175732,,3,01,5a:28:52:1c:62:dc,-55,37
1710942175832,,0,01,55:14:32:a6:d7:ff,-62,38
1710942175732,,0,01,57:68:bf:d0:c7:7c,-95,37
1710942175842,,3,01,5a:28:52:1c:62:dc,-55,38
1710942175742,,3,01,3a:66:73:99:ce:7c,-84,37
1710942175842,,3,01,3b:37:d4:c1:4c:f9,-84,38
1710942175742,,3,01,3b:37:d4:c1:4c:f9,-73,37
1710942175842,,0,01,4e:29:88:a4:b5:b0,-80,38
1710942175752,,0,01,49:dd:b5:a2:80:b0,-57,37
1710942175852,,0,01,4a:74:6a:c3:fe:6e,-54,38
1710942175752,,3,01,3a:66:73:99:ce:7c,-82,37
1710942175852,,0,01,ff:cb:d1:dc:df:ea,-46,38
1710942175752,,0,00,14:13:0b:44:19:e5,-82,37
1710942175862,,0,01,49:dd:b5:a2:80:b0,-56,38
1710942175762,,3,01,3b:37:d4:c1:4c:f9,-75,37
1710942175762,,0,00,14:13:0b:44:19:e5,-79,37
1710942175862,,3,01,3a:66:73:99:ce:7c,-89,38
1710942175862,,0,00,14:13:0b:44:19:e5,-86,38
1710942175762,,0,01,49:dd:b5:a2:80:b0,-57,37
1710942175872,,3,01,3b:37:d4:c1:4c:f9,-83,38
