Timestamp,DeviceName,AdvertisingType,AddressType,Address,RSSI,Channel
1712315954511,,0,0,a4:c1:38:e0:67:ae,-58,38
1712315954511,,0,0,dc:23:4f:a9:9a:46,-79,38
1712315954511,,2,1,65:ee:a6:5d:73:64,-70,38
1712315954611,,0,0,a4:c1:38:e0:67:ae,-58,37
1712315954511,,0,0,a0:de:0f:9b:a4:02,-83,38
1712315954611,,0,1,43:29:1c:75:64:02,-90,37
1712315954511,,0,1,69:a7:43:2b:ec:af,-79,38
1712315954611,,2,1,5b:bd:f3:88:f9:ca,-96,37
1712315954701,,0,0,a4:c1:38:e0:67:ae,-60,39
1712315954511,,0,1,ff:cb:d1:dc:df:ea,-54,38
1712315954611,,0,0,dc:23:4f:a9:9a:46,-82,37
1712315954521,,0,0,14:13:0b:44:19:e5,-76,38
1712315954701,,0,0,dc:23:4f:a9:9a:46,-81,39
1712315954611,,2,1,65:ee:a6:5d:73:64,-76,37
1712315954521,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-76,38
1712315954701,,2,1,65:ee:a6:5d:73:64,-67,39
1712315954611,,0,0,a0:de:0f:9b:a4:02,-85,37
1712315954521,,2,1,65:ee:a6:5d:73:64,-70,38
1712315954701,,0,0,a0:de:0f:9b:a4:02,-83,39
1712315954621,,3,1,d2:3f:c7:61:75:3a,-89,37
1712315954531,,0,1,69:a7:43:2b:ec:af,-79,38
1712315954701,,0,1,ff:cb:d1:dc:df:ea,-54,39
1712315954531,,0,0,a0:de:0f:9b:a4:02,-84,38
1712315954621,,3,1,45:56:6b:4a:15:da,-91,37
1712315954701,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,39
1712315954561,,2,1,65:ee:a6:5d:73:64,-70,38
1712315954621,,0,1,69:a7:43:2b:ec:af,-80,37
1712315954711,,2,1,65:ee:a6:5d:73:64,-66,39
1712315954631,,2,1,5b:bd:f3:88:f9:ca,-96,37
1712315954711,,0,0,a0:de:0f:9b:a4:02,-83,39
1712315954631,,0,1,ff:cb:d1:dc:df:ea,-43,37
1712315954711,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,39
1712315954631,,2,1,61:ba:79:34:06:7f,-99,37
1712315954721,,2,1,65:ee:a6:5d:73:64,-66,39
1712315954661,,2,1,65:ee:a6:5d:73:64,-76,37
1712315954721,,2,1,65:ee:a6:5d:73:64,-66,39
1712315954751,,2,1,65:ee:a6:5d:73:64,-67,39
1712315954711,,0,1,43:29:1c:75:64:02,-90,37
1712315954661,,0,0,dc:23:4f:a9:9a:46,-78,38
1712315954761,,0,0,dc:23:4f:a9:9a:46,-84,37
1712315954851,,0,0,dc:23:4f:a9:9a:46,-83,39
1712315954761,,0,1,69:a7:43:2b:ec:af,-82,38
1712315954861,,0,1,69:a7:43:2b:ec:af,-76,37
1712315954811,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-75,38
1712315954911,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-80,37
1712315955001,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,39
1712315954861,,2,1,65:ee:a6:5d:73:64,-71,38
1712315954961,,2,1,65:ee:a6:5d:73:64,-77,37
1712315955051,,2,1,65:ee:a6:5d:73:64,-66,39
1712315955011,,0,1,43:29:1c:75:64:02,-89,37
1712315955011,,0,0,a0:de:0f:9b:a4:02,-82,38
1712315955111,,0,0,a0:de:0f:9b:a4:02,-88,37
1712315955161,,2,1,61:ba:79:34:06:7f,-94,37
1712315955301,,2,1,65:ee:a6:5d:73:64,-67,39
1712315955241,,2,1,65:ee:a6:5d:73:64,-76,37
1712315955151,,2,1,65:ee:a6:5d:73:64,-71,38
1712315955241,,0,1,69:a7:43:2b:ec:af,-78,37
1712315955151,,0,1,69:a7:43:2b:ec:af,-78,38
1712315955261,,2,1,5b:bd:f3:88:f9:ca,-94,37
1712315955301,,0,1,43:29:1c:75:64:02,-89,37
1712315955301,,2,1,61:ba:79:34:06:7f,-95,37
1712315955221,,2,1,61:ba:79:34:06:7f,-98,38
1712315955221,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-76,38
1712315955401,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,39
1712315955261,,0,1,ff:cb:d1:dc:df:ea,-52,38
1712315955351,,0,1,ff:cb:d1:dc:df:ea,-43,37
1712315955431,,0,1,ff:cb:d1:dc:df:ea,-53,39
1712315955351,,0,0,14:13:0b:44:19:e5,-85,37
1712315955431,,0,0,14:13:0b:44:19:e5,-80,39
1712315955391,,0,0,14:13:0b:44:19:e5,-85,37
1712315955301,,0,0,14:13:0b:44:19:e5,-75,38
1712315955471,,0,0,14:13:0b:44:19:e5,-81,39
1712315955391,,0,0,14:13:0b:44:19:e5,-84,37
1712315955301,,0,0,14:13:0b:44:19:e5,-75,38
1712315955471,,0,0,14:13:0b:44:19:e5,-79,39
1712315955501,,0,0,14:13:0b:44:19:e5,-81,39
1712315955441,,0,0,14:13:0b:44:19:e5,-85,37
1712315955351,,0,0,14:13:0b:44:19:e5,-75,38
1712315955441,,0,0,14:13:0b:44:19:e5,-85,37
1712315955351,,0,0,14:13:0b:44:19:e5,-74,38
1712315955461,,2,1,5b:bd:f3:88:f9:ca,-92,37
1712315955551,,0,0,14:13:0b:44:19:e5,-81,39
1712315955391,,0,0,14:13:0b:44:19:e5,-74,38
1712315955391,,0,0,14:13:0b:44:19:e5,-75,38
1712315955491,,0,0,14:13:0b:44:19:e5,-85,37
1712315955581,,0,0,14:13:0b:44:19:e5,-82,39
1712315955411,,2,1,61:ba:79:34:06:7f,-99,38
1712315955491,,2,1,65:ee:a6:5d:73:64,-75,37
1712315955411,,2,1,65:ee:a6:5d:73:64,-70,38
1712315955581,,2,1,65:ee:a6:5d:73:64,-67,39
1712315955511,,0,0,14:13:0b:44:19:e5,-85,37
1712315955601,,0,0,14:13:0b:44:19:e5,-79,39
1712315955541,,0,0,14:13:0b:44:19:e5,-87,37
1712315955451,,0,0,14:13:0b:44:19:e5,-74,38
1712315955541,,0,0,14:13:0b:44:19:e5,-86,37
