Timestamp,DeviceName,AdvertisingType,AddressType,Address,RSSI,Channel
1712314855411,,0,0,b0:02:47:87:f9:b6,-88,37
1712314855721,,0,0,b0:02:47:87:f9:b6,-93,38
1712314855731,,2,1,45:99:46:38:8f:31,-68,39
1712314855411,,0,0,b0:02:47:87:f9:b6,-97,37
1712314855731,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-76,39
1712314855721,,0,0,b0:02:47:87:f9:b6,-92,38
1712314855731,,0,0,14:13:0b:44:19:e5,-89,39
1712314855411,,0,1,ff:cb:d1:dc:df:ea,-43,37
1712314855721,,0,1,ff:cb:d1:dc:df:ea,-53,38
1712314855731,,2,1,45:99:46:38:8f:31,-66,39
1712314855411,,0,0,a0:de:0f:9b:a4:02,-84,37
1712314855731,,0,0,a4:c1:38:e0:67:ae,-62,39
1712314855721,,0,0,a0:de:0f:9b:a4:02,-81,38
1712314855411,,2,1,45:99:46:38:8f:31,-76,37
1712314855721,,2,1,45:99:46:38:8f:31,-70,38
1712314855731,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-76,39
1712314855721,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,38
1712314855411,,0,0,b0:02:47:87:f9:b6,-94,37
1712314855731,,0,0,14:13:0b:44:19:e5,-88,38
1712314855741,,0,0,dc:23:4f:a9:9a:46,-82,39
1712314855421,,0,0,b0:02:47:87:f9:b6,-90,37
1712314855731,,2,1,45:99:46:38:8f:31,-69,38
1712314855741,,0,1,ff:cb:d1:dc:df:ea,-57,39
1712314855421,,0,0,b0:02:47:87:f9:b6,-94,37
1712314855741,,0,0,a4:c1:38:e0:67:ae,-57,38
1712314855751,,2,1,45:99:46:38:8f:31,-67,39
1712314855421,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
1712314855741,,0,0,a0:de:0f:9b:a4:02,-82,38
1712314855751,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-76,39
1712314855431,,0,0,b0:02:47:87:f9:b6,-91,37
1712314855741,,2,1,45:99:46:38:8f:31,-70,38
1712314855751,Onv,0,1,e8:d2:ed:ce:49:81,-52,39
1712314855431,,2,1,45:99:46:38:8f:31,-76,37
1712314855751,,0,0,14:13:0b:44:19:e5,-96,38
1712314855761,,0,0,14:13:0b:44:19:e5,-84,39
1712314855441,,0,0,14:13:0b:44:19:e5,-81,37
1712314855781,,3,1,ee:d8:09:63:f3:f1,-90,38
1712314855761,,2,1,45:99:46:38:8f:31,-68,39
1712314855441,,0,0,14:13:0b:44:19:e5,-79,37
1712314855781,,0,0,14:13:0b:44:19:e5,-95,38
1712314855771,,0,0,14:13:0b:44:19:e5,-84,39
1712314855461,,2,1,45:99:46:38:8f:31,-79,37
1712314855871,,0,0,14:13:0b:44:19:e5,-95,38
1712314855781,,0,0,14:13:0b:44:19:e5,-82,39
1712314855461,,0,0,14:13:0b:44:19:e5,-80,37
1712314855971,,0,0,14:13:0b:44:19:e5,-96,38
1712314855821,,3,1,ee:d8:09:63:f3:f1,-86,39
1712314856011,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,38
1712314855501,,0,0,14:13:0b:44:19:e5,-80,37
1712314855821,,0,0,14:13:0b:44:19:e5,-88,39
1712314856011,,0,0,14:13:0b:44:19:e5,-95,38
1712314855501,,0,0,14:13:0b:44:19:e5,-79,37
1712314855861,,0,0,14:13:0b:44:19:e5,-89,39
1712314856021,,2,1,45:99:46:38:8f:31,-70,38
1712314855861,,0,0,14:13:0b:44:19:e5,-87,39
1712314855541,,0,0,14:13:0b:44:19:e5,-79,37
1712314855541,,0,0,14:13:0b:44:19:e5,-79,37
1712314856071,,0,0,14:13:0b:44:19:e5,-97,38
1712314855921,,0,0,14:13:0b:44:19:e5,-88,39
1712314855591,,0,0,14:13:0b:44:19:e5,-79,37
1712314856101,,0,0,a0:de:0f:9b:a4:02,-83,38
1712314855921,,0,0,14:13:0b:44:19:e5,-87,39
1712314855591,,0,0,14:13:0b:44:19:e5,-79,37
1712314856101,,0,0,14:13:0b:44:19:e5,-92,38
1712314855981,,0,0,14:13:0b:44:19:e5,-89,39
1712314855661,,0,0,14:13:0b:44:19:e5,-79,37
1712314856171,,0,0,14:13:0b:44:19:e5,-92,38
1712314855991,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-76,39
1712314855661,,0,0,14:13:0b:44:19:e5,-79,37
1712314856201,,0,0,14:13:0b:44:19:e5,-90,38
1712314855991,,0,0,14:13:0b:44:19:e5,-85,39
1712314855691,,0,0,14:13:0b:44:19:e5,-78,37
1712314856201,,0,1,ff:cb:d1:dc:df:ea,-56,38
1712314856031,,2,1,45:99:46:38:8f:31,-67,39
1712314855691,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-81,37
1712314856251,,0,0,14:13:0b:44:19:e5,-90,38
1712314855711,,0,0,14:13:0b:44:19:e5,-79,37
1712314856061,,0,0,14:13:0b:44:19:e5,-89,39
1712314856251,,0,0,14:13:0b:44:19:e5,-92,38
1712314855731,,0,0,14:13:0b:44:19:e5,-78,37
1712314856061,,0,0,14:13:0b:44:19:e5,-85,39
1712314855731,,2,1,45:99:46:38:8f:31,-78,37
1712314856131,,0,0,14:13:0b:44:19:e5,-88,39
1712314855751,,3,1,59:da:70:f0:a7:29,-90,37
1712314856181,,0,0,14:13:0b:44:19:e5,-86,39
1712314856291,,0,0,14:13:0b:44:19:e5,-90,38
1712314855751,,0,0,14:13:0b:44:19:e5,-78,37
1712314856201,,0,0,14:13:0b:44:19:e5,-85,39
1712314856291,,0,0,14:13:0b:44:19:e5,-90,38
1712314855771,,3,1,c2:4b:e5:af:32:81,-91,37
1712314856311,,2,1,45:99:46:38:8f:31,-70,38
1712314856201,,0,1,ff:cb:d1:dc:df:ea,-53,39
1712314855771,,0,0,14:13:0b:44:19:e5,-78,37
1712314856311,,0,0,14:13:0b:44:19:e5,-91,38
1712314855801,,0,0,14:13:0b:44:19:e5,-78,37
1712314856261,,0,0,14:13:0b:44:19:e5,-88,39
1712314855801,,0,0,a0:de:0f:9b:a4:02,-88,37
1712314856261,,0,0,14:13:0b:44:19:e5,-89,39
1712314855841,,0,0,14:13:0b:44:19:e5,-78,37
1712314856301,,0,0,14:13:0b:44:19:e5,-87,39
1712314855841,,0,0,14:13:0b:44:19:e5,-78,37
1712314856301,,0,0,14:13:0b:44:19:e5,-86,39
1712314855881,,0,0,14:13:0b:44:19:e5,-78,37
1712314856321,,2,1,45:99:46:38:8f:31,-68,39
1712314855881,,0,0,14:13:0b:44:19:e5,-77,37
1712314856321,,0,0,14:13:0b:44:19:e5,-89,39
1712314856351,,0,0,14:13:0b:44:19:e5,-89,38
1712314855911,,0,0,14:13:0b:44:19:e5,-77,37
1712314855931,,0,1,ff:cb:d1:dc:df:ea,-44,37
1712314856351,,0,0,14:13:0b:44:19:e5,-90,38
1712314856381,,0,0,14:13:0b:44:19:e5,-87,39
1712314855931,,0,0,14:13:0b:44:19:e5,-77,37
1712314855951,,0,1,50:0b:cc:8e:9e:c6,-90,37
1712314855951,,0,0,14:13:0b:44:19:e5,-77,37
1712314855991,,0,0,14:13:0b:44:19:e5,-77,37
1712314855991,,0,0,14:13:0b:44:19:e5,-77,37
1712314856031,,2,1,45:99:46:38:8f:31,-77,37
1712314856031,,0,0,14:13:0b:44:19:e5,-76,37
1712314856061,,0,0,14:13:0b:44:19:e5,-76,37
1712314856101,,0,0,14:13:0b:44:19:e5,-77,37
1712314856101,,0,0,14:13:0b:44:19:e5,-76,37
1712314856401,,0,0,14:13:0b:44:19:e5,-89,38
1712314856401,,0,0,14:13:0b:44:19:e5,-89,38
