Timestamp,DeviceName,AdvertisingType,AddressType,Address,RSSI,Channel
1712152234457,,0,01,5a:52:a7:04:68:e3,-91,38
1712152234457,,0,01,7c:7e:43:04:87:55,-86,39
1712152234457,,0,01,d5:66:df:39:c2:16,-82,38
1712152234527,,0,01,d5:66:df:39:c2:16,-86,37
1712152234457,,0,01,7c:7e:43:04:87:55,-85,38
1712152234457,,2,01,61:21:8b:7b:6a:21,-80,39
1712152234527,,0,01,7c:7e:43:04:87:55,-83,37
1712152234457,,2,01,61:21:8b:7b:6a:21,-93,38
1712152234457,,0,00,a4:c1:38:e0:67:ae,-70,39
1712152234527,,2,01,61:21:8b:7b:6a:21,-94,37
1712152234457,,0,00,a4:c1:38:e0:67:ae,-65,38
1712152234527,,0,00,a4:c1:38:e0:67:ae,-54,37
1712152234457,,0,00,a0:de:0f:9b:a4:02,-87,39
1712152234527,,0,01,d5:66:df:39:c2:16,-85,37
1712152234457,,0,00,a0:de:0f:9b:a4:02,-82,38
1712152234457,,0,01,43:01:74:90:a8:e3,-81,39
1712152234527,,0,00,a0:de:0f:9b:a4:02,-86,37
1712152234457,,2,01,62:7a:7e:bd:2c:8a,-82,39
1712152234467,,0,01,43:01:74:90:a8:e3,-84,38
1712152234467,,0,01,d7:3f:2b:21:a4:63,-43,39
1712152234537,,0,01,43:01:74:90:a8:e3,-75,37
1712152234467,,0,01,7c:7e:43:04:87:55,-87,39
1712152234467,,3,01,ec:ea:7d:1e:6e:2f,-96,38
1712152234537,,3,01,ec:ea:7d:1e:6e:2f,-88,37
1712152234467,,0,01,d5:66:df:39:c2:16,-83,38
1712152234467,,0,01,5e:63:2e:9f:5d:c6,-76,39
1712152234537,,2,01,63:df:0c:af:17:84,-96,37
1712152234477,,3,01,e0:e8:a5:58:26:50,-85,39
1712152234477,,2,01,7d:78:3f:48:dc:e5,-90,38
1712152234547,,0,01,d5:66:df:39:c2:16,-86,37
1712152234477,,2,01,40:55:32:00:16:c8,-90,38
1712152234477,,0,01,4a:c4:89:96:93:f9,-86,39
1712152234547,,3,01,4a:5f:b1:3c:24:7b,-91,37
1712152234477,,0,01,c4:4c:5d:9d:7e:20,-93,38
1712152234477,,0,01,5e:63:2e:9f:5d:c6,-78,39
1712152234547,,0,01,d5:66:df:39:c2:16,-88,37
1712152234487,,0,01,7c:7e:43:04:87:55,-89,38
1712152234527,,0,01,43:01:74:90:a8:e3,-84,39
1712152234557,,0,01,c4:4c:5d:9d:7e:20,-89,37
1712152234507,,0,01,d5:66:df:39:c2:16,-84,38
1712152234527,,0,01,d7:3f:2b:21:a4:63,-42,39
1712152234557,,0,01,d5:66:df:39:c2:16,-88,37
1712152234517,,0,01,d5:66:df:39:c2:16,-84,38
1712152234567,,0,01,5a:52:a7:04:68:e3,-91,37
1712152234517,,2,01,7d:78:3f:48:dc:e5,-100,38
1712152234567,,0,01,78:50:d9:a4:00:49,-95,37
1712152234517,,0,01,43:01:74:90:a8:e3,-81,38
1712152234577,,0,01,d5:66:df:39:c2:16,-87,37
1712152234517,,0,01,d7:3f:2b:21:a4:63,-60,38
1712152234577,,0,01,43:01:74:90:a8:e3,-76,37
1712152234527,,0,01,d5:66:df:39:c2:16,-83,38
1712152234577,,0,01,d7:3f:2b:21:a4:63,-33,37
1712152234527,,2,01,6d:b6:86:29:76:86,-90,38
1712152234587,,0,01,43:b9:5d:5a:ac:23,-96,37
1712152234537,,3,01,4e:85:ae:6c:03:95,-83,38
1712152234587,,0,01,d5:66:df:39:c2:16,-87,37
1712152234537,,0,01,4a:c4:89:96:93:f9,-90,38
1712152234627,,0,01,6b:60:90:e7:f8:c1,-94,39
1712152234607,,3,01,4e:85:ae:6c:03:95,-92,37
1712152234607,,0,01,d5:66:df:39:c2:16,-83,38
1712152234627,,2,01,61:21:8b:7b:6a:21,-79,39
1712152234607,,0,01,4a:c4:89:96:93:f9,-96,37
1712152234627,,0,01,6b:60:90:e7:f8:c1,-85,38
1712152234627,,3,01,56:e1:fc:be:c8:46,-93,38
1712152234637,,3,01,4a:5f:b1:3c:24:7b,-84,37
1712152234637,,2,01,61:21:8b:7b:6a:21,-90,38
1712152234637,,0,01,d5:66:df:39:c2:16,-88,37
1712152234677,,0,01,7a:5a:88:dd:48:e3,-84,37
1712152234637,,0,01,7c:7e:43:04:87:55,-85,38
1712152234677,,0,01,6b:60:90:e7:f8:c1,-90,37
1712152234657,,0,01,d5:66:df:39:c2:16,-82,38
1712152234687,,3,01,56:e1:fc:be:c8:46,-93,37
1712152234677,,0,01,43:01:74:90:a8:e3,-81,38
1712152234697,,2,01,61:21:8b:7b:6a:21,-91,37
1712152234677,,0,01,d5:66:df:39:c2:16,-83,38
1712152234697,,0,01,7c:7e:43:04:87:55,-90,37
1712152234727,,0,01,d5:66:df:39:c2:16,-89,37
1712152234737,,0,01,d5:66:df:39:c2:16,-89,37
1712152234697,,2,01,40:55:32:00:16:c8,-98,38
1712152234697,,0,01,43:01:74:90:a8:e3,-89,39
1712152234737,,3,01,59:59:d5:f4:8e:a7,-94,37
1712152234697,,3,01,ee:32:1a:ef:9a:3e,-78,38
1712152234697,,3,01,ee:32:1a:ef:9a:3e,-77,39
1712152234757,,0,01,47:51:24:62:06:6c,-96,37
1712152234717,,0,01,71:4b:97:2a:35:c7,-85,39
1712152234697,,3,01,c7:94:7f:c0:7a:e5,-89,38
1712152234757,,3,01,ee:32:1a:ef:9a:3e,-76,37
1712152234777,,0,01,d5:66:df:39:c2:16,-88,37
1712152234717,,2,01,62:7a:7e:bd:2c:8a,-83,39
1712152234697,,0,01,d5:66:df:39:c2:16,-83,38
1712152234797,,0,01,5e:63:2e:9f:5d:c6,-75,37
1712152234717,,2,01,7d:78:3f:48:dc:e5,-94,38
1712152234797,,3,01,f1:f3:e8:76:3c:42,-95,37
1712152234717,,3,01,4e:85:ae:6c:03:95,-82,38
1712152234727,,0,01,d5:66:df:39:c2:16,-83,38
1712152234727,,0,01,72:42:03:11:d3:57,-92,38
1712152234757,,0,01,5e:63:2e:9f:5d:c6,-78,39
1712152234747,,0,01,5e:63:2e:9f:5d:c6,-77,38
