Timestamp,DeviceName,AdvertisingType,AddressType,Address,RSSI,Channel
1712159317589,,3,1,ec:b7:78:df:b4:73,-92,38
1712159317579,,2,1,44:d4:e2:76:77:52,-86,39
1712159317579,,2,1,46:28:e1:43:b6:bf,-58,39
1712159317589,,3,1,73:e3:8d:b8:3a:51,-93,38
1712159317579,,3,1,1a:69:1c:14:f9:a0,-56,39
1712159317679,,3,1,ec:b7:78:df:b4:73,-94,37
1712159317589,,2,1,44:d4:e2:76:77:52,-80,38
1712159317589,,2,1,46:28:e1:43:b6:bf,-54,38
1712159317679,,3,1,73:e3:8d:b8:3a:51,-92,37
1712159317579,,3,1,1a:69:1c:14:f9:a0,-55,39
1712159317589,,3,1,1a:69:1c:14:f9:a0,-56,38
1712159317589,,0,0,dc:23:4f:a9:9a:46,-81,38
1712159317579,,2,1,6f:0e:25:55:61:95,-85,39
1712159317679,,2,1,44:d4:e2:76:77:52,-84,37
1712159317599,,3,1,1a:69:1c:14:f9:a0,-57,38
1712159317679,,2,1,46:28:e1:43:b6:bf,-53,37
1712159317579,,3,1,1a:69:1c:14:f9:a0,-55,39
1712159317599,,2,1,6f:0e:25:55:61:95,-89,38
1712159317589,,2,1,44:d4:e2:76:77:52,-82,39
1712159317679,,3,1,1a:69:1c:14:f9:a0,-61,37
1712159317599,,3,1,1a:69:1c:14:f9:a0,-57,38
1712159317679,,0,0,a4:c1:38:04:ea:93,-94,37
1712159317589,,2,1,46:28:e1:43:b6:bf,-58,39
1712159317609,,2,1,44:d4:e2:76:77:52,-80,38
1712159317689,,0,0,dc:23:4f:a9:9a:46,-81,37
1712159317589,,0,0,54:d2:72:64:1b:f4,-51,39
1712159317689,,3,1,1a:69:1c:14:f9:a0,-61,37
1712159317609,,2,1,46:28:e1:43:b6:bf,-55,38
1712159317599,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-79,39
1712159317689,,2,1,6f:0e:25:55:61:95,-87,37
1712159317619,,3,1,1a:69:1c:14:f9:a0,-57,38
1712159317599,,3,1,1a:69:1c:14:f9:a0,-55,39
1712159317699,,0,0,b4:e8:42:bb:cd:89,-97,37
1712159317619,,2,1,6f:0e:25:55:61:95,-87,38
1712159317609,,3,1,1a:69:1c:14:f9:a0,-58,39
1712159317699,,0,1,77:84:9b:98:26:fb,-93,37
1712159317609,,2,1,6f:0e:25:55:61:95,-83,39
1712159317699,,0,0,b4:e8:42:bb:cd:89,-99,37
1712159317709,,3,1,1a:69:1c:14:f9:a0,-58,37
1712159317709,,2,1,6f:0e:25:55:61:95,-90,37
1712159317729,,0,1,77:84:9b:98:26:fb,-90,37
1712159317729,,3,1,1a:69:1c:14:f9:a0,-57,39
1712159317739,,3,1,1a:69:1c:14:f9:a0,-56,38
1712159317819,,3,1,1a:69:1c:14:f9:a0,-58,37
1712159317819,,0,0,dc:23:4f:a9:9a:46,-81,37
1712159317759,,0,0,dc:23:4f:a9:9a:46,-81,38
1712159317839,,2,1,46:28:e1:43:b6:bf,-54,37
1712159317759,,2,1,46:28:e1:43:b6:bf,-60,39
1712159317759,,2,1,46:28:e1:43:b6:bf,-54,38
1712159317839,,2,1,44:d4:e2:76:77:52,-83,37
1712159317759,,2,1,44:d4:e2:76:77:52,-86,39
1712159317769,,2,1,44:d4:e2:76:77:52,-81,38
1712159317769,,3,1,60:a7:00:13:dd:b2,-84,38
1712159317869,,3,1,60:a7:00:13:dd:b2,-94,37
1712159317869,,0,1,6b:43:c2:00:5c:01,-98,37
1712159317879,,0,0,54:d2:72:64:1b:f4,-42,37
1712159317819,,0,0,54:d2:72:64:1b:f4,-50,38
1712159317819,,3,1,60:a7:00:13:dd:b2,-83,38
1712159317819,,0,0,54:d2:72:64:1b:f4,-51,39
1712159317819,,3,1,1a:69:1c:14:f9:a0,-56,39
1712159317839,,3,1,1a:69:1c:14:f9:a0,-57,38
1712159317929,,3,1,1a:69:1c:14:f9:a0,-82,37
1712159317979,,0,0,b4:e8:42:bb:cd:89,-99,37
1712159317979,,2,1,6f:0e:25:55:61:95,-94,37
1712159317909,,2,1,6f:0e:25:55:61:95,-88,38
1712159317899,,2,1,6f:0e:25:55:61:95,-85,39
1712159317909,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-79,38
1712159317899,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-79,39
1712159318009,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-77,37
1712159318009,,3,1,1a:69:1c:14:f9:a0,-59,37
1712159317939,,3,1,1a:69:1c:14:f9:a0,-57,38
