Timestamp,DeviceName,AdvertisingType,AddressType,Address,RSSI,Channel
1715608355004,,3,1,d0:09:87:0d:13:d9,-86,37
1715608355004,,3,1,39:3a:f5:bf:7f:fe,-79,37
1715608355004,,0,0,e0:e5:cf:15:17:48,-66,37
1715608355094,,3,1,d0:09:87:0d:13:d9,-79,38
1715608355004,,0,0,e0:e5:cf:15:17:48,-67,37
1715608355094,,3,1,39:3a:f5:bf:7f:fe,-62,38
1715608355004,,3,1,39:3a:f5:bf:7f:fe,-81,37
1715608355094,,0,0,e0:e5:cf:15:17:48,-50,38
1715608355004,,0,0,e0:e5:cf:15:17:48,-66,37
1715608355094,,0,0,e0:e5:cf:15:17:48,-50,38
1715608355014,,3,1,7c:14:07:ef:32:50,-91,37
1715608355094,,0,1,79:2b:b1:bc:ef:56,-89,38
1715608355014,,0,1,6f:1a:30:9b:aa:8b,-86,37
1715608355094,,0,1,5b:ee:e8:6e:26:d4,-79,38
1715608355014,,2,1,60:45:4e:49:17:50,-58,37
1715608355024,,2,1,53:26:3c:05:77:6e,-83,37
1715608355104,,3,1,39:3a:f5:bf:7f:fe,-62,38
1715608355024,,0,0,e0:e5:cf:15:17:48,-68,37
1715608355104,,0,0,e0:e5:cf:15:17:48,-50,38
1715608355044,,0,0,e0:e5:cf:15:17:48,-64,37
1715608355104,,3,1,7c:14:07:ef:32:50,-90,38
1715608355044,,3,1,39:3a:f5:bf:7f:fe,-76,37
1715608355114,,0,1,6f:1a:30:9b:aa:8b,-79,38
1715608355044,,2,1,60:45:4e:49:17:50,-55,37
1715608355114,,2,1,60:45:4e:49:17:50,-54,38
1715608355044,,2,1,53:26:3c:05:77:6e,-87,37
1715608355124,,0,0,e0:e5:cf:15:17:48,-49,38
1715608355124,,3,1,39:3a:f5:bf:7f:fe,-63,38
1715608355144,,2,1,60:45:4e:49:17:50,-52,38
1715608355104,,0,0,e0:e5:cf:15:17:48,-64,37
1715608355194,,0,0,e0:e5:cf:15:17:48,-49,38
1715608355134,,0,1,5b:ee:e8:6e:26:d4,-90,37
1715608355214,,0,1,5b:ee:e8:6e:26:d4,-79,38
1715608355134,,0,0,e0:e5:cf:15:17:48,-63,37
1715608355214,,0,0,e0:e5:cf:15:17:48,-49,38
1715608355224,,0,1,79:2b:b1:bc:ef:56,-91,38
1715608355154,,3,1,39:3a:f5:bf:7f:fe,-75,37
1715608355224,,3,1,39:3a:f5:bf:7f:fe,-63,38
1715608355274,,3,1,7c:14:07:ef:32:50,-96,38
1715608355274,,0,0,e0:e5:cf:15:17:48,-50,38
1715608355204,,0,0,e0:e5:cf:15:17:48,-61,37
1715608355294,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-88,38
1715608355324,,0,1,6f:1a:30:9b:aa:8b,-82,38
1715608355324,,0,0,e0:e5:cf:15:17:48,-51,38
1715608355244,,0,0,e0:e5:cf:15:17:48,-60,37
1715608355244,,3,1,39:3a:f5:bf:7f:fe,-74,37
1715608355344,,3,1,39:3a:f5:bf:7f:fe,-64,38
1715608357734,,0,0,e0:e5:cf:15:17:48,-55,39
1715608357734,,3,1,39:3a:f5:bf:7f:fe,-78,39
1715608357734,,0,0,e0:e5:cf:15:17:48,-54,39
1715608357734,,0,1,5b:ee:e8:6e:26:d4,-83,39
1715608357734,,3,1,39:3a:f5:bf:7f:fe,-79,39
1715608357734,,0,1,6f:1a:30:9b:aa:8b,-85,39
1715608355374,,0,1,f8:2b:f2:fd:46:77,-90,38
1715608357744,,2,1,60:45:4e:49:17:50,-60,39
1715608355374,,0,0,e0:e5:cf:15:17:48,-50,38
1715608355304,,0,0,e0:e5:cf:15:17:48,-63,37
1715608357744,,2,1,53:26:3c:05:77:6e,-73,39
1715608357744,,0,0,e0:e5:cf:15:17:48,-55,39
1715608357754,,0,0,e0:e5:cf:15:17:48,-57,39
1715608357754,,3,1,39:3a:f5:bf:7f:fe,-78,39
1715608357784,,0,0,e0:e5:cf:15:17:48,-55,39
1715608357794,,2,1,60:45:4e:49:17:50,-62,39
1715608355414,,2,1,60:45:4e:49:17:50,-58,38
1715608357794,,2,1,53:26:3c:05:77:6e,-74,39
1715608355414,,2,1,53:26:3c:05:77:6e,-74,38
1715608355344,,2,1,53:26:3c:05:77:6e,-83,37
1715608355434,,0,0,e0:e5:cf:15:17:48,-50,38
1715608357804,,0,0,e0:e5:cf:15:17:48,-53,39
1715608355344,,0,0,e0:e5:cf:15:17:48,-66,37
1715608355354,,3,1,39:3a:f5:bf:7f:fe,-72,37
1715608355434,,3,1,39:3a:f5:bf:7f:fe,-63,38
1715608357804,,3,1,39:3a:f5:bf:7f:fe,-76,39
1715608355484,,3,1,7c:14:07:ef:32:50,-96,38
1715608355484,,0,1,5b:ee:e8:6e:26:d4,-80,38
1715608355494,,0,0,e0:e5:cf:15:17:48,-50,38
1715608357884,,0,0,e0:e5:cf:15:17:48,-55,39
1715608355454,,0,0,e0:e5:cf:15:17:48,-66,37
1715608355454,,3,1,39:3a:f5:bf:7f:fe,-73,37
1715608355534,,3,1,39:3a:f5:bf:7f:fe,-63,38
1715608357914,,3,1,39:3a:f5:bf:7f:fe,-75,39
1715608355534,,0,0,e0:e5:cf:15:17:48,-50,38
1715608357914,,0,0,e0:e5:cf:15:17:48,-54,39
1715608355484,,0,0,e0:e5:cf:15:17:48,-65,37
1715608355484,,0,1,6f:1a:30:9b:aa:8b,-85,37
1715608357964,,0,1,6f:1a:30:9b:aa:8b,-88,39
1715608355594,,0,0,e0:e5:cf:15:17:48,-50,38
1715608357964,,0,0,e0:e5:cf:15:17:48,-53,39
1715608355634,,0,1,4e:1e:c3:2d:1a:3c,-90,38
1715608355554,,0,0,e0:e5:cf:15:17:48,-66,37
1715608355634,,3,1,7c:14:07:ef:32:50,-93,38
1715608358014,,3,1,7c:14:07:ef:32:50,-89,39
1715608355564,,3,1,39:3a:f5:bf:7f:fe,-73,37
1715608355644,,3,1,39:3a:f5:bf:7f:fe,-63,38
1715608355564,,0,0,e0:e5:cf:15:17:48,-62,37
1715608358014,,3,1,39:3a:f5:bf:7f:fe,-75,39
1715608355644,,0,0,e0:e5:cf:15:17:48,-50,38
1715608358034,,0,0,e0:e5:cf:15:17:48,-55,39
1715608355614,,2,1,60:45:4e:49:17:50,-59,37
1715608355694,,0,0,e0:e5:cf:15:17:48,-50,38
1715608358074,,2,1,60:45:4e:49:17:50,-58,39
1715608355614,,0,0,e0:e5:cf:15:17:48,-68,37
1715608355694,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-92,38
1715608358074,,0,0,e0:e5:cf:15:17:48,-53,39
1715608355624,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-89,37
1715608358084,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-82,39
1715608355624,,2,1,53:26:3c:05:77:6e,-85,37
1715608355744,,2,1,53:26:3c:05:77:6e,-73,38
1715608355664,,3,1,39:3a:f5:bf:7f:fe,-74,37
1715608355744,,3,1,39:3a:f5:bf:7f:fe,-63,38
1715608358124,,3,1,39:3a:f5:bf:7f:fe,-78,39
1715608355664,,0,0,e0:e5:cf:15:17:48,-71,37
1715608355744,,0,0,e0:e5:cf:15:17:48,-49,38
1715608358124,,0,0,e0:e5:cf:15:17:48,-55,39
1715608355794,,0,1,5b:ee:e8:6e:26:d4,-78,38
1715608355754,,0,0,e0:e5:cf:15:17:48,-69,37
1715608355834,,0,0,e0:e5:cf:15:17:48,-50,38
1715608355754,,0,0,a4:c1:38:e0:67:ae,-51,37
1715608355834,,0,0,a4:c1:38:e0:67:ae,-59,38
1715608358224,,0,0,a4:c1:38:e0:67:ae,-54,39
1715608358224,,0,1,6f:1a:30:9b:aa:8b,-85,39
1715608355854,,0,1,6f:1a:30:9b:aa:8b,-82,38
1715608355774,,0,1,6f:1a:30:9b:aa:8b,-86,37
1715608358234,,3,1,39:3a:f5:bf:7f:fe,-77,39
1715608355854,,3,1,39:3a:f5:bf:7f:fe,-63,38
1715608355774,,3,1,39:3a:f5:bf:7f:fe,-75,37
