Timestamp,Address,AddressType,RSSI
2024-04-12T14:18:46.321,5b:3e:9e:e1:ce:bc,1,-58
2024-04-12T14:18:46.879,04:a3:16:67:20:a9,0,-38
2024-04-12T14:18:46.889,5b:3e:9e:e1:ce:bc,1,-57
2024-04-12T14:18:47.173,5b:3e:9e:e1:ce:bc,1,-58
2024-04-12T14:18:47.463,5b:3e:9e:e1:ce:bc,1,-58
2024-04-12T14:18:47.938,04:a3:16:67:20:a9,0,-46
2024-04-12T14:18:48.037,5b:3e:9e:e1:ce:bc,1,-57
2024-04-12T14:18:48.315,5b:3e:9e:e1:ce:bc,1,-62
2024-04-12T14:18:48.602,5b:3e:9e:e1:ce:bc,1,-58
2024-04-12T14:18:48.890,5b:3e:9e:e1:ce:bc,1,-61
2024-04-12T14:18:49.175,5b:3e:9e:e1:ce:bc,1,-57
2024-04-12T14:18:49.458,5b:3e:9e:e1:ce:bc,1,-62
2024-04-12T14:18:49.749,5b:3e:9e:e1:ce:bc,1,-57
2024-04-12T14:18:50.039,5b:3e:9e:e1:ce:bc,1,-58
2024-04-12T14:18:50.069,04:a3:16:67:20:a9,0,-47
2024-04-12T14:18:50.323,5b:3e:9e:e1:ce:bc,1,-57
2024-04-12T14:18:50.609,5b:3e:9e:e1:ce:bc,1,-58
2024-04-12T14:18:51.133,04:a3:16:67:20:a9,0,-55
2024-04-12T14:18:51.178,5b:3e:9e:e1:ce:bc,1,-58
2024-04-12T14:18:51.757,5b:3e:9e:e1:ce:bc,1,-57
2024-04-12T14:18:52.041,5b:3e:9e:e1:ce:bc,1,-62
2024-04-12T14:18:52.197,04:a3:16:67:20:a9,0,-47
2024-04-12T14:18:52.333,5b:3e:9e:e1:ce:bc,1,-57
2024-04-12T14:18:52.622,5b:3e:9e:e1:ce:bc,1,-58
2024-04-12T14:18:52.908,5b:3e:9e:e1:ce:bc,1,-61
2024-04-12T14:18:53.192,5b:3e:9e:e1:ce:bc,1,-58
2024-04-12T14:18:53.257,04:a3:16:67:20:a9,0,-55
2024-04-12T14:18:53.474,5b:3e:9e:e1:ce:bc,1,-57
2024-04-12T14:18:53.757,5b:3e:9e:e1:ce:bc,1,-58
2024-04-12T14:18:54.042,5b:3e:9e:e1:ce:bc,1,-57
2024-04-12T14:18:54.322,04:a3:16:67:20:a9,0,-42
2024-04-12T14:18:54.608,5b:3e:9e:e1:ce:bc,1,-58
2024-04-12T14:18:54.891,5b:3e:9e:e1:ce:bc,1,-61
2024-04-12T14:18:55.173,5b:3e:9e:e1:ce:bc,1,-58
2024-04-12T14:18:55.383,04:a3:16:67:20:a9,0,-47
2024-04-12T14:18:55.459,5b:3e:9e:e1:ce:bc,1,-62
2024-04-12T14:18:55.747,5b:3e:9e:e1:ce:bc,1,-57
2024-04-12T14:18:56.029,5b:3e:9e:e1:ce:bc,1,-62
2024-04-12T14:18:56.313,5b:3e:9e:e1:ce:bc,1,-57
2024-04-12T14:18:56.447,04:a3:16:67:20:a9,0,-39
2024-04-12T14:18:56.887,5b:3e:9e:e1:ce:bc,1,-57
2024-04-12T14:18:57.171,5b:3e:9e:e1:ce:bc,1,-61
2024-04-12T14:18:57.454,5b:3e:9e:e1:ce:bc,1,-58
2024-04-12T14:18:57.510,04:a3:16:67:20:a9,0,-47
2024-04-12T14:18:57.741,5b:3e:9e:e1:ce:bc,1,-61
2024-04-12T14:18:58.033,5b:3e:9e:e1:ce:bc,1,-57
2024-04-12T14:18:58.319,5b:3e:9e:e1:ce:bc,1,-58
