Timestamp,Address,AddressType,RSSI
2024-04-15T12:46:16.122,4f:0e:34:d2:fc:e6,1,-88
2024-04-15T12:46:16.533,69:2d:27:45:3c:40,1,-88
2024-04-15T12:46:16.542,44:92:62:02:58:24,1,-81
2024-04-15T12:46:16.549,60:37:ef:e3:17:21,1,-56
2024-04-15T12:46:16.553,76:48:90:31:f4:c0,1,-77
2024-04-15T12:46:16.560,61:cc:5d:72:65:80,1,-87
2024-04-15T12:46:16.569,4f:0e:34:d2:fc:e6,1,-87
2024-04-15T12:46:16.579,50:f4:12:17:d7:55,1,-76
2024-04-15T12:46:16.587,cb:94:54:ed:5d:28,1,-66
2024-04-15T12:46:16.597,44:92:62:02:58:24,1,-78
2024-04-15T12:46:16.604,69:2d:27:45:3c:40,1,-87
2024-04-15T12:46:16.613,60:37:ef:e3:17:21,1,-56
2024-04-15T12:46:16.616,43:11:53:a9:14:ef,1,-77
2024-04-15T12:46:16.625,76:48:90:31:f4:c0,1,-79
2024-04-15T12:46:16.632,44:92:62:02:58:24,1,-75
2024-04-15T12:46:16.665,61:cc:5d:72:65:80,1,-85
2024-04-15T12:46:16.673,50:f4:12:17:d7:55,1,-76
2024-04-15T12:46:16.682,4f:0e:34:d2:fc:e6,1,-92
2024-04-15T12:46:16.697,f7:0e:b1:d6:8e:a0,1,-79
2024-04-15T12:46:16.707,69:2d:27:45:3c:40,1,-87
2024-04-15T12:46:16.794,44:92:62:02:58:24,1,-78
2024-04-15T12:46:16.821,4b:92:cd:66:1b:48,1,-86
2024-04-15T12:46:16.829,c0:39:31:8a:b2:df,1,-87
2024-04-15T12:46:16.841,cb:94:54:ed:5d:28,1,-77
2024-04-15T12:46:16.851,43:11:53:a9:14:ef,1,-79
2024-04-15T12:46:16.863,60:37:ef:e3:17:21,1,-56
2024-04-15T12:46:16.876,76:48:90:31:f4:c0,1,-80
2024-04-15T12:46:16.883,67:4d:11:3a:8d:13,1,-90
2024-04-15T12:46:16.935,61:cc:5d:72:65:80,1,-84
2024-04-15T12:46:16.945,50:f4:12:17:d7:55,1,-81
2024-04-15T12:46:16.955,4f:0e:34:d2:fc:e6,1,-99
2024-04-15T12:46:16.981,69:2d:27:45:3c:40,1,-93
2024-04-15T12:46:16.990,44:92:62:02:58:24,1,-89
2024-04-15T12:46:17.123,43:11:53:a9:14:ef,1,-79
2024-04-15T12:46:17.143,60:37:ef:e3:17:21,1,-57
2024-04-15T12:46:17.147,76:48:90:31:f4:c0,1,-78
2024-04-15T12:46:17.154,67:4d:11:3a:8d:13,1,-91
2024-04-15T12:46:17.169,7d:8b:49:41:95:b3,1,-78
2024-04-15T12:46:17.178,44:92:62:02:58:24,1,-77
2024-04-15T12:46:17.190,65:af:97:6b:02:94,1,-83
2024-04-15T12:46:17.208,61:cc:5d:72:65:80,1,-84
2024-04-15T12:46:17.216,50:f4:12:17:d7:55,1,-79
2024-04-15T12:46:17.225,e0:ce:e3:2e:d3:8f,1,-89
2024-04-15T12:46:17.262,cb:94:54:ed:5d:28,1,-77
2024-04-15T12:46:17.365,44:92:62:02:58:24,1,-80
2024-04-15T12:46:17.397,43:11:53:a9:14:ef,1,-82
2024-04-15T12:46:17.420,76:48:90:31:f4:c0,1,-80
2024-04-15T12:46:17.427,60:37:ef:e3:17:21,1,-61
2024-04-15T12:46:17.432,60:37:ef:e3:17:21,1,-56
2024-04-15T12:46:17.436,67:4d:11:3a:8d:13,1,-82
2024-04-15T12:46:17.446,7d:8b:49:41:95:b3,1,-76
2024-04-15T12:46:17.481,61:cc:5d:72:65:80,1,-88
2024-04-15T12:46:17.490,50:f4:12:17:d7:55,1,-79
2024-04-15T12:46:17.501,4f:0e:34:d2:fc:e6,1,-87
2024-04-15T12:46:17.550,44:92:62:02:58:24,1,-82
