Timestamp,Address,AddressType,RSSI
2024-04-03T16:56:00.760,52:d4:d8:66:e5:dd,1,-45
2024-04-03T16:56:01.047,52:d4:d8:66:e5:dd,1,-53
2024-04-03T16:56:01.330,52:d4:d8:66:e5:dd,1,-45
2024-04-03T16:56:01.616,52:d4:d8:66:e5:dd,1,-53
2024-04-03T16:56:01.905,52:d4:d8:66:e5:dd,1,-60
2024-04-03T16:56:02.069,54:d2:72:64:1b:f4,0,-54
2024-04-03T16:56:02.185,52:d4:d8:66:e5:dd,1,-54
2024-04-03T16:56:02.475,52:d4:d8:66:e5:dd,1,-61
2024-04-03T16:56:02.765,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:03.100,54:d2:72:64:1b:f4,0,-51
2024-04-03T16:56:03.341,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:03.625,52:d4:d8:66:e5:dd,1,-54
2024-04-03T16:56:03.912,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:03.916,52:d4:d8:66:e5:dd,1,-61
2024-04-03T16:56:04.061,54:d2:72:64:1b:f4,0,-52
2024-04-03T16:56:04.199,52:d4:d8:66:e5:dd,1,-54
2024-04-03T16:56:04.491,52:d4:d8:66:e5:dd,1,-61
2024-04-03T16:56:04.780,52:d4:d8:66:e5:dd,1,-45
2024-04-03T16:56:05.353,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:05.362,52:d4:d8:66:e5:dd,1,-61
2024-04-03T16:56:05.635,52:d4:d8:66:e5:dd,1,-52
2024-04-03T16:56:05.919,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:06.109,54:d2:72:64:1b:f4,0,-46
2024-04-03T16:56:06.491,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:06.778,52:d4:d8:66:e5:dd,1,-54
2024-04-03T16:56:07.065,52:d4:d8:66:e5:dd,1,-60
2024-04-03T16:56:07.136,54:d2:72:64:1b:f4,0,-54
2024-04-03T16:56:07.351,52:d4:d8:66:e5:dd,1,-53
2024-04-03T16:56:07.923,52:d4:d8:66:e5:dd,1,-53
2024-04-03T16:56:07.932,52:d4:d8:66:e5:dd,1,-47
2024-04-03T16:56:08.110,54:d2:72:64:1b:f4,0,-51
2024-04-03T16:56:08.208,52:d4:d8:66:e5:dd,1,-60
2024-04-03T16:56:08.490,52:d4:d8:66:e5:dd,1,-54
2024-04-03T16:56:08.783,52:d4:d8:66:e5:dd,1,-60
2024-04-03T16:56:09.070,52:d4:d8:66:e5:dd,1,-48
2024-04-03T16:56:09.355,52:d4:d8:66:e5:dd,1,-54
2024-04-03T16:56:09.649,52:d4:d8:66:e5:dd,1,-61
2024-04-03T16:56:09.936,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:10.505,52:d4:d8:66:e5:dd,1,-47
2024-04-03T16:56:10.790,52:d4:d8:66:e5:dd,1,-59
2024-04-03T16:56:11.078,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:11.650,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:11.808,54:d2:72:64:1b:f4,0,-48
2024-04-03T16:56:12.219,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:12.506,52:d4:d8:66:e5:dd,1,-53
2024-04-03T16:56:12.803,52:d4:d8:66:e5:dd,1,-60
2024-04-03T16:56:13.078,52:d4:d8:66:e5:dd,1,-55
2024-04-03T16:56:13.363,52:d4:d8:66:e5:dd,1,-45
2024-04-03T16:56:13.866,54:d2:72:64:1b:f4,0,-52
2024-04-03T16:56:13.931,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:14.219,52:d4:d8:66:e5:dd,1,-53
2024-04-03T16:56:14.509,52:d4:d8:66:e5:dd,1,-60
2024-04-03T16:56:14.798,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:14.888,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:15.080,52:d4:d8:66:e5:dd,1,-60
2024-04-03T16:56:15.375,52:d4:d8:66:e5:dd,1,-60
2024-04-03T16:56:15.655,52:d4:d8:66:e5:dd,1,-55
2024-04-03T16:56:15.857,54:d2:72:64:1b:f4,0,-47
2024-04-03T16:56:15.940,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:16.510,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:16.796,52:d4:d8:66:e5:dd,1,-54
2024-04-03T16:56:16.886,54:d2:72:64:1b:f4,0,-58
2024-04-03T16:56:17.080,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:17.652,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:17.912,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:17.943,52:d4:d8:66:e5:dd,1,-54
2024-04-03T16:56:18.525,52:d4:d8:66:e5:dd,1,-59
2024-04-03T16:56:18.805,52:d4:d8:66:e5:dd,1,-54
2024-04-03T16:56:18.938,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:19.090,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:19.662,52:d4:d8:66:e5:dd,1,-48
2024-04-03T16:56:19.907,54:d2:72:64:1b:f4,0,-47
2024-04-03T16:56:19.948,52:d4:d8:66:e5:dd,1,-55
2024-04-03T16:56:20.230,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:20.518,52:d4:d8:66:e5:dd,1,-54
2024-04-03T16:56:20.800,52:d4:d8:66:e5:dd,1,-47
2024-04-03T16:56:20.929,54:d2:72:64:1b:f4,0,-46
2024-04-03T16:56:21.089,52:d4:d8:66:e5:dd,1,-54
2024-04-03T16:56:21.377,52:d4:d8:66:e5:dd,1,-60
2024-04-03T16:56:21.659,52:d4:d8:66:e5:dd,1,-55
2024-04-03T16:56:21.947,52:d4:d8:66:e5:dd,1,-60
2024-04-03T16:56:21.956,54:d2:72:64:1b:f4,0,-58
2024-04-03T16:56:22.237,52:d4:d8:66:e5:dd,1,-45
2024-04-03T16:56:22.527,52:d4:d8:66:e5:dd,1,-54
2024-04-03T16:56:22.810,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:22.983,54:d2:72:64:1b:f4,0,-58
2024-04-03T16:56:22.995,54:d2:72:64:1b:f4,0,-52
2024-04-03T16:56:23.098,52:d4:d8:66:e5:dd,1,-54
2024-04-03T16:56:23.385,52:d4:d8:66:e5:dd,1,-60
2024-04-03T16:56:23.665,52:d4:d8:66:e5:dd,1,-54
2024-04-03T16:56:23.955,54:d2:72:64:1b:f4,0,-44
2024-04-03T16:56:23.972,52:d4:d8:66:e5:dd,1,-60
2024-04-03T16:56:24.248,52:d4:d8:66:e5:dd,1,-48
2024-04-03T16:56:24.537,52:d4:d8:66:e5:dd,1,-54
2024-04-03T16:56:24.822,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:24.976,54:d2:72:64:1b:f4,0,-47
2024-04-03T16:56:25.388,52:d4:d8:66:e5:dd,1,-45
2024-04-03T16:56:25.673,52:d4:d8:66:e5:dd,1,-59
2024-04-03T16:56:25.960,52:d4:d8:66:e5:dd,1,-45
2024-04-03T16:56:26.245,52:d4:d8:66:e5:dd,1,-55
2024-04-03T16:56:26.539,52:d4:d8:66:e5:dd,1,-60
2024-04-03T16:56:26.825,52:d4:d8:66:e5:dd,1,-45
2024-04-03T16:56:27.110,52:d4:d8:66:e5:dd,1,-61
2024-04-03T16:56:27.397,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:27.687,52:d4:d8:66:e5:dd,1,-55
2024-04-03T16:56:27.975,52:d4:d8:66:e5:dd,1,-60
2024-04-03T16:56:28.008,54:d2:72:64:1b:f4,0,-44
2024-04-03T16:56:28.255,52:d4:d8:66:e5:dd,1,-55
2024-04-03T16:56:28.540,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:28.830,52:d4:d8:66:e5:dd,1,-55
2024-04-03T16:56:29.036,54:d2:72:64:1b:f4,0,-58
2024-04-03T16:56:29.119,52:d4:d8:66:e5:dd,1,-60
2024-04-03T16:56:29.407,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:29.695,52:d4:d8:66:e5:dd,1,-55
2024-04-03T16:56:29.982,52:d4:d8:66:e5:dd,1,-45
2024-04-03T16:56:30.068,54:d2:72:64:1b:f4,0,-52
2024-04-03T16:56:30.548,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:31.098,54:d2:72:64:1b:f4,0,-44
2024-04-03T16:56:31.120,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:31.408,52:d4:d8:66:e5:dd,1,-55
2024-04-03T16:56:31.693,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:31.977,52:d4:d8:66:e5:dd,1,-54
2024-04-03T16:56:32.058,54:d2:72:64:1b:f4,0,-47
2024-04-03T16:56:32.270,52:d4:d8:66:e5:dd,1,-60
2024-04-03T16:56:32.550,52:d4:d8:66:e5:dd,1,-55
2024-04-03T16:56:32.839,52:d4:d8:66:e5:dd,1,-59
2024-04-03T16:56:33.089,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:33.120,52:d4:d8:66:e5:dd,1,-55
2024-04-03T16:56:33.412,52:d4:d8:66:e5:dd,1,-60
2024-04-03T16:56:33.700,52:d4:d8:66:e5:dd,1,-45
2024-04-03T16:56:33.983,52:d4:d8:66:e5:dd,1,-59
2024-04-03T16:56:34.117,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:34.176,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:34.268,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:34.284,54:d2:72:64:1b:f4,0,-44
2024-04-03T16:56:34.309,54:d2:72:64:1b:f4,0,-44
2024-04-03T16:56:34.358,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:34.404,54:d2:72:64:1b:f4,0,-44
2024-04-03T16:56:34.430,54:d2:72:64:1b:f4,0,-46
2024-04-03T16:56:34.458,54:d2:72:64:1b:f4,0,-44
2024-04-03T16:56:34.478,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:34.506,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:34.558,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:34.586,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:34.612,54:d2:72:64:1b:f4,0,-46
2024-04-03T16:56:34.639,54:d2:72:64:1b:f4,0,-44
2024-04-03T16:56:34.668,54:d2:72:64:1b:f4,0,-46
2024-04-03T16:56:34.693,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:34.715,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:34.769,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:34.788,54:d2:72:64:1b:f4,0,-46
2024-04-03T16:56:34.837,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:34.843,52:d4:d8:66:e5:dd,1,-46
2024-04-03T16:56:34.864,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:34.887,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:34.916,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:34.940,54:d2:72:64:1b:f4,0,-44
2024-04-03T16:56:34.968,54:d2:72:64:1b:f4,0,-46
2024-04-03T16:56:34.988,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:35.063,54:d2:72:64:1b:f4,0,-46
2024-04-03T16:56:35.092,54:d2:72:64:1b:f4,0,-44
2024-04-03T16:56:35.122,54:d2:72:64:1b:f4,0,-46
2024-04-03T16:56:35.149,54:d2:72:64:1b:f4,0,-46
2024-04-03T16:56:35.241,54:d2:72:64:1b:f4,0,-44
2024-04-03T16:56:35.269,54:d2:72:64:1b:f4,0,-44
2024-04-03T16:56:35.292,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:35.319,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:35.346,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:35.396,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:35.418,52:d4:d8:66:e5:dd,1,-60
2024-04-03T16:56:35.448,54:d2:72:64:1b:f4,0,-44
2024-04-03T16:56:35.478,54:d2:72:64:1b:f4,0,-46
2024-04-03T16:56:35.498,54:d2:72:64:1b:f4,0,-54
2024-04-03T16:56:35.553,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:35.577,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:35.606,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:35.630,54:d2:72:64:1b:f4,0,-44
2024-04-03T16:56:35.659,54:d2:72:64:1b:f4,0,-44
2024-04-03T16:56:35.703,52:d4:d8:66:e5:dd,1,-54
2024-04-03T16:56:35.765,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:35.788,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:35.815,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:35.839,54:d2:72:64:1b:f4,0,-44
2024-04-03T16:56:35.868,54:d2:72:64:1b:f4,0,-43
2024-04-03T16:56:35.892,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:35.913,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:35.939,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:35.966,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:35.989,54:d2:72:64:1b:f4,0,-43
2024-04-03T16:56:36.019,54:d2:72:64:1b:f4,0,-44
2024-04-03T16:56:36.040,54:d2:72:64:1b:f4,0,-54
2024-04-03T16:56:36.063,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:36.093,54:d2:72:64:1b:f4,0,-56
2024-04-03T16:56:36.117,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:36.145,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:36.175,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:36.200,54:d2:72:64:1b:f4,0,-43
2024-04-03T16:56:36.224,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:36.251,54:d2:72:64:1b:f4,0,-54
2024-04-03T16:56:36.278,52:d4:d8:66:e5:dd,1,-45
2024-04-03T16:56:36.283,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:36.357,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:36.386,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:36.417,54:d2:72:64:1b:f4,0,-57
2024-04-03T16:56:36.438,54:d2:72:64:1b:f4,0,-44
2024-04-03T16:56:36.462,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:36.491,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:36.522,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:36.552,54:d2:72:64:1b:f4,0,-53
2024-04-03T16:56:36.565,52:d4:d8:66:e5:dd,1,-54
