Timestamp,Address,AddressType,RSSI
2024-04-12T13:04:07.042,cb:94:54:ed:5d:28,1,-78
2024-04-12T13:04:07.354,e8:d2:ed:ce:49:81,1,-57
2024-04-12T13:04:07.463,cb:94:54:ed:5d:28,1,-78
2024-04-12T13:04:07.606,dc:23:4f:a9:9a:46,0,-78
2024-04-12T13:04:07.648,a4:c1:38:e0:67:ae,0,-54
2024-04-12T13:04:07.888,cb:94:54:ed:5d:28,1,-77
2024-04-12T13:04:07.908,e8:15:d4:f5:ba:ba,1,-60
2024-04-12T13:04:08.308,cb:94:54:ed:5d:28,1,-77
2024-04-12T13:04:08.416,e8:15:d4:f5:ba:ba,1,-60
2024-04-12T13:04:08.608,dc:23:4f:a9:9a:46,0,-85
2024-04-12T13:04:08.728,cb:94:54:ed:5d:28,1,-76
2024-04-12T13:04:08.917,e8:15:d4:f5:ba:ba,1,-60
2024-04-12T13:04:09.148,cb:94:54:ed:5d:28,1,-76
2024-04-12T13:04:09.426,e8:15:d4:f5:ba:ba,1,-61
2024-04-12T13:04:09.566,cb:94:54:ed:5d:28,1,-77
2024-04-12T13:04:09.614,dc:23:4f:a9:9a:46,0,-76
2024-04-12T13:04:09.627,e8:d2:ed:ce:49:81,1,-52
2024-04-12T13:04:09.925,e8:15:d4:f5:ba:ba,1,-59
2024-04-12T13:04:10.432,e8:15:d4:f5:ba:ba,1,-63
2024-04-12T13:04:10.616,dc:23:4f:a9:9a:46,0,-83
2024-04-12T13:04:10.837,cb:94:54:ed:5d:28,1,-87
2024-04-12T13:04:11.258,cb:94:54:ed:5d:28,1,-86
2024-04-12T13:04:11.449,e8:15:d4:f5:ba:ba,1,-58
2024-04-12T13:04:11.625,dc:23:4f:a9:9a:46,0,-77
2024-04-12T13:04:11.687,cb:94:54:ed:5d:28,1,-87
2024-04-12T13:04:11.948,e8:15:d4:f5:ba:ba,1,-59
2024-04-12T13:04:12.107,cb:94:54:ed:5d:28,1,-86
2024-04-12T13:04:12.138,e8:d2:ed:ce:49:81,1,-56
2024-04-12T13:04:12.285,a4:c1:38:e0:67:ae,0,-56
2024-04-12T13:04:12.448,e8:15:d4:f5:ba:ba,1,-59
2024-04-12T13:04:12.632,dc:23:4f:a9:9a:46,0,-80
2024-04-12T13:04:12.952,cb:94:54:ed:5d:28,1,-77
2024-04-12T13:04:12.961,e8:15:d4:f5:ba:ba,1,-59
2024-04-12T13:04:13.372,cb:94:54:ed:5d:28,1,-77
2024-04-12T13:04:13.635,dc:23:4f:a9:9a:46,0,-76
2024-04-12T13:04:14.221,cb:94:54:ed:5d:28,1,-89
2024-04-12T13:04:14.383,a4:c1:38:e0:67:ae,0,-55
2024-04-12T13:04:14.477,e8:15:d4:f5:ba:ba,1,-58
2024-04-12T13:04:14.638,e8:d2:ed:ce:49:81,1,-52
2024-04-12T13:04:14.647,dc:23:4f:a9:9a:46,0,-80
2024-04-12T13:04:14.982,e8:15:d4:f5:ba:ba,1,-58
2024-04-12T13:04:15.063,cb:94:54:ed:5d:28,1,-88
2024-04-12T13:04:15.486,e8:15:d4:f5:ba:ba,1,-58
