Timestamp,Address,AddressType,RSSI
2024-04-05T11:33:55.469,a0:de:0f:9b:a4:02,0,-85
2024-04-05T11:33:56.081,4d:4b:72:2c:bf:b8,1,-74
2024-04-05T11:33:56.085,cb:94:54:ed:5d:28,1,-81
2024-04-05T11:33:56.095,dc:23:4f:a9:9a:46,0,-90
2024-04-05T11:33:56.108,4d:4b:72:2c:bf:b8,1,-75
2024-04-05T11:33:56.112,a0:de:0f:9b:a4:02,0,-85
2024-04-05T11:33:56.122,ff:cb:d1:dc:df:ea,1,-42
2024-04-05T11:33:56.174,cb:94:54:ed:5d:28,1,-82
2024-04-05T11:33:56.192,4d:4b:72:2c:bf:b8,1,-74
2024-04-05T11:33:56.293,a4:c1:38:e0:67:ae,0,-62
2024-04-05T11:33:56.570,a0:de:0f:9b:a4:02,0,-84
2024-04-05T11:33:56.594,cb:94:54:ed:5d:28,1,-82
2024-04-05T11:33:56.607,e8:d2:ed:ce:49:81,1,-56
2024-04-05T11:33:56.770,4d:4b:72:2c:bf:b8,1,-74
2024-04-05T11:33:56.781,dc:23:4f:a9:9a:46,0,-84
2024-04-05T11:33:56.915,ff:cb:d1:dc:df:ea,1,-45
2024-04-05T11:33:57.016,7b:c7:5a:17:0a:fb,1,-102
2024-04-05T11:33:57.025,cb:94:54:ed:5d:28,1,-83
2024-04-05T11:33:57.059,4d:4b:72:2c:bf:b8,1,-73
2024-04-05T11:33:57.121,a0:de:0f:9b:a4:02,0,-84
2024-04-05T11:33:57.345,4d:4b:72:2c:bf:b8,1,-73
2024-04-05T11:33:57.441,cb:94:54:ed:5d:28,1,-83
2024-04-05T11:33:57.627,4d:4b:72:2c:bf:b8,1,-84
2024-04-05T11:33:57.632,4d:4b:72:2c:bf:b8,1,-74
2024-04-05T11:33:57.673,a0:de:0f:9b:a4:02,0,-92
2024-04-05T11:33:57.769,ff:cb:d1:dc:df:ea,1,-50
2024-04-05T11:33:57.786,dc:23:4f:a9:9a:46,0,-89
2024-04-05T11:33:57.861,cb:94:54:ed:5d:28,1,-84
2024-04-05T11:33:57.882,4a:fc:09:2c:3c:f5,1,-98
2024-04-05T11:33:57.919,4d:4b:72:2c:bf:b8,1,-84
2024-04-05T11:33:58.204,4d:4b:72:2c:bf:b8,1,-75
2024-04-05T11:33:58.224,a0:de:0f:9b:a4:02,0,-82
2024-04-05T11:33:58.287,cb:94:54:ed:5d:28,1,-82
2024-04-05T11:33:58.300,14:13:0b:44:19:e5,0,-98
2024-04-05T11:33:58.319,14:13:0b:44:19:e5,0,-97
2024-04-05T11:33:58.341,14:13:0b:44:19:e5,0,-97
2024-04-05T11:33:58.365,14:13:0b:44:19:e5,0,-94
2024-04-05T11:33:58.388,14:13:0b:44:19:e5,0,-100
2024-04-05T11:33:58.423,a4:c1:38:e0:67:ae,0,-61
2024-04-05T11:33:58.606,14:13:0b:44:19:e5,0,-97
2024-04-05T11:33:58.625,14:13:0b:44:19:e5,0,-100
2024-04-05T11:33:58.632,ff:cb:d1:dc:df:ea,1,-42
2024-04-05T11:33:58.667,7b:c7:5a:17:0a:fb,1,-96
2024-04-05T11:33:58.676,14:13:0b:44:19:e5,0,-94
2024-04-05T11:33:58.693,14:13:0b:44:19:e5,0,-95
2024-04-05T11:33:58.710,cb:94:54:ed:5d:28,1,-81
2024-04-05T11:33:58.719,14:13:0b:44:19:e5,0,-99
