Timestamp,Address,AddressType,RSSI
2024-04-05T10:57:03.314,a0:de:0f:9b:a4:02,0,-88
2024-04-05T10:57:03.726,44:1a:dd:f3:bb:ea,1,-99
2024-04-05T10:57:03.731,76:17:c9:bb:66:1f,1,-74
2024-04-05T10:57:03.735,cb:94:54:ed:5d:28,1,-80
2024-04-05T10:57:03.744,ff:cb:d1:dc:df:ea,1,-47
2024-04-05T10:57:03.753,5c:8f:8b:32:a7:f1,1,-98
2024-04-05T10:57:03.781,a4:c1:38:e0:67:ae,0,-63
2024-04-05T10:57:03.876,dc:23:4f:a9:9a:46,0,-87
2024-04-05T10:57:03.916,5c:8f:8b:32:a7:f1,1,-93
2024-04-05T10:57:03.936,cb:94:54:ed:5d:28,1,-83
2024-04-05T10:57:03.976,d0:a6:c1:db:8c:44,1,-92
2024-04-05T10:57:04.023,6a:84:a0:6e:fd:0f,1,-95
2024-04-05T10:57:04.049,14:13:0b:44:19:e5,0,-75
2024-04-05T10:57:04.083,76:17:c9:bb:66:1f,1,-75
2024-04-05T10:57:04.195,5c:8f:8b:32:a7:f1,1,-95
2024-04-05T10:57:04.276,59:f4:4d:81:af:a4,1,-100
2024-04-05T10:57:04.360,cb:94:54:ed:5d:28,1,-81
2024-04-05T10:57:04.373,76:17:c9:bb:66:1f,1,-81
2024-04-05T10:57:04.415,a0:de:0f:9b:a4:02,0,-81
2024-04-05T10:57:04.426,ff:cb:d1:dc:df:ea,1,-42
2024-04-05T10:57:04.546,59:f4:4d:81:af:a4,1,-90
2024-04-05T10:57:04.661,76:17:c9:bb:66:1f,1,-74
2024-04-05T10:57:04.683,6d:f0:9e:b3:5d:d0,1,-94
2024-04-05T10:57:04.694,c4:20:fb:1b:8c:90,1,-91
2024-04-05T10:57:04.782,cb:94:54:ed:5d:28,1,-81
2024-04-05T10:57:04.915,50:0b:cc:8e:9e:c6,1,-97
2024-04-05T10:57:04.943,76:17:c9:bb:66:1f,1,-80
2024-04-05T10:57:04.966,a0:de:0f:9b:a4:02,0,-89
2024-04-05T10:57:05.039,e8:d2:ed:ce:49:81,1,-55
2024-04-05T10:57:05.099,59:f4:4d:81:af:a4,1,-95
2024-04-05T10:57:05.205,cb:94:54:ed:5d:28,1,-80
2024-04-05T10:57:05.229,76:17:c9:bb:66:1f,1,-74
2024-04-05T10:57:05.282,ff:cb:d1:dc:df:ea,1,-44
2024-04-05T10:57:05.339,14:13:0b:44:19:e5,0,-76
2024-04-05T10:57:05.462,6c:f1:e8:b8:c5:5f,1,-96
2024-04-05T10:57:05.514,a0:de:0f:9b:a4:02,0,-93
2024-04-05T10:57:05.750,50:0b:cc:8e:9e:c6,1,-95
2024-04-05T10:57:05.800,76:17:c9:bb:66:1f,1,-75
2024-04-05T10:57:05.881,dc:23:4f:a9:9a:46,0,-95
2024-04-05T10:57:05.936,59:f4:4d:81:af:a4,1,-95
2024-04-05T10:57:05.976,d0:a6:c1:db:8c:44,1,-97
2024-04-05T10:57:06.024,a4:c1:38:e0:67:ae,0,-64
2024-04-05T10:57:06.050,cb:94:54:ed:5d:28,1,-80
2024-04-05T10:57:06.063,a0:de:0f:9b:a4:02,0,-81
2024-04-05T10:57:06.083,76:17:c9:bb:66:1f,1,-79
2024-04-05T10:57:06.145,ff:cb:d1:dc:df:ea,1,-46
2024-04-05T10:57:06.376,76:17:c9:bb:66:1f,1,-75
2024-04-05T10:57:06.491,59:f4:4d:81:af:a4,1,-91
2024-04-05T10:57:06.615,a0:de:0f:9b:a4:02,0,-90
2024-04-05T10:57:06.629,14:13:0b:44:19:e5,0,-75
2024-04-05T10:57:06.659,76:17:c9:bb:66:1f,1,-75
2024-04-05T10:57:06.686,6d:f0:9e:b3:5d:d0,1,-94
2024-04-05T10:57:06.699,c4:20:fb:1b:8c:90,1,-99
2024-04-05T10:57:06.883,dc:23:4f:a9:9a:46,0,-85
2024-04-05T10:57:06.896,cb:94:54:ed:5d:28,1,-79
2024-04-05T10:57:06.936,5c:8f:8b:32:a7:f1,1,-98
2024-04-05T10:57:07.000,ff:cb:d1:dc:df:ea,1,-42
2024-04-05T10:57:07.208,5c:8f:8b:32:a7:f1,1,-95
2024-04-05T10:57:07.235,76:17:c9:bb:66:1f,1,-75
2024-04-05T10:57:07.317,cb:94:54:ed:5d:28,1,-81
2024-04-05T10:57:07.400,50:0b:cc:8e:9e:c6,1,-96
2024-04-05T10:57:07.524,76:17:c9:bb:66:1f,1,-79
2024-04-05T10:57:07.595,59:f4:4d:81:af:a4,1,-94
2024-04-05T10:57:07.673,50:0b:cc:8e:9e:c6,1,-95
2024-04-05T10:57:07.706,a0:de:0f:9b:a4:02,0,-90
2024-04-05T10:57:07.743,cb:94:54:ed:5d:28,1,-85
2024-04-05T10:57:07.813,76:17:c9:bb:66:1f,1,-75
2024-04-05T10:57:07.851,ff:cb:d1:dc:df:ea,1,-46
2024-04-05T10:57:07.887,dc:23:4f:a9:9a:46,0,-83
2024-04-05T10:57:07.913,14:13:0b:44:19:e5,0,-77
2024-04-05T10:57:08.007,59:da:70:f0:a7:29,1,-94
2024-04-05T10:57:08.095,76:17:c9:bb:66:1f,1,-80
2024-04-05T10:57:08.144,59:f4:4d:81:af:a4,1,-93
2024-04-05T10:57:08.170,cb:94:54:ed:5d:28,1,-81
2024-04-05T10:57:08.188,a4:c1:38:e0:67:ae,0,-63
2024-04-05T10:57:08.265,a0:de:0f:9b:a4:02,0,-90
2024-04-05T10:57:08.385,76:17:c9:bb:66:1f,1,-74
2024-04-05T10:57:08.417,59:f4:4d:81:af:a4,1,-94
2024-04-05T10:57:08.592,cb:94:54:ed:5d:28,1,-81
2024-04-05T10:57:08.667,76:17:c9:bb:66:1f,1,-81
2024-04-05T10:57:08.692,6d:f0:9e:b3:5d:d0,1,-95
2024-04-05T10:57:08.715,ff:cb:d1:dc:df:ea,1,-42
2024-04-05T10:57:08.809,a0:de:0f:9b:a4:02,0,-89
2024-04-05T10:57:08.895,dc:23:4f:a9:9a:46,0,-84
2024-04-05T10:57:08.951,76:17:c9:bb:66:1f,1,-76
2024-04-05T10:57:08.962,59:f4:4d:81:af:a4,1,-98
2024-04-05T10:57:09.012,cb:94:54:ed:5d:28,1,-81
2024-04-05T10:57:09.137,5c:8f:8b:32:a7:f1,1,-96
2024-04-05T10:57:09.231,76:17:c9:bb:66:1f,1,-79
2024-04-05T10:57:09.327,50:0b:cc:8e:9e:c6,1,-99
2024-04-05T10:57:09.364,a0:de:0f:9b:a4:02,0,-81
2024-04-05T10:57:09.417,5c:8f:8b:32:a7:f1,1,-92
2024-04-05T10:57:09.431,cb:94:54:ed:5d:28,1,-80
2024-04-05T10:57:09.505,59:f4:4d:81:af:a4,1,-93
2024-04-05T10:57:09.518,76:17:c9:bb:66:1f,1,-75
2024-04-05T10:57:09.522,76:17:c9:bb:66:1f,1,-76
2024-04-05T10:57:09.567,ff:cb:d1:dc:df:ea,1,-46
2024-04-05T10:57:09.779,59:f4:4d:81:af:a4,1,-97
2024-04-05T10:57:09.800,76:17:c9:bb:66:1f,1,-79
