Timestamp,Address,AddressType,RSSI
2024-04-03T14:16:50.455,14:13:0b:44:19:e5,0,-87
2024-04-03T14:16:50.765,c4:db:03:49:bc:f1,1,-91
2024-04-03T14:16:50.770,52:65:0f:cb:1b:75,1,-97
2024-04-03T14:16:50.775,75:4f:ef:9f:dd:1d,1,-98
2024-04-03T14:16:50.780,c4:db:03:49:bc:f1,1,-91
2024-04-03T14:16:50.786,09:37:d2:0d:90:3f,1,-63
2024-04-03T14:16:50.791,71:bc:00:22:3f:29,1,-85
2024-04-03T14:16:50.802,6e:58:f8:24:80:0a,1,-80
2024-04-03T14:16:50.812,7a:88:93:55:b3:fe,1,-57
2024-04-03T14:16:50.822,c4:db:03:49:bc:f1,1,-85
2024-04-03T14:16:50.828,78:d8:1b:c9:29:0b,1,-86
2024-04-03T14:16:50.833,14:13:0b:44:19:e5,0,-84
2024-04-03T14:16:50.841,e8:d2:ed:ce:49:81,1,-56
2024-04-03T14:16:50.852,48:7e:6c:7d:62:61,1,-91
2024-04-03T14:16:50.863,14:13:0b:44:19:e5,0,-85
2024-04-03T14:16:50.870,d7:3f:2b:21:a4:63,1,-30
2024-04-03T14:16:50.880,c4:db:03:49:bc:f1,1,-85
2024-04-03T14:16:50.887,52:82:5c:7a:2d:84,1,-90
2024-04-03T14:16:50.897,5b:05:d0:68:2d:f1,1,-71
2024-04-03T14:16:50.907,7d:4a:be:fb:4c:d8,1,-96
2024-04-03T14:16:50.911,c4:db:03:49:bc:f1,1,-86
2024-04-03T14:16:50.916,09:37:d2:0d:90:3f,1,-64
2024-04-03T14:16:50.921,14:13:0b:44:19:e5,0,-96
2024-04-03T14:16:50.930,4f:21:fe:c7:4f:39,1,-79
2024-04-03T14:16:50.937,6d:0e:0b:89:5d:be,1,-81
2024-04-03T14:16:50.948,c4:db:03:49:bc:f1,1,-86
2024-04-03T14:16:50.953,6a:0b:2a:ce:7e:df,1,-100
2024-04-03T14:16:50.964,14:13:0b:44:19:e5,0,-86
2024-04-03T14:16:50.973,c4:db:03:49:bc:f1,1,-86
2024-04-03T14:16:50.978,58:93:e7:0e:fc:09,1,-93
2024-04-03T14:16:50.982,14:13:0b:44:19:e5,0,-86
2024-04-03T14:16:50.990,c4:db:03:49:bc:f1,1,-90
2024-04-03T14:16:50.995,68:4d:58:33:a3:a3,1,-87
2024-04-03T14:16:51.005,14:13:0b:44:19:e5,0,-94
2024-04-03T14:16:51.014,09:37:d2:0d:90:3f,1,-65
2024-04-03T14:16:51.019,c4:db:03:49:bc:f1,1,-91
2024-04-03T14:16:51.025,78:d8:1b:c9:29:0b,1,-83
2024-04-03T14:16:51.030,6b:fd:ae:34:92:e6,1,-96
2024-04-03T14:16:51.038,55:9b:1a:81:de:b8,1,-89
2024-04-03T14:16:51.048,14:13:0b:44:19:e5,0,-82
2024-04-03T14:16:51.064,d1:4a:d0:fd:c2:41,1,-97
2024-04-03T14:16:51.069,14:13:0b:44:19:e5,0,-87
2024-04-03T14:16:51.076,c4:db:03:49:bc:f1,1,-86
2024-04-03T14:16:51.081,57:fd:32:70:61:6e,1,-81
2024-04-03T14:16:51.088,14:13:0b:44:19:e5,0,-94
2024-04-03T14:16:51.095,14:13:0b:44:19:e5,0,-85
2024-04-03T14:16:51.104,09:37:d2:0d:90:3f,1,-61
2024-04-03T14:16:51.109,14:13:0b:44:19:e5,0,-86
2024-04-03T14:16:51.117,c4:db:03:49:bc:f1,1,-85
2024-04-03T14:16:51.122,5b:05:d0:68:2d:f1,1,-70
