Timestamp,Address,AddressType,RSSI
2024-04-03T13:50:34.142,4e:85:ae:6c:03:95,1,-90
2024-04-03T13:50:34.550,43:01:74:90:a8:e3,1,-82
2024-04-03T13:50:34.557,61:21:8b:7b:6a:21,1,-86
2024-04-03T13:50:34.560,40:55:32:00:16:c8,1,-92
2024-04-03T13:50:34.564,d3:2f:38:21:27:ea,1,-99
2024-04-03T13:50:34.569,d5:66:df:39:c2:16,1,-93
2024-04-03T13:50:34.578,67:3a:78:a1:45:d9,1,-93
2024-04-03T13:50:34.586,6b:60:90:e7:f8:c1,1,-83
2024-04-03T13:50:34.595,62:7a:7e:bd:2c:8a,1,-91
2024-04-03T13:50:34.598,5f:31:b0:74:cc:d0,1,-85
2024-04-03T13:50:34.607,7c:7e:43:04:87:55,1,-81
2024-04-03T13:50:34.617,43:01:74:90:a8:e3,1,-89
2024-04-03T13:50:34.623,4a:c4:89:96:93:f9,1,-90
2024-04-03T13:50:34.631,d5:66:df:39:c2:16,1,-96
2024-04-03T13:50:34.640,51:da:2e:cd:29:3a,1,-94
2024-04-03T13:50:34.649,71:4b:97:2a:35:c7,1,-88
2024-04-03T13:50:34.659,14:13:0b:44:19:e5,0,-82
2024-04-03T13:50:34.665,d5:66:df:39:c2:16,1,-97
2024-04-03T13:50:34.674,4e:85:ae:6c:03:95,1,-90
2024-04-03T13:50:34.681,5a:52:a7:04:68:e3,1,-95
2024-04-03T13:50:34.690,7a:5a:88:dd:48:e3,1,-85
2024-04-03T13:50:34.698,d7:3f:2b:21:a4:63,1,-31
2024-04-03T13:50:34.707,d5:66:df:39:c2:16,1,-93
2024-04-03T13:50:34.716,d5:66:df:39:c2:16,1,-95
2024-04-03T13:50:34.726,61:21:8b:7b:6a:21,1,-98
2024-04-03T13:50:34.729,d5:66:df:39:c2:16,1,-93
2024-04-03T13:50:34.738,ee:32:1a:ef:9a:3e,1,-85
2024-04-03T13:50:34.742,c7:94:7f:c0:7a:e5,1,-97
2024-04-03T13:50:34.747,4a:5f:b1:3c:24:7b,1,-84
2024-04-03T13:50:34.754,d5:66:df:39:c2:16,1,-98
2024-04-03T13:50:34.764,5f:31:b0:74:cc:d0,1,-85
2024-04-03T13:50:34.772,62:7a:7e:bd:2c:8a,1,-78
2024-04-03T13:50:34.776,d5:66:df:39:c2:16,1,-98
2024-04-03T13:50:34.785,66:14:7f:c5:ae:7e,1,-96
2024-04-03T13:50:34.789,43:01:74:90:a8:e3,1,-82
2024-04-03T13:50:34.803,51:da:2e:cd:29:3a,1,-93
2024-04-03T13:50:34.812,7c:7e:43:04:87:55,1,-79
2024-04-03T13:50:34.822,d5:66:df:39:c2:16,1,-91
2024-04-03T13:50:34.830,7d:78:3f:48:dc:e5,1,-93
2024-04-03T13:50:34.835,d5:66:df:39:c2:16,1,-94
2024-04-03T13:50:34.844,4a:c4:89:96:93:f9,1,-88
2024-04-03T13:50:34.852,7a:5a:88:dd:48:e3,1,-85
2024-04-03T13:50:34.861,4a:5f:b1:3c:24:7b,1,-83
2024-04-03T13:50:34.867,4e:85:ae:6c:03:95,1,-87
2024-04-03T13:50:34.875,d7:3f:2b:21:a4:63,1,-31
