Timestamp,Address,AddressType,RSSI
2024-04-15T13:34:00.854,7e:03:ec:00:0d:f4,1,-82
2024-04-15T13:34:00.961,29:63:44:82:90:34,1,-69
2024-04-15T13:34:00.966,46:a6:3d:76:61:18,1,-85
2024-04-15T13:34:00.976,48:b1:8e:aa:a3:e1,1,-86
2024-04-15T13:34:00.979,59:63:df:98:2f:a4,1,-91
2024-04-15T13:34:00.983,74:11:c7:98:8d:50,1,-91
2024-04-15T13:34:00.992,29:63:44:82:90:34,1,-76
2024-04-15T13:34:01.010,c6:0c:a1:01:3d:5c,1,-87
2024-04-15T13:34:01.039,52:46:2a:ac:a9:23,1,-59
2024-04-15T13:34:01.068,29:63:44:82:90:34,1,-70
2024-04-15T13:34:01.074,7e:03:ec:00:0d:f4,1,-93
2024-04-15T13:34:01.089,43:52:ac:99:6c:77,1,-91
2024-04-15T13:34:01.118,43:52:ac:99:6c:77,1,-91
2024-04-15T13:34:01.156,43:52:ac:99:6c:77,1,-94
2024-04-15T13:34:01.163,6e:7c:21:99:52:ca,1,-98
2024-04-15T13:34:01.173,29:63:44:82:90:34,1,-74
2024-04-15T13:34:01.197,6e:7c:21:99:52:ca,1,-94
2024-04-15T13:34:01.234,6e:7c:21:99:52:ca,1,-90
2024-04-15T13:34:01.263,c6:0c:a1:01:3d:5c,1,-77
2024-04-15T13:34:01.272,cb:94:54:ed:5d:28,1,-72
2024-04-15T13:34:01.281,43:52:ac:99:6c:77,1,-92
2024-04-15T13:34:01.288,29:63:44:82:90:34,1,-70
2024-04-15T13:34:01.349,43:52:ac:99:6c:77,1,-92
2024-04-15T13:34:01.356,7e:03:ec:00:0d:f4,1,-85
2024-04-15T13:34:01.376,6e:7c:21:99:52:ca,1,-92
2024-04-15T13:34:01.385,29:63:44:82:90:34,1,-73
2024-04-15T13:34:01.397,77:26:a0:b4:12:cb,1,-92
2024-04-15T13:34:01.419,6e:7c:21:99:52:ca,1,-91
2024-04-15T13:34:01.429,63:eb:f8:fa:f6:72,1,-85
2024-04-15T13:34:01.448,4f:2f:d3:01:0f:85,1,-93
2024-04-15T13:34:01.487,48:b1:8e:aa:a3:e1,1,-87
2024-04-15T13:34:01.493,29:63:44:82:90:34,1,-73
2024-04-15T13:34:01.514,c6:0c:a1:01:3d:5c,1,-85
2024-04-15T13:34:01.524,7e:03:ec:00:0d:f4,1,-93
2024-04-15T13:34:01.528,43:52:ac:99:6c:77,1,-90
2024-04-15T13:34:01.566,43:52:ac:99:6c:77,1,-93
2024-04-15T13:34:01.572,7e:03:ec:00:0d:f4,1,-85
2024-04-15T13:34:01.579,77:26:a0:b4:12:cb,1,-92
2024-04-15T13:34:01.588,84:d3:52:a8:e6:81,0,-87
2024-04-15T13:34:01.630,4f:2f:d3:01:0f:85,1,-91
2024-04-15T13:34:01.657,14:13:0b:44:19:e5,0,-91
2024-04-15T13:34:01.678,6e:7c:21:99:52:ca,1,-92
