Timestamp,Address,AddressType,RSSI
2024-04-15T13:50:16.284,2a:9e:12:ff:51:60,1,-73
2024-04-15T13:50:16.691,49:fd:c6:d6:4a:2f,1,-92
2024-04-15T13:50:16.700,2a:9e:12:ff:51:60,1,-73
2024-04-15T13:50:16.705,59:b7:96:61:42:e3,1,-86
2024-04-15T13:50:16.714,7a:de:bd:99:23:b1,1,-95
2024-04-15T13:50:16.723,c6:0c:a1:01:3d:5c,1,-89
2024-04-15T13:50:16.732,84:d3:52:a8:e6:81,0,-89
2024-04-15T13:50:16.738,2a:9e:12:ff:51:60,1,-73
2024-04-15T13:50:16.743,41:d0:c1:a1:3f:68,1,-89
2024-04-15T13:50:16.747,14:13:0b:44:19:e5,0,-73
2024-04-15T13:50:16.754,62:4a:9b:c4:2c:d1,1,-65
2024-04-15T13:50:16.758,c6:a9:ba:c4:15:82,1,-92
2024-04-15T13:50:16.763,2a:9e:12:ff:51:60,1,-73
2024-04-15T13:50:16.767,54:52:ed:92:45:ee,1,-83
2024-04-15T13:50:16.771,df:1b:f3:26:fc:5a,1,-91
2024-04-15T13:50:16.775,dc:23:4f:a9:9a:46,0,-91
2024-04-15T13:50:16.787,49:fd:c6:d6:4a:2f,1,-87
2024-04-15T13:50:16.797,59:b7:96:61:42:e3,1,-89
2024-04-15T13:50:16.806,cb:94:54:ed:5d:28,1,-61
2024-04-15T13:50:16.815,c6:0c:a1:01:3d:5c,1,-86
2024-04-15T13:50:16.823,2a:9e:12:ff:51:60,1,-72
2024-04-15T13:50:16.828,6b:2f:d3:28:44:97,1,-96
2024-04-15T13:50:16.835,2a:9e:12:ff:51:60,1,-73
2024-04-15T13:50:16.840,41:d0:c1:a1:3f:68,1,-89
2024-04-15T13:50:16.874,fc:59:bf:6b:f7:54,1,-99
2024-04-15T13:50:16.916,2a:9e:12:ff:51:60,1,-73
2024-04-15T13:50:17.022,2a:9e:12:ff:51:60,1,-73
2024-04-15T13:50:17.036,f5:89:aa:7e:fe:1c,1,-85
2024-04-15T13:50:17.053,d5:a0:0b:bc:a5:22,1,-86
2024-04-15T13:50:17.082,a4:c1:38:e0:67:ae,0,-71
2024-04-15T13:50:17.108,cb:94:54:ed:5d:28,1,-61
2024-04-15T13:50:17.117,41:d0:c1:a1:3f:68,1,-90
2024-04-15T13:50:17.127,2a:9e:12:ff:51:60,1,-72
2024-04-15T13:50:17.163,62:4a:9b:c4:2c:d1,1,-65
2024-04-15T13:50:17.200,49:fd:c6:d6:4a:2f,1,-85
2024-04-15T13:50:17.209,54:52:ed:92:45:ee,1,-82
2024-04-15T13:50:17.235,59:b7:96:61:42:e3,1,-84
