Timestamp,DeviceName,AdvertisingType,AddressType,Address,RSSI,Channel
2024-04-12T12:55:12.709,,0,1,e8:15:d4:f5:ba:ba,-54,38
2024-04-12T12:55:12.709,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-81,38
2024-04-12T12:55:12.709,,0,0,dc:23:4f:a9:9a:46,-75,38
2024-04-12T12:55:12.709,,0,1,7f:d9:b5:78:d4:26,-95,38
2024-04-12T12:55:12.719,,3,1,dc:13:fc:9a:a3:e4,-98,38
2024-04-12T12:55:12.719,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-81,38
2024-04-12T12:55:12.729,,0,1,e8:15:d4:f5:ba:ba,-55,38
2024-04-12T12:55:12.729,,0,1,7f:d9:b5:78:d4:26,-97,38
2024-04-12T12:55:12.729,,3,1,fe:98:fd:b7:78:00,-96,38
2024-04-12T12:55:12.799,,0,1,e8:15:d4:f5:ba:ba,-49,37
2024-04-12T12:55:12.799,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-79,37
2024-04-12T12:55:12.799,,0,0,dc:23:4f:a9:9a:46,-78,37
2024-04-12T12:55:12.809,,0,1,e8:15:d4:f5:ba:ba,-49,37
2024-04-12T12:55:12.809,,0,0,dc:23:4f:a9:9a:46,-80,37
2024-04-12T12:55:12.819,,0,1,e8:15:d4:f5:ba:ba,-49,37
2024-04-12T12:55:12.819,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
2024-04-12T12:55:12.959,,0,1,e8:15:d4:f5:ba:ba,-55,38
2024-04-12T12:55:12.999,,0,1,e8:15:d4:f5:ba:ba,-48,37
2024-04-12T12:55:13.009,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-81,38
2024-04-12T12:55:13.209,,0,0,dc:23:4f:a9:9a:46,-75,38
2024-04-12T12:55:13.299,,0,0,dc:23:4f:a9:9a:46,-79,37
2024-04-12T12:55:13.409,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-82,38
2024-04-12T12:55:13.459,,0,1,e8:15:d4:f5:ba:ba,-55,38
2024-04-12T12:55:13.499,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
2024-04-12T12:55:13.549,,0,1,e8:15:d4:f5:ba:ba,-49,37
2024-04-12T12:55:13.559,,0,0,a4:c1:38:e0:67:ae,-50,38
2024-04-12T12:55:13.599,,0,0,a4:c1:38:e0:67:ae,-57,37
2024-04-12T12:55:13.859,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-80,38
2024-04-12T12:55:13.899,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
2024-04-12T12:55:13.959,,0,1,e8:15:d4:f5:ba:ba,-55,38
2024-04-12T12:55:14.009,,0,1,74:c9:ef:54:9d:ba,-95,38
2024-04-12T12:55:14.049,,0,1,e8:15:d4:f5:ba:ba,-49,37
2024-04-12T12:55:14.099,,0,0,dc:23:4f:a9:9a:46,-80,39
2024-04-12T12:55:14.099,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,39
2024-04-12T12:55:14.099,,0,1,e8:15:d4:f5:ba:ba,-61,39
2024-04-12T12:55:14.099,,0,1,74:c9:ef:54:9d:ba,-89,37
2024-04-12T12:55:14.109,,0,0,dc:23:4f:a9:9a:46,-80,39
2024-04-12T12:55:14.109,,0,0,a4:c1:38:e0:67:ae,-51,39
2024-04-12T12:55:14.109,,0,1,e8:15:d4:f5:ba:ba,-61,39
2024-04-12T12:55:14.119,,0,1,e8:15:d4:f5:ba:ba,-62,39
2024-04-12T12:55:14.119,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,39
2024-04-12T12:55:14.149,,3,1,7c:a8:68:63:c5:33,-99,38
2024-04-12T12:55:14.149,,0,1,74:c9:ef:54:9d:ba,-99,38
2024-04-12T12:55:14.189,,0,0,dc:23:4f:a9:9a:46,-74,38
2024-04-12T12:55:14.189,,3,1,de:99:2f:7a:41:62,-96,38
2024-04-12T12:55:14.199,,0,1,e8:15:d4:f5:ba:ba,-62,39
2024-04-12T12:55:14.239,,3,1,de:99:2f:7a:41:62,-87,37
2024-04-12T12:55:14.239,,0,1,74:c9:ef:54:9d:ba,-86,37
2024-04-12T12:55:14.249,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,39
2024-04-12T12:55:14.259,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-81,38
2024-04-12T12:55:14.299,,0,0,dc:23:4f:a9:9a:46,-79,37
2024-04-12T12:55:14.349,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
2024-04-12T12:55:14.409,Onv,0,1,e8:d2:ed:ce:49:81,-59,38
2024-04-12T12:55:14.449,Onv,0,1,e8:d2:ed:ce:49:81,-53,37
2024-04-12T12:55:14.449,,0,0,dc:23:4f:a9:9a:46,-80,39
2024-04-12T12:55:14.459,,0,1,e8:15:d4:f5:ba:ba,-54,38
2024-04-12T12:55:14.549,,0,1,e8:15:d4:f5:ba:ba,-49,37
2024-04-12T12:55:14.699,,0,1,e8:15:d4:f5:ba:ba,-61,39
2024-04-12T12:55:14.709,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-79,38
2024-04-12T12:55:14.749,SP3B11ed5d28,0,1,cb:94:54:ed:5d:28,-78,37
2024-04-12T12:55:14.799,,0,0,a4:c1:38:e0:67:ae,-51,39
2024-04-12T12:55:14.959,,0,1,e8:15:d4:f5:ba:ba,-55,38
2024-04-12T12:55:15.049,,0,1,e8:15:d4:f5:ba:ba,-49,37
